chemblID,smiles,ALogP,LogD
CHEMBL1184236,Fc1ccc(N2CCNCC2)cc1,1.24,0.19
CHEMBL1586972,CC(C)CC(=O)N1CCN(c2ccc([N+](=O)[O-])cc2Cl)CC1,2.94,3.13
CHEMBL1518150,CCOC(=O)N1CCN(c2ccc(Cl)cc2)CC1,2.62,2.74
CHEMBL1570594,CC(C)(C)OC(=O)N1CCN(c2ccc([N+](=O)[O-])cc2)CC1,2.65,2.77
CHEMBL1874357,CC(=O)N1CCN(c2ccc(S(=O)(=O)NCCN(C(C)C)C(C)C)cc2[N+](=O)[O-])CC1,1.66,0.24
CHEMBL266250,Oc1ccccc1N1CCNCC1,0.80,-0.21
CHEMBL610495,CCCCCCCCCCCCCCCC(=O)NN1CCN(c2ccc(Cl)cc2)CC1,6.97,7.66
CHEMBL3474829,COc1ccccc1N1CCN(C(=O)CSC(C)C)C(C)C1,2.87,2.59
CHEMBL1180545,CC(=O)c1ccc(N2CCN(C)CC2)cc1,1.64,1.32
CHEMBL1184253,CC(=O)Oc1cccc(N2CCN(C)CC2)c1,1.36,1.01
CHEMBL1180417,CN1CCN(c2cccc(F)c2)CC1,1.58,1.57
CHEMBL1620136,CN1CCN(c2ccc(N)cc2Cl)CC1,1.67,1.54
CHEMBL2335163,COc1cc(OC)cc(N2CCNCC2)c1,1.11,-0.23
CHEMBL3476963,CCCSCC(=O)N1CCN(c2ccc(C)cc2)CC1C,3.18,3.47
CHEMBL1611718,CCS(=O)(=O)N1CCN(c2c(Cl)cccc2[N+](=O)[O-])CC1,1.72,1.70
CHEMBL1561072,CCOC(=O)N1CCN(c2ccc(C(=O)CC)cc2F)CC1,2.70,2.53
CHEMBL1392881,CC(=O)c1ccc(N2CCN(CCC#N)CC2)c(F)c1,2.06,1.40
CHEMBL334261,CC(C)CN1CCN(c2ccc(I)cc2)CC1,3.07,2.75
CHEMBL27378,CCCCCN1CCN(c2cccc(Cl)c2)CC1,3.65,3.13
CHEMBL1562014,CCOC(=O)N1CCN(c2ccc([N+](=O)[O-])cc2F)CC1C,2.40,2.63
CHEMBL283353,CCC(C)(C)C(=O)NCCN1CCN(c2ccc(Cl)cc2)CC1,3.01,3.68
CHEMBL1370095,CCN1CCN(c2ccc(N)cc2)CC1,1.41,0.50
CHEMBL533063,O=C(N1CCN(c2ccc(C(F)(F)F)cc2[N+](=O)[O-])CC1)C(Cl)(Cl)Cl,3.63,3.73
CHEMBL1308722,CCS(=O)(=O)N1CCN(c2ccccc2)CC1,1.16,1.16
CHEMBL443445,CCCN1CCN(c2ccccc2C(F)(F)F)CC1,3.24,2.81
CHEMBL64703,CN(C)CCNC(=O)N1CCN(c2cccc(Cl)c2)CC1,1.73,0.53
CHEMBL376056,NC(C(=O)NO)C(=O)N1CCN(c2ccccc2)CC1,-0.83,-0.63
CHEMBL3799880,C#CCCCN1CCN(c2ccccc2OC)CC1,2.23,1.86
CHEMBL4300981,COc1ccc(N2CCN(/C(N)=N/C(=N)N)CC2)cc1,0.03,-2.08
CHEMBL20819,COc1ccc(N2CCN(CCCCNC(=O)C(C)(C)C)CC2)cc1,2.76,2.31
CHEMBL2079795,S=C([S-])N1CCN(c2ccc(Cl)c(Cl)c2)CC1.[Na+],3.33,3.10
CHEMBL1724041,CN1CCN(c2ccc(C(F)(F)F)cc2N)CC1,2.04,1.48
CHEMBL114478,Clc1ccc(N2CCNCC2)cc1,1.75,0.67
CHEMBL3576939,CN1CCN(c2ccccc2CNC(=O)CC[C@H](N)C(=O)O)CC1,0.25,-2.63
CHEMBL1180465,CN1CCN(c2cccc(C#N)c2)CC1,1.31,1.26
CHEMBL1450541,Cc1ccc(Cl)cc1N1CCN(S(C)(=O)=O)CC1,1.73,1.77
CHEMBL3460716,COC(=O)CN1CCN(c2cccc(C)c2)CC1,1.29,2.06
CHEMBL1907186,Cc1ccc(Cl)cc1N1CCN(CC(O)COC(C)C)CC1,2.56,2.69
CHEMBL3644481,CC(C)(C)c1ccccc1N1CCN(C(=O)C(O)CO)CC1,0.99,1.40
CHEMBL1727952,O=C(N1CCN(c2ccccc2)CC1)C(F)(F)C(F)F,2.24,2.50
CHEMBL1619161,CCN(CC)C(=O)CN1CCN(c2ccccc2F)CC1,1.82,1.88
CHEMBL4163065,Cl.Cl.N=C(N)/N=C(\N)N1CCN(c2cccc(Cl)c2)CC1,0.67,-1.33
CHEMBL3186498,Cl.ClCCCN1CCN(c2cccc(Cl)c2)CC1,3.09,2.76
CHEMBL1390625,CC(=O)c1cc(F)c(N2CCN(CCC#N)CC2)cc1C,2.37,1.91
CHEMBL4302136,N=C(N)/N=C(\N)N1CCN(c2ccccc2Cl)CC1,0.67,-1.33
CHEMBL3628707,N=C(N)NC(=N)N1CCN(c2ccccc2)CC1,0.23,-3.67
CHEMBL1180421,CC(=O)Nc1cccc(N2CCN(C)CC2)c1,1.40,0.59
CHEMBL209985,CC(=O)Nc1cccc(N2CCN(CCCCNS(=O)(=O)C(C)C)CC2)c1,1.87,0.90
CHEMBL2106572,Cc1ccc(N2CCNCC2)c(S(=O)(=O)O)c1,0.65,0.01
CHEMBL279906,CCCCCCN1CCN(c2cccc(Cl)c2)CC1,4.04,3.66
CHEMBL1180512,CN1CCN(c2ccc(O)cc2)CC1,1.14,1.03
CHEMBL379202,CC(C)C[C@H](N)c1cc(C(F)(F)F)ccc1N1CCN(C(=O)CCC(=O)N(C)C)CC1,3.27,0.70
CHEMBL1180517,CN1CCN(c2cccc(O)c2)CC1,1.14,1.05
CHEMBL1447896,CCC(C)[C@H](NC(=O)N1CCN(c2cccc(C(F)(F)F)c2)CC1)C(=O)OC,3.12,3.45
CHEMBL1418849,CC(=O)N1CCN(c2ccc([N+](=O)[O-])cc2C#N)CC1,1.13,0.95
CHEMBL2032268,O=C(/C=C/c1ccc(N2CCNCC2)cc1Cl)NO,1.27,0.03
CHEMBL1389861,CCOC(=O)N1CCN(c2ccc(C(C)=O)cc2F)CC1,2.31,1.83
CHEMBL9429,Fc1ccccc1N1CCNCC1,1.24,0.27
CHEMBL104591,COc1ccccc1N1CCN(CCNC(C)=O)CC1,0.95,0.68
CHEMBL1773193,C[C@H]1CN(C)CCN1c1cccc(O)c1,1.53,1.23
CHEMBL3747727,CCN1CCN(c2cccc(Br)c2)CC1,2.59,2.27
CHEMBL1887241,CC(C)(C)C(=O)N1CCN(c2ccc([N+](=O)[O-])cc2Cl)CC1,2.94,3.50
CHEMBL452358,CCCN1CCN(c2cccc(C(N)=O)c2)CC1,1.32,0.68
CHEMBL64453,COc1cc(N2CCN(C(=O)NCCN(C)C)CC2)cc(OC)c1OC,1.11,-0.55
