chemblID,smiles,ALogP,LogD
CHEMBL22632,CCN(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,1.99,-4.04
CHEMBL48619,CC#CCN(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,2.00,-3.34
CHEMBL1181377,Cc1nc(O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)N[C@H](CCC(=O)O)C(=O)O)C(=O)O)c(F)c3)c(C)cc2n1,2.13,-7.23
CHEMBL355271,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)cc1,0.38,-16.18
CHEMBL156039,CCOC(=O)CCC(NC(=O)c1ccc(N(C)Cc2ccc3nc(N)nc(O)c3c2)cc1)C(=O)OCC,2.56,3.17
CHEMBL350033,COc1nc(O)c2cc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2n1,2.00,-4.33
CHEMBL1202139,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)cc1.O=C(O)C(F)(F)F,0.38,-16.18
CHEMBL347223,CN(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,1.60,-4.39
CHEMBL3228300,Nc1nc(N)c2cc(CNc3ccc(Cl)c(C(=O)NC(CC(=O)O)C(=O)O)c3)ccc2n1,1.72,-3.66
CHEMBL421975,C#CCN(Cc1ccc2nc(NC)nc(O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,2.06,-3.87
CHEMBL475332,Nc1nc(N)c2c(Cl)c(CNc3ccc(C(=O)N[C@@H](CC(=O)O)C(=O)O)cc3)ccc2n1,1.72,-3.86
CHEMBL152380,C#CCN(Cc1ccc2nc(NCCN)nc(O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,1.39,-3.63
CHEMBL305177,Nc1nc(N)c2cc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2n1,1.45,-4.67
CHEMBL22344,CC(=O)N(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,1.52,-5.51
CHEMBL1181436,C#CCN(Cc1cc2c(O)nc(C)nc2cc1C)c1ccc(C(=O)N[C@@H](CCC(=O)N[C@H](CCC(=O)O)C(=O)O)C(=O)O)c(F)c1,2.13,-6.99
CHEMBL1184451,C#CCN(Cc1cc2c(O)nc(C)nc2cc1C)c1ccc(C(=O)N[C@@H](CCC(=O)N[C@H](CCCC(=O)O)C(=O)O)C(=O)O)c(F)c1,2.52,-6.51
CHEMBL354273,C#CCN(Cc1ccc2ncnc(O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)cc1,0.72,-12.43
CHEMBL36323,Cc1c(CNc2ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc2)ccc2nc(N)nc(N)c12,1.76,-3.96
CHEMBL535206,Nc1nc(N)c2cc(CNc3cccc(Cl)c3)ccc2n1,3.06,2.70
CHEMBL1182734,Cc1nc(O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)N[C@H](CCC(=O)O)C(=O)O)C(=O)O)c(F)c3)ccc2n1,1.82,-7.73
CHEMBL61123,C#CCN(Cc1ccc2nc(N)nc(O)c2c1)c1cc(OC)c(OC)c(OC)c1,2.58,3.15
CHEMBL328897,COc1cc(N(C)Cc2ccc3nc(N)nc(N)c3c2Cl)cc(OC)c1OC,3.11,2.96
CHEMBL152746,COc1nc(O)c2cc(CN(CCCO)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)ccc2n1,1.78,-4.35
CHEMBL320530,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)N[C@H](CCC)C(=O)O)C(=O)O)cc1,2.62,-3.19
CHEMBL264807,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)C(=O)O)cc1,-0.27,-20.45
CHEMBL322140,C#CCN(Cc1ccc2nc(C)nc(O)c2c1)c1ccc(C(=O)N[C@H](CCC(=O)NCC)C(=O)O)cc1,2.38,-0.42
CHEMBL62675,C#CCN(Cc1ccc2nc(N)nc(O)c2c1)c1ccc(C#N)cc1,2.43,3.48
