chemblID,smiles,ALogP,LogD
CHEMBL92877,CCCC(=O)c1cnc2c(OCCN(C)C)cccc2c1Nc1ccccc1C,5.21,5.27
CHEMBL547837,Oc1cc(Nc2ccnc3ccc(I)cc23)c(F)cc1Cl,5.08,4.77
CHEMBL480630,COc1cc2ncc(C(N)=O)c(Nc3ccc(Cl)c(Cl)c3)c2cc1OC,4.40,4.55
CHEMBL1194710,COc1cccc2c(Nc3ccccc3C)c(C(=O)O)cnc12,3.99,1.86
CHEMBL1618954,CCOC(=O)c1cnc2ccccc2c1Nc1ccc(C(=O)O)cc1,3.85,2.30
CHEMBL1191369,CCOC(=O)c1cnc2c(OC)cccc2c1Nc1ccccc1,4.16,5.07
CHEMBL1623372,Cc1cccc(Nc2cc(C)nc3ccccc23)c1,4.60,3.55
CHEMBL1789507,O=[N+]([O-])OCCCNCc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,4.03,1.14
CHEMBL1895786,CCOC(=O)c1cnc2cc(F)c(F)cc2c1Nc1ccccc1O,4.14,5.21
CHEMBL582121,Cc1ccc2nc(C)cc(Nc3ccccc3O)c2c1,4.30,3.21
CHEMBL4302541,CC(C)(C)NCc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1,5.52,2.46
CHEMBL1889414,COc1ccc(Nc2cc(C)nc3ccc(C)cc23)cc1,4.60,3.30
CHEMBL320479,COc1cc2ncc(C#N)c(Nc3cccc(F)c3)c2cc1OC,4.01,3.25
CHEMBL541988,COc1cc2ncc(C(=O)O)c(Nc3cccc(Br)c3)c2cc1OC,4.46,3.28
CHEMBL497683,CCOc1ccc2nc(C)cc(Nc3ccc(S(=O)(=O)NC(=N)N)cc3)c2c1,2.86,1.53
CHEMBL1947122,COc1cc2ncc(C(=O)O)c(Nc3cccc(Cl)c3)c2cc1OC,4.35,3.12
CHEMBL528533,COc1ccc2nc(C)cc(Nc3ccc(Cl)cc3)c2c1,4.95,3.44
CHEMBL326280,COCC#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cc1OC,4.21,3.88
CHEMBL1316219,O=C(OC[C@@H](O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,3.14,4.12
CHEMBL1622498,COC(=O)c1ccc(Nc2cc(C)nc3ccccc23)cc1,4.07,3.05
CHEMBL1080276,Clc1ccc2nccc(Nc3cccc(Br)c3)c2c1,5.39,4.91
CHEMBL1789649,CCN(CCCO[N+](=O)[O-])Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,4.76,1.98
CHEMBL113535,COc1cc2ncc(C#N)c(Nc3cccc(N=[N+]=[N-])c3)c2cc1OC,4.81,3.42
CHEMBL263788,COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1NC(=O)/C=C/CN(C)C,4.68,2.43
CHEMBL433926,CCCN(CCC)Cc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1O,5.96,3.15
CHEMBL128858,COc1cc2nccc(Nc3ccc(Cl)cc3Cl)c2cc1OC,5.30,3.94
CHEMBL92190,CCCC(=O)c1cnc2c(C)cccc2c1Nc1ccc(OC)cc1C,5.59,6.41
CHEMBL1474999,Cc1cc(Nc2ccccc2C)c2cccc(C)c2n1,4.90,4.08
CHEMBL1622241,Cc1cc(Nc2ccccc2O)c2ccccc2n1,3.99,2.78
CHEMBL442591,COc1cc2ncc(C(N)=O)c(Nc3ccccc3F)c2cc1OC,3.23,3.50
CHEMBL128462,COc1ccc(Cl)c(Nc2c(C#N)cnc3cc(OC)c(OC)cc23)c1,4.53,3.56
CHEMBL2094757,Cc1cc(C)c2nc(C)cc(Nc3ccc(N(C)C)cc3)c2c1.Cl,4.97,4.06
CHEMBL109844,COc1cc2ncc(C#N)c(Nc3ccc(Br)cc3F)c2cc1OC,4.77,4.02
CHEMBL115201,COc1cccc2c(Nc3ccccc3C)c(C)cnc12,4.60,4.42
CHEMBL2109896,Cc1cc(C)c2nc(C)cc(Nc3cccc(O)c3)c2c1,4.61,3.69
CHEMBL1197991,CCOC(=O)c1ccc2nc(C)cc(Nc3ccc(OC)cc3)c2c1,4.47,3.52
CHEMBL1197820,CCOc1ccc2nc(C)cc(Nc3cccc(OC)c3)c2c1,4.69,3.05
CHEMBL93015,CCCC(=O)c1cnc2c(OC)cccc2c1Nc1ccccc1CO,4.46,4.65
