chemblID,smiles,ALogP,LogD
CHEMBL1875443,Nc1nc(N)c(Br)c(Nc2ccc(Cl)c(Cl)c2)n1,3.45,3.68
CHEMBL444312,Nc1nc(O)cc(Nc2cc(F)cc(F)c2)n1,1.79,2.51
CHEMBL355289,CCN(c1cc(C)nc(C)n1)c1ccc(C(C)C)cc1Br,5.14,5.24
CHEMBL4060869,Cc1cc(Nc2cc(Cl)c(Cl)c(Cl)c2)nc(N)n1,4.07,3.63
CHEMBL298952,CC(=O)Nc1ccc(Nc2cc(O)nc(O)n2)cc1C,1.90,2.50
CHEMBL265964,Nc1cc(Nc2ccc(S(N)(=O)=O)cc2)ncn1,0.45,0.42
CHEMBL54782,Cc1ccc(Nc2cc(O)nc(O)n2)cc1C,2.25,3.78
CHEMBL1882532,Cc1ccc(Nc2nc(N)nc(N)c2N=O)cc1C,2.40,4.75
CHEMBL609752,CCCCCCCNc1nc(C)cc(Nc2ccccc2)n1,4.91,4.85
CHEMBL48090,CCc1ccc(Nc2cc(O)nc(S)n2)cc1,2.78,4.09
CHEMBL1582355,CCC(C)Nc1nc(N)c([N+](=O)[O-])c(Nc2cc(OC)ccc2OC)n1,2.94,4.87
CHEMBL1329995,Nc1nc(Cl)cc(Nc2ccccc2Cl)n1,3.11,3.36
CHEMBL198198,CNc1ncnc(Nc2cc(C(=O)NOC)ccc2C)c1C#N,1.73,1.75
CHEMBL4103496,CC(C)c1cc(Nc2cc(Cl)cc(Cl)c2)nc(N)n1,4.23,4.39
CHEMBL378757,CCCCNC(=O)N(c1ccc(OC)cc1)c1ccnc(N[C@@H](C)COC)n1,3.58,2.98
CHEMBL69248,Cc1ccc(Nc2cc(N(C)C)nc(N)n2)cc1C,2.49,3.62
CHEMBL157927,Cc1ccc(Nc2nc(O)nc(O)c2N=O)cc1,2.34,4.64
CHEMBL4085397,Cc1cc(Nc2cc(Cl)c(OC(F)F)c(Cl)c2)nc(N)n1,4.02,3.79
CHEMBL1733939,Cc1cc(Nc2ccc(C(=O)O)cc2)nc(N)n1,1.81,-0.66
CHEMBL1320014,COCCCNc1nc(N)c([N+](=O)[O-])c(Nc2ccccc2OC)n1,2.17,3.75
CHEMBL80767,CCCCCCCCCCc1ccc(Nc2cc(O)nc(O)n2)cc1,5.31,7.26
CHEMBL4098688,Nc1ncc(F)c(Nc2ccccc2)n1,1.94,2.08
CHEMBL377347,CC(C)NC(=O)N(c1ccc(F)cc1)c1ccnc(NC(C)C)n1,3.69,3.14
CHEMBL1492197,CNc1nc(C)c([N+](=O)[O-])c(Nc2ccc(OC)cc2)n1,2.49,3.45
CHEMBL433486,CCCc1ccc(Nc2cc(O)nc(O)n2)cc1,2.58,4.15
CHEMBL54272,Oc1cc(Nc2ccc(F)c(F)c2)nc(O)n1,1.91,3.04
CHEMBL77277,CCCCCCc1ccc(Nc2cc(O)nc(O)n2)cc1,3.75,5.49
CHEMBL4060931,CCOc1cc(Br)cc(Nc2cc(C)nc(N)n2)c1,3.27,2.79
CHEMBL4069971,Nc1ncc(Cl)c(Nc2ccccc2)n1,2.46,2.54
CHEMBL71213,Cc1ccc(Nc2cc(Cl)nc(N)n2)cc1Br,3.53,4.04
CHEMBL512328,CCc1cccc(Nc2nc(NCCN)ncc2C(N)=O)c1,1.25,0.39
CHEMBL4063716,CCCCOc1cc(Br)cc(Nc2cc(C)nc(N)n2)c1,4.05,3.75
CHEMBL1479925,Nc1nc(NCCOCCO)nc(Nc2cccc(F)c2)c1[N+](=O)[O-],1.27,3.30
CHEMBL2147120,CCOC(=O)CCNc1nc(N)nc(Nc2ccccc2)c1N=O,2.57,4.24
CHEMBL4092402,Cc1cc(Nc2cc(Cl)c(O)c(Cl)c2)nc(N)n1,3.12,2.38
CHEMBL1702132,CCc1c(N)nc(N)nc1Nc1ccc(C)c(C)c1,2.56,3.65
CHEMBL6633,Nc1nccc(Nc2ccc(S(N)(=O)=O)cc2)n1,0.45,0.48
CHEMBL459720,CCCCCCC(Sc1nc(Cl)cc(Nc2cccc(C)c2C)n1)C(=O)OCC,6.48,7.78
CHEMBL2426221,CNC(=O)c1cnc(NCCN)nc1Nc1cccc(C(F)(F)F)c1,1.97,0.54
CHEMBL42997,CCOc1cc(Nc2cccc(C)c2C)nc(SCC(=O)NCCO)n1,2.44,3.10
CHEMBL4063951,Cc1cc(Nc2cc(Cl)cc(Cl)c2O)nc(N)n1,3.12,2.56
CHEMBL4091216,Cc1cc(Nc2cc(Cl)c(F)c(Cl)c2F)nc(N)n1,3.70,3.35
CHEMBL3235705,CCSc1c(Nc2c(C)cc(C)cc2C)nc(C)nc1N(CCOC)CCOC,4.67,5.38
CHEMBL1395045,CSc1nc(C)cc(Nc2cccc(C(=O)O)c2)n1,2.95,0.66
CHEMBL2442479,C=C(C)c1ncc(C(N)=O)c(Nc2ccc(CC(=O)NCC(C)(C)C)cc2)n1,3.06,4.67
CHEMBL416618,Cc1cccc(N(C)c2cc(Cl)nc(N(C)C)n2)c1C,3.58,4.95
CHEMBL69511,CCc1cc(Nc2cc(Cl)nc(N)n2)ccc1C,3.33,4.23
CHEMBL4069015,Cc1cc(Nc2ccc(C(C)C)cc2)nc(N)n1,3.23,3.06
CHEMBL415738,Cc1cccc(Nc2cc(NCCO)ncn2)c1,1.93,1.94
CHEMBL300465,Oc1cc(Nc2cccc(I)c2)nc(O)n1,2.24,3.68
CHEMBL52408,Nc1nc(O)cc(Nc2cc(F)cc(Cl)c2)n1,2.30,2.97
CHEMBL55032,Cc1ccc(Nc2cc(O)nc(O)n2)cc1CCl,2.68,3.85
CHEMBL1450715,C=CCNc1nc(N)c([N+](=O)[O-])c(Nc2cccc(Cl)c2)n1,2.96,5.23
CHEMBL3622451,CNC(=O)c1cccc(Nc2nc(O)nc(O)c2C#N)c1,0.86,1.68
CHEMBL4212534,COc1ccc(N(C)c2cc(C)nc(C)n2)cc1,2.87,2.69
CHEMBL2147107,COc1nc(NCCO)nc(Nc2ccccc2)c1N=O,2.03,3.36
CHEMBL4087899,Cc1cc(Nc2cc(Cl)cc(Cl)c2)ncn1,3.84,3.42
CHEMBL459972,CCCCC(Sc1nc(Cl)cc(Nc2cccc(C)c2C)n1)C(=O)O,5.23,3.03
CHEMBL3133876,COc1ccc(Nc2cc(NCCO)ncn2)cc1,1.63,1.26
CHEMBL3235709,CCN(CC)c1nc(C)nc(Nc2ccc(C(C)C)cc2Br)c1SC,5.98,6.61
CHEMBL4069599,C=CCOc1cc(Br)cc(Nc2cc(C)nc(N)n2)c1,3.44,3.16
CHEMBL474652,CN(C)CCN(C)c1ncc(C(N)=O)c(Nc2cccc(C(F)(F)F)c2)n1,2.34,2.69
CHEMBL125891,CCc1ccccc1Nc1cc(O)nc(O)n1,2.19,3.71
CHEMBL4071844,NC(=O)c1ccc(Nc2ccncn2)cc1,1.32,0.93
CHEMBL294156,Oc1cc(Nc2ccc(C(F)(F)F)cc2)nc(O)n1,2.65,3.63
CHEMBL1717325,Cc1cc(Nc2ccccc2)nc(N)n1,2.11,1.81
CHEMBL54530,Cc1cc(Nc2cc(O)nc(O)n2)ccc1N,1.52,2.43
CHEMBL4281263,O=C(O)CCC(=O)Nc1cc(Nc2cccc(C(=O)O)c2)ncn1,1.72,-4.63
