chemblID,smiles,ALogP,LogD
CHEMBL1616698,Cc1cc(C)nc(Nc2ccccc2Cl)n1,3.49,3.04
CHEMBL1712326,Cc1ccccc1Nc1ncc(C#N)c(N)n1,1.98,2.30
CHEMBL2171739,CNc1nc(Nc2ccccc2Br)ncc1Cl,3.68,3.61
CHEMBL1300317,CCCCc1ccc(Nc2nc(O)cc(CCC)n2)cc1,4.22,5.58
CHEMBL3641902,CNc1nc(Nc2cc(F)c(C(=O)N(C)CC(C)(C)O)cc2OC)ncc1C(F)(F)F,3.27,2.40
CHEMBL3648094,CCS(=N)(=O)c1ccc(Nc2ncc(Br)c(N[C@H](COC)[C@H](C)O)n2)cc1,3.22,2.11
CHEMBL3440455,CNCc1cnc(Nc2ccccc2)nc1,1.94,0.43
CHEMBL1481219,Cc1cc(C)nc(Nc2cccc(C(F)(F)F)c2)n1.Cl,3.86,3.31
CHEMBL4063834,CN(C)c1ccnc(Nc2ccc(C#N)cc2)n1,2.16,2.72
CHEMBL3641868,CCN(CC)C(=O)c1ccc(Nc2ncc(C#N)c(NC)n2)c(OC)c1,2.62,1.95
CHEMBL166162,CCN(c1nc(C)cc(C)n1)c1ccc(C(C)C)cc1I,4.98,5.19
CHEMBL587145,CCCN(CCC)CCCN(CCCN(CCC)CCC)c1cc(C)nc(Nc2ccc(Cl)cc2)n1.Cl,7.01,1.46
CHEMBL3988950,C[C@@H](CO)Nc1ccnc(Nc2cccc(C(F)(F)F)c2)n1,3.03,2.84
CHEMBL3989187,OCCCNc1ccnc(Nc2cccc(F)c2)n1,2.15,1.75
CHEMBL218002,CC(C)=CCOc1cc(Nc2nccc(N)n2)ccc1C#N,3.02,2.99
CHEMBL167737,CCN(CCOC)c1cc(C)nc(N(CC)c2ccc(C(C)C)cc2Br)n1,5.30,5.90
CHEMBL354022,CCN(c1nc(C)cc(C)n1)c1ccc(C(C)=O)cc1SC,4.18,3.20
CHEMBL3648091,CCOC(=O)N=S(C)(=O)c1ccc(Nc2ncc(Br)c(N[C@H](C)[C@H](C)O)n2)cc1C,4.09,3.03
CHEMBL592789,CCCc1cc(O)nc(Nc2ccc(Cl)c(C(F)(F)F)c2)n1,4.55,5.22
CHEMBL3652231,O=C(NO)c1cnc(Nc2ccccc2Cl)nc1,1.99,1.60
CHEMBL580222,CCNc1cc(CCCC(=O)OCC)nc(Nc2ccc(C)cc2)n1,3.85,4.01
CHEMBL3652241,COc1cc(Nc2ncc(C(=O)NO)cn2)cc(C(F)(F)F)c1,2.37,1.71
CHEMBL3641788,CNc1nc(Nc2ccc(C(=O)NC(C)C)cc2OC)ncc1Cl,3.06,2.53
CHEMBL3641872,CNc1nc(Nc2ccc(C(=O)NCC(F)F)cc2OC)ncc1C#N,2.14,1.47
CHEMBL1449937,CCCc1cc(O)nc(Nc2ccc(OC)c(Cl)c2)n1,3.54,4.18
CHEMBL3989134,OCCNc1ccnc(Nc2ccc(F)c(F)c2)n1,1.90,1.83
CHEMBL2296587,CC(=O)N(c1ccccc1)c1nc(C)cc(C)n1,2.78,1.75
CHEMBL2269513,CC#Cc1cc(C)nc(Nc2ccccc2)n1,2.90,3.67
CHEMBL355624,Cc1cc(C)nc(N(C)c2ccc(C(C)C)cc2I)n1,4.59,4.83
CHEMBL427198,CC(C)=CCOc1cc(Nc2nc(C)cc(N)n2)ccc1Cl,4.11,3.85
CHEMBL3643983,CCNc1nc(Nc2ccc(C(=O)N(C)CCOC)cc2OC)ncc1C(F)(F)F,3.40,2.56
CHEMBL3942517,CNc1nc(Nc2cc(C)c(S(C)(=O)=O)cc2OC)ncc1C(F)(F)F,3.00,2.31
