chemblID,smiles,ALogP,LogD
CHEMBL1351589,CN(C)c1nc(Nc2ccccc2)nc(N(C)C)n1,1.75,3.16
CHEMBL2365780,CCCc1ccccc1Nc1nc(N)nc(N(C)C)n1,2.22,3.42
CHEMBL1740017,Fc1ccccc1Nc1nc(Cl)nc(Cl)n1,3.06,3.93
CHEMBL1813210,NS(=O)(=O)c1ccc(Nc2nc(Cl)nc(NC(CO)C(=O)O)n2)cc1,-0.23,-2.85
CHEMBL1596262,CCCNc1nc(Cl)nc(Nc2ccc(Cl)cc2)n1,3.74,4.52
CHEMBL165991,CCN(CC)c1nc(C)nc(N(CC)c2ccc(N(C)C)cc2C(F)(F)F)n1,4.27,5.42
CHEMBL1408068,CSc1ccccc1Nc1ncnc(N)n1,1.92,2.45
CHEMBL1493297,CCOc1nc(Nc2ccccc2)nc(OCC)n1,2.41,3.73
CHEMBL1567076,COc1ccc(Cl)cc1Nc1nc(N)nc(C(F)(F)F)n1,2.88,3.51
CHEMBL1404448,COc1ccc(OC)c(Nc2nc(N)nc(CCl)n2)c1,1.95,2.27
CHEMBL1302288,CCOc1nc(Nc2ccc([N+](=O)[O-])cc2)nc(NC(C)(C)C)n1,3.13,4.00
CHEMBL1468547,C=CCNc1nc(Nc2cc(Cl)ccc2OC)nc(OC)n1,2.88,3.82
CHEMBL1718820,Fc1cccc(Nc2nc(Cl)nc(Cl)n2)c1,3.06,3.93
CHEMBL136519,C=CCN(CC=C)c1nc(C)nc(Nc2c(CC)cccc2CC)n1,4.23,6.32
CHEMBL1707118,CCOC(=O)CNc1nc(Cl)nc(Nc2ccccc2)n1,2.24,3.02
CHEMBL218016,COc1ncnc(Nc2ccc(Cl)c(OCC=C(C)C)c2)n1,3.62,4.30
CHEMBL2094565,COc1nc(Nc2ccc(Cl)cc2)nc(NC(C)(C)C)n1,3.49,4.30
CHEMBL180434,O=[N+]([O-])c1ccc(Nc2nc(NCCO)nc(NCCO)n2)cc1,0.33,0.37
CHEMBL1373287,COc1nc(Nc2ccc(O)cc2)nc(OC(C(F)(F)F)C(F)(F)F)n1,3.20,4.68
CHEMBL3120739,Nc1nc(N)nc(Nc2ccc(S(N)(=O)=O)cc2)n1,-0.57,-0.50
CHEMBL566691,CC(C)Nc1nc(C#N)nc(Nc2ccccc2)n1,2.31,3.22
CHEMBL3086707,Nc1nc(Cl)nc(Nc2ccc(O)cc2)n1,1.56,2.43
CHEMBL1350943,CC(C)(C)Nc1nc(Cl)nc(Nc2ccccc2)n1,3.48,4.09
CHEMBL168844,CCCN(CCC)c1nc(C)nc(N(CC)c2ccc(C(C)C)cc2Br)n1,5.85,7.32
CHEMBL1377504,CC(C)(C)CNc1nc(C#N)nc(Nc2ccccc2)n1,2.94,4.12
CHEMBL1836533,CC(C)OC(=O)[C@H](C)NC(=O)c1ccc(Nc2nc(Cl)nc(Cl)n2)cc1,2.99,3.83
CHEMBL42843,CCOc1nc(Nc2cccc(C)c2C)nc(SCC(=O)O)n1,2.81,0.90
CHEMBL1586960,CCOC(=O)COc1nc(Nc2ccccc2C)nc(N(C)C)n1,1.93,3.78
CHEMBL1531922,COc1ccc(Nc2nc(Cl)nc(NCCO)n2)cc1,1.68,2.19
CHEMBL1424238,CNc1nc(Nc2ccc([N+](=O)[O-])cc2)nc(OCC(F)(F)F)n1,2.51,3.54
CHEMBL4084446,CCN(CC)c1nc(Nc2cccc(Cl)c2)nc(OCC(F)(F)C(F)F)n1,4.39,5.77
CHEMBL180905,CCN(CC)c1nc(Nc2ccc([N+](=O)[O-])cc2)nc(N(CC)CC)n1,3.22,4.63
CHEMBL1952333,COCCOc1nc(Nc2ccc(C#N)c(OCC=C(C)C)c2)nc(OC)n1,2.87,4.03
CHEMBL1734290,CCOc1nc(Nc2ccc(OC)cc2OC)nc(OCC)n1,2.43,3.41
CHEMBL4100901,CCN(CC)c1nc(Nc2ccccc2)nc(OC(C(F)(F)F)C(F)(F)F)n1,4.33,5.97
