chemblID,smiles,ALogP,LogD
CHEMBL3274158,Cc1cc(CC(N)C(=O)O)ccc1Oc1ccc(O)c(I)c1,3.05,1.42
CHEMBL2079103,N=C(N)SCc1cc(Cl)ccc1Oc1ccc([N+](=O)[O-])cc1CSC(=N)N,4.29,-0.54
CHEMBL482836,N#Cc1cc([N+](=O)[O-])ccc1Oc1ccc([N+](=O)[O-])cc1,3.17,3.21
CHEMBL2332628,CCCOc1cc(C)cc(Oc2cc(C)cc(O)c2)c1,4.59,4.91
CHEMBL2365378,N/C(=N\O)Nc1ccc(Oc2ccc(N/C(N)=N/O)cc2)cc1,1.71,1.41
CHEMBL1232142,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1,4.49,4.20
CHEMBL510484,CNS(=O)(=O)c1ccc(Oc2ccc([S+](C)[O-])cc2)c(CN(C)C)c1,2.19,0.92
CHEMBL490803,N#Cc1cc([N+](=O)[O-])ccc1Oc1ccc(Cl)c(Cl)c1Cl,5.22,5.08
CHEMBL77792,O=C(O)Cc1ccccc1Oc1ccc(C(F)(F)F)cc1[N+](=O)[O-],4.03,0.47
CHEMBL1182309,CN(C)CCCCNC(=O)c1ccc(Oc2ccccc2)cc1,3.55,1.07
CHEMBL1207079,CC(C)C(=O)OC(OP(=O)(OC(OC(=O)C(C)C)C(C)C)C(CCCc1cccc(Oc2ccccc2)c1)S(=O)(=O)O)C(C)C,7.60,5.71
CHEMBL256819,CN(C)Cc1ccccc1Oc1ccc(Cl)cc1F,4.33,3.33
CHEMBL579600,C=CCc1cc(SC)ccc1Oc1ccc(N)cc1,4.51,4.37
CHEMBL2270124,CC(C)(C)c1ccc(Oc2ccccc2[N+](=O)[O-])cc1,4.68,4.96
CHEMBL78300,CNc1cc(Cl)cc(C)c1Oc1ccccc1CC(=O)O,4.11,0.59
CHEMBL588339,N=C(N)c1ccc(Oc2ccc(C(=N)N)cc2)cc1,2.05,-3.50
CHEMBL1205849,CCCCc1ccccc1Oc1cccc(CCCC(P(=O)(O)O)S(=O)(=O)O)c1,4.54,-0.66
CHEMBL2079086,N=C(N)SCc1cc(F)ccc1Oc1ccc(F)cc1CSC(=N)N,4.01,-0.80
CHEMBL304627,Cc1cc(Oc2ccc(Cl)cc2)c(S(C)(=O)=O)cc1C(=O)N=C(N)N,2.26,1.57
CHEMBL4068893,NCc1ccc(Oc2ccccc2)c(Cl)c1,3.59,1.47
CHEMBL1205847,CCCc1cccc(Oc2cccc(CCCC(P(=O)(O)O)S(=O)(=O)O)c2)c1,4.15,-1.08
CHEMBL1299309,CC(C)(CC(=O)O)CC(=O)NCc1c(Cl)cccc1Oc1ccccc1,4.64,0.66
CHEMBL4294485,COc1ccc(Oc2ccc(C(N)=O)cc2)cc1,2.59,2.17
CHEMBL1624691,CN(C)CCCOc1cccc(Oc2ccccc2)c1,3.81,1.54
CHEMBL496802,O=C(CP(=O)([O-])[O-])NCCCCc1cccc(Oc2ccccc2)c1.[K+].[K+],3.10,-0.24
CHEMBL1083689,CCNC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,5.21,4.02
CHEMBL1182314,CC(CN)c1ccc(Oc2ccccc2)cc1,3.54,0.93
CHEMBL1208111,O=C(CP(=O)(O)O)NCCCc1cccc(Oc2ccc(Cl)cc2)c1,3.36,-0.09
CHEMBL3559135,CCCC[N+](CCCC)(CCCC)Cc1ccc(Oc2ccc(C[N+](CCCC)(CCCC)CCCC)cc2)cc1,10.91,2.98
CHEMBL487222,CNC(C)c1ccccc1Oc1ccc(Cl)cc1,4.41,2.45
CHEMBL541905,C#CC(CN)c1ccc(Oc2ccccc2)cc1.Cl,3.15,0.88
CHEMBL257724,CC(=O)N(C[C@H](O)C(=O)NO)c1ccc(Oc2ccc(Cl)cc2)cc1,2.35,1.34
CHEMBL3628727,COc1ccc(Oc2cc([N+](=O)[O-])ccc2NS(C)(=O)=O)cc1,2.77,1.05
CHEMBL1208009,O=P(O)(O)C(CCCc1cccc(Oc2ccccc2C(F)(F)F)c1)S(=O)(=O)O,4.21,-1.54
CHEMBL1182303,NCCCOc1cccc(Oc2ccccc2)c1,3.21,0.16
CHEMBL2008786,CCN(CC)CCC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1,5.05,3.00
CHEMBL1205866,CC(C)CCc1ccccc1Oc1cccc(CCCC(P(=O)(O)O)S(=O)(=O)O)c1,4.78,-0.35
CHEMBL2009249,CCN(CC)CCC(=O)c1ccc(Oc2ccc(F)cc2)cc1,4.53,2.54
CHEMBL38558,C=CCOc1ccc(Oc2ccccc2)cc1[N+](=O)[O-],3.95,3.99
CHEMBL2105921,CC(=O)Oc1ccc(Oc2c(I)cc(C(=O)O)cc2I)cc1I,4.92,2.40
CHEMBL414212,CCCC(=O)Nc1ccc(Oc2ccccc2OC)cc1,4.23,3.70
CHEMBL7708,COc1cccc(Oc2ccc(NC(=O)CC(C)C)cc2)c1,4.47,3.99
CHEMBL3189674,O/N=C/c1ccccc1Oc1ccc(Cl)cc1,3.94,2.32
CHEMBL77690,O=C(O)Cc1ccccc1Oc1ccccc1[N+](=O)[O-],3.01,-0.38
CHEMBL198369,O=C(CNS(=O)(=O)c1ccc(Oc2ccc(Cl)cc2)cc1)NO,1.92,1.56
CHEMBL274415,CCCCCNC(=O)NS(=O)(=O)c1cc([N+](=O)[O-])ccc1Oc1ccc(C)cc1,3.87,3.24
CHEMBL151226,NC(Cc1cc(I)c(Oc2ccc(O)c(Br)c2)c(I)c1)C(=O)O,4.11,2.58
CHEMBL2068687,CCc1cc(C)c(Oc2c(I)c(C)c(CC(N)C(=O)O)c(C)c2I)c(C)c1Br,6.20,5.95
CHEMBL200514,O=C(NO)c1ccc(Oc2ccc(Cl)cc2O)c(Cl)c1,3.61,3.04
CHEMBL1723642,O=C(NCCO)c1ccc(Oc2ccc(C(F)(F)F)cc2[N+](=O)[O-])cc1,3.13,2.68
CHEMBL3451017,COC(C)C(=O)N(CC(N)=O)Cc1cccc(Oc2ccccc2)c1,2.33,1.71
CHEMBL2271472,CCCc1ccc(Oc2ccc(OC/C=N/OCC)cc2)cc1,4.83,4.78
CHEMBL131783,CC(C)(C)/N=C(\S)NCCOc1ccc(Oc2ccccc2)cc1,4.53,5.37
CHEMBL38857,C=CCSC(=S)OCCOc1ccc(Oc2ccccc2)cc1,5.08,5.96
CHEMBL449542,CCc1cc(Oc2cc(Cl)ccc2CNC)ccc1Cl,5.07,3.80
CHEMBL481695,CN(C)Cc1cc(C(N)=O)ccc1Oc1ccc(OC(F)(F)F)cc1,3.54,3.34
CHEMBL325149,CCCCCCCCCP(=O)(OCC)OCc1cccc(Oc2ccccc2)c1,7.98,6.81
CHEMBL3447708,Cc1ccc(Oc2c(F)cccc2OC[C@@H](N)CC(C)C)cc1,4.68,2.75
CHEMBL1330075,Cc1ccc(Oc2ccc(C(=N)NO)cc2)cc1C,3.40,1.76
CHEMBL2269138,COc1cc(CCC(=O)O)ccc1Oc1c(OC)cc(CCC(=O)O)cc1OC,3.54,-3.63
CHEMBL73866,COCC(CS(=O)(=O)c1ccc(Oc2ccc(OC(F)(F)F)cc2)cc1)N(O)C=O,3.01,2.79
CHEMBL335547,COc1cccc(Oc2ccc([N+](=O)[O-])cc2C#N)c1,3.27,3.11
