chemblID,smiles,ALogP,LogD
CHEMBL2079458,CC(C)=CCn1cc(C[N+](C)(C)C)c2ccccc21,3.81,-0.56
CHEMBL163935,COC(=O)C(CN)c1c[nH]c2ccc(O)cc12,1.09,-0.72
CHEMBL163263,COC(=O)C(CN)c1c[nH]c2ccc(Br)cc12,2.15,0.37
CHEMBL2260858,CCCCCNC(=O)CCc1c[nH]c2ccccc12,3.41,3.34
CHEMBL1207742,CC(C)(C)OC(=O)/C=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12,4.53,1.11
CHEMBL1200045,COc1ccc2[nH]cc(C(CN)CO)c2c1,1.21,-1.66
CHEMBL1578800,C=COCCn1c(C)c(C(=O)OCC)c2cc(O)ccc21,2.99,3.01
CHEMBL1622656,CN(C)CCn1c(C(=O)O)cc2ccccc21,1.90,-0.84
CHEMBL71519,N#CC(C#N)=C(N)/C(C#N)=C/c1c[nH]c2ccccc12,2.33,1.15
CHEMBL1939862,CCOC(=O)c1cc2cc(C(N)=O)ccc2[nH]1,1.44,1.20
CHEMBL3990759,CCCCOc1ccc2[nH]cc(CCN)c2c1,2.85,0.37
CHEMBL2079449,CCCCCCCCCCCCn1cc(CCC[N+](C)(C)C)c2ccccc21,7.20,3.69
CHEMBL38633,CN(C)CCn1ccc2ccccc21,2.20,0.48
CHEMBL3137306,N[C@H](CCC(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)O)C(=O)O,0.47,-5.12
CHEMBL1900892,CNC(=O)/C(C#N)=C/c1cn(CC(=O)OC)c2ccccc12,1.47,1.31
CHEMBL1789395,NCC(NO)c1c[nH]c2ccc(I)cc12,1.75,0.35
CHEMBL1621648,CCOC(=O)c1c(CSC(=N)N)n(C)c2cc(Br)c(OC(C)=O)cc12,3.17,0.52
CHEMBL1181340,COC(=O)C(CN(C)C)c1c[nH]c2ccc(OC)cc12,1.99,0.13
CHEMBL3990522,CCCCCCCCCCCCOc1ccc2[nH]cc(CCN)c2c1,5.97,3.93
CHEMBL1624068,CCOC(=O)c1c(C)n(C)c2ccc(OCC(O)CN(CC)CC)cc12,2.74,0.95
CHEMBL65698,O=C(O)CCCCc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12,3.97,-2.72
CHEMBL1906356,CC(Cc1c[nH]c2ccccc12)NC(=O)OCCCl,3.06,3.01
CHEMBL3290551,CCCOc1cc(OC)cc2[nH]c(C(=O)OC)cc12,2.75,2.56
CHEMBL7220,COc1ccc2c(c1)c(CCN(C)C)cn2C,2.29,0.24
CHEMBL1616674,CCCCc1ccc2[nH]cc(CCN)c2c1,3.01,1.06
CHEMBL3544580,CNS(=O)(=O)Cc1ccc2[nH]cc(CC(=O)O)c2c1,0.84,-2.94
CHEMBL2229705,COn1c(CN)cc2ccccc21,1.16,-0.12
CHEMBL188302,CCn1c(/C(O)=C/C(=O)C(=O)O)cc2ccccc21,2.21,-1.85
CHEMBL4204261,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CS)C(=O)O,-0.35,-2.85
CHEMBL1620333,COc1ccc2c(c1)c(C(=O)OCCN(C)C)c(C)n2C,2.21,1.30
CHEMBL2111029,N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,0.47,-5.06
CHEMBL515020,COC(=O)CC[C@H](NC(=O)[C@@H](N)Cc1c[nH]c2ccccc12)C(=O)OC,0.65,-0.08
CHEMBL3609910,NCCc1c(CCCCl)[nH]c2ccc(Br)cc12,3.60,1.08
CHEMBL1392336,NC(=O)COC(=O)CCCc1c[nH]c2ccccc12,1.52,1.42
CHEMBL521635,CCCCCCCCCCCCCCCCCCCCCCCCC(=O)NCCc1c[nH]c2ccccc12,10.82,11.79
CHEMBL1491258,Cc1[nH]c2ccc(O)cc2c1CCN.O=C(O)/C=C\C(=O)O,1.68,-0.84
CHEMBL64368,COC(=O)c1cc2c(CCCNC(C)=O)c(OC)ccc2[nH]1,2.03,1.52
CHEMBL379616,CCC(=O)NCC(C)c1cn(C)c2ccc(OC)cc12,2.82,2.44
CHEMBL368229,COc1ccc2[nH]cc(CCCN(C)C)c2c1,2.67,0.39
CHEMBL1357163,CC(C)(O)c1[nH]c2cc(F)ccc2c1C(C)(C)O,2.76,1.99
CHEMBL3290557,COC(=O)c1cc2ccc(N)cc2[nH]1,1.54,1.17
CHEMBL538703,Cc1ccc2c(CC(N)C(=O)O)c[nH]c2c1,1.43,-0.58
CHEMBL232893,Cc1cccc2c(CC(=O)O)c[nH]c12,2.10,-0.36
CHEMBL224963,COc1cccc2[nH]cc(CCCCCCCCCCCCO)c12,5.61,5.88
CHEMBL355710,Cn1ccc2cccc([N+](=O)[O-])c21,2.09,2.24
CHEMBL516505,Cn1cc(C[C@H](NC(=O)OC(C)(C)C)C(=O)O)c2ccccc21,2.70,-0.17
CHEMBL389737,CNC(=S)NCc1c[nH]c2ccccc12,1.76,1.80
CHEMBL1999089,COc1c(CC(C)=O)c2ccccc2n1C(C)=O,2.44,1.29
CHEMBL1572453,C=CCn1c(O)c(N=NC(=O)OC(C)(C)C)c2ccccc21,4.55,4.11
CHEMBL169776,O=C(O)CCc1c(C(=O)[O-])[nH]c2cc(Cl)cc(Cl)c12.[Na+],3.19,-3.68
CHEMBL8354,CON(C)CCc1c[nH]c2ccccc12,2.20,1.92
CHEMBL3469836,COCCn1ccc2cc(NC(C)=O)ccc21,2.25,1.49
CHEMBL391350,CCCC(=O)NCCc1c[nH]c2c(C)cc(OC)cc12,2.94,2.81
CHEMBL2287134,Cc1cccc2c(C(CC(=O)O)C(F)(F)F)c[nH]c12,3.60,0.51
CHEMBL308032,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NOCC(=O)OC)CC(C)C,1.21,1.14
CHEMBL2441962,C/C=C/n1cc(/C=C/C(=O)CC(=O)C(=O)O)c2ccccc21,2.76,0.39
CHEMBL107487,CCCCCCCCCOc1ccc2[nH]cc(CC(C)N)c2c1,5.19,2.84
CHEMBL2036915,CNCCc1cn(CC=C(C)C)c2ccccc12,3.37,0.77
CHEMBL162260,CCOC(=O)C(N)Cc1c[nH]c2ccc(O)cc12,1.31,1.24
CHEMBL59826,CCC(=O)NCCCn1c(C(=O)OC)cc2ccc(OC)cc21,2.35,1.84
CHEMBL3504643,Cc1[nH]c2c(C)cccc2c1CC(=O)N(C)CCN(C)C.O=C(O)CC(O)(CC(=O)O)C(=O)O,2.35,0.98
CHEMBL207225,O=C(O)CCc1c[nH]c2ccccc12,2.19,-0.40
CHEMBL3451868,CNC(=O)Cn1ccc2ccc(NC(=O)C(C)C)cc21,1.98,1.67
CHEMBL3458058,CC(C)(C)S(=O)(=O)CCNC(=O)c1ccc2cc[nH]c2c1,2.11,1.34
CHEMBL1457590,Br.CCOC(=O)c1c(CSC(=N)N)n(C)c2cc(Br)c(OC(C)=O)cc12,3.17,0.52
CHEMBL3121875,C/C(=C\c1c[nH]c2ccccc12)C(=O)O,2.66,-0.22
CHEMBL3115791,CCCCCCc1c(C(=O)CC(C)CC(=O)O)c2ccccc2n1C,4.98,2.10
CHEMBL4213806,COC(=O)Cc1c(C)[nH]c2ccccc12,2.19,2.06
CHEMBL2377121,CCCCNNC(=O)c1cc2ccccc2[nH]1,2.20,2.09
CHEMBL387537,COC(=O)NCc1c[nH]c2ccccc12,2.02,1.64
CHEMBL3040356,Nc1cc2ccccc2[nH]1,1.75,1.33
CHEMBL1620961,CCOC(=O)c1c(CN(C)C)n(C)c2ccc(OC(C)=O)cc12,2.34,1.86
CHEMBL1517516,Cc1[nH]c2c(C)cccc2c1CC(=O)O,2.41,-0.11
CHEMBL1428166,Br.CCCCCCCCOC(=O)c1c(CSC(=N)N)n(C)c2cc(Br)c(OC(C)=O)cc12,5.51,3.26
CHEMBL581120,Cn1cc(C(=O)C(C)(C)N)c2ccccc21,2.10,1.42
