chemblID,smiles,ALogP,LogD
CHEMBL1208503,C[C@]12CC[C@@H]3c4ccc(OC(=O)CC(=O)NC(P(=O)(O)O)P(=O)(O)O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,1.95,-3.38
CHEMBL3558321,CCCCCCCCCCCC[N+](C)(CCCCCCCCCCCC)CCC[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,13.05,9.92
CHEMBL1627646,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2N,3.58,1.06
CHEMBL1689094,CC(C)[C@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,7.35,7.98
CHEMBL2106236,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@H](O)[C@H](O)C[C@@H]12,2.88,2.82
CHEMBL1627503,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@]2(O)/C=C\I,4.93,4.97
CHEMBL3544579,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4c(ccc(O)c4O)[C@H]3CC[C@@]21C,3.32,3.59
CHEMBL220763,COc1cc2c(cc1OS(N)(=O)=O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](OS(=O)(=O)N(C)C)CC[C@@H]12,2.33,2.46
CHEMBL1627713,CCOC[C@H]1C[C@]2(C)[C@@H](O)CC[C@H]2[C@@H]2CCc3cc(O)ccc3[C@@H]12,3.87,3.67
CHEMBL1092234,CCc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](NS(N)(=O)=O)CC[C@@H]12,2.97,3.45
CHEMBL1627557,CCOC(=O)C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,3.93,3.89
CHEMBL1627987,C#C[C@]1(O)C(C)C[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,3.86,4.26
CHEMBL1080758,COc1cc2c(cc1C(N)=O)CC[C@@H]1[C@@H]2CC[C@]2(C)CCC[C@@H]12,4.04,3.97
CHEMBL1627933,C[C@]12CC[C@@H]3c4ccc(N)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,3.49,3.22
CHEMBL239511,CCOP(=O)(OCC)Oc1cc2c(cc1OC)[C@H]1CC[C@]3(C)[C@@H](OP(=O)(OCC)OCC)CC[C@H]3[C@@H]1CC2,7.68,5.75
CHEMBL1627443,CCCCCc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,5.34,6.04
CHEMBL3558301,CCCCCCCCCC[N+](C)(CCCCCCCCCC)CCC[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,11.49,8.14
CHEMBL1627549,C=C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3[C@@H](OC)C[C@@]21C,3.79,3.73
CHEMBL1628083,COC(=O)C[C@H]1C[C@H](O)[C@@]2(C)CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@H]12,3.40,3.30
CHEMBL467987,C[C@]12CC[C@@H]3c4cc(O)c(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,3.31,3.44
CHEMBL1078964,CCNC(=O)c1cc2c(cc1OC)[C@H]1CC[C@]3(C)CCC[C@H]3[C@@H]1CC2,4.69,4.55
CHEMBL2104167,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(O)C(Cl)(Cl)Cl,5.32,5.60
CHEMBL1627565,C[C@]12CC[C@@H]3c4cccc([N+](=O)[O-])c4CC[C@H]3[C@@H]1CC[C@@H]2O,3.81,3.99
CHEMBL1627981,CN(C)CCO[C@H]1C[C@]2(C)[C@@H](O)CC[C@H]2[C@@H]2CCc3cc(O)ccc3[C@@H]12,3.17,1.62
CHEMBL4594261,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H]([18F])[C@@H]2O,3.56,3.56
CHEMBL2074797,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O,2.06,-0.18
CHEMBL1627855,C[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,4.88,5.26
CHEMBL594118,CCC[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)c(OC)cc4[C@H]3CC[C@]12C,5.67,5.99
CHEMBL1627924,CCO[C@H]1C[C@@]2(C)[C@@H](C[C@@H](Cl)[C@H]2O)[C@@H]2CCc3cc(O)ccc3[C@@H]12,3.84,3.72
CHEMBL1207326,COc1cc2c(cc1OP(=O)(O)O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,3.38,-0.30
