chemblID,smiles,ALogP,LogD
CHEMBL1741121,C=C(C)CCC[C@@H](COS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@]4(O)[C@H](O)[C@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@@]21C,4.10,-0.75
CHEMBL3558515,C[C@H](CCCOS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@@]21C,5.24,2.66
CHEMBL3138036,C#CC[C@@H]1C2C[C@H](O)CC[C@]2(C)[C@H]2CC[C@]3(C)C([C@H](C)CCC(=O)O)CC[C@H]3[C@@H]2[C@@H]1O,4.73,1.43
CHEMBL1206713,CC(C(O)C(O)[C@@H](C)C1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](OS(=O)(=O)O)[C@H](OS(=O)(=O)O)C[C@]4(C)[C@@]3(C)CC[C@]12C)C(C)(C)C,5.06,0.38
CHEMBL3623934,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OC(=O)CN)CC[C@]4(C)[C@H]3CC[C@@]21C,5.11,4.51
CHEMBL2159716,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](N)CC[C@]4(C)[C@H]3CC[C@@]21C,5.56,2.32
CHEMBL3638301,C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](OS(=O)(=O)O)CC[C@@H]4[C@H]3CC[C@@]21C,3.19,0.73
CHEMBL1851729,C[C@H](CO)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](NCCCNCCCCN)CC[C@]4(C)[C@H]3CC[C@@]21C,4.95,-2.92
CHEMBL3304324,CC(NCCCCN)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,4.72,-1.81
CHEMBL4070145,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3OC,5.22,4.50
CHEMBL3638297,C#C[C@]1(O)CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OS(=O)(=O)O)CC[C@@H]4[C@H]3CC[C@@]21C,3.19,0.73
CHEMBL1852581,C[C@H](CO)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4C[C@H](NCCCNCCCCN)CC[C@]4(C)[C@H]3CC[C@@]21C,4.95,-2.92
CHEMBL3558512,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4CCCC[C@]4(C)[C@H]3CC[C@@]21C,4.43,1.16
CHEMBL2220197,C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)CC1C[C@H]3O,2.37,-1.46
CHEMBL3306778,C[C@H](CCCCCOS(=O)(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](OS(=O)(=O)O)C[C@H]1C[C@H]3OS(=O)(=O)O,4.65,-2.48
CHEMBL3623982,COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](OC(=O)CN)CC[C@]4(C)[C@H]3C[C@H](OC(=O)CN)[C@@]21C,3.59,2.63
CHEMBL1208214,CCCC(=O)OC(C(CC)C(C)C)C(OC(=O)CCC)[C@@H](C)[C@H]1[C@@H](O)[C@H](OC(C)=O)[C@H]2[C@@H]3CCC4C[C@H](OS(=O)(=O)O)[C@@H](OS(=O)(=O)O)C[C@]4(C)[C@H]3CC[C@@]21C,5.89,1.53
CHEMBL1741120,CC(C)CCC[C@@H](COS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4[C@H](O)[C@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3[C@@H](O)[C@@H](O)[C@@]21C,3.01,-1.71
CHEMBL3401356,CC[C@H]1[C@H](O)[C@@H]2[C@H](CC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)C[C@H](C)C(=O)O)[C@@]2(C)CC[C@@H](O)C[C@@H]12,5.36,2.34
CHEMBL514674,C[C@H](CCC(=O)[O-])[C@H]1CC[C@H]2[C@]3(C)CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C.[Na+],4.87,1.45
CHEMBL2029152,CCCCCCCCNCCC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](OCCCN)[C@@]21C)[C@@]1(C)CC[C@@H](OCCCN)CC1C[C@H]3OCCCN,7.43,-5.16
CHEMBL3558289,C[C@H](CC/C=C/C(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,3.95,0.66
CHEMBL3039946,CC(C)[C@@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@H]4C[C@@H](NCCCNCCCCNCCCN)CC[C@]4(C)[C@H]3CC[C@@]21C)OS(=O)(=O)O,5.53,-1.51
CHEMBL2069084,CC(/C=N/OCCN)=C\[C@H]1CC[C@]2(O)[C@@H]3CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,4.03,1.57
CHEMBL1182685,C[C@H](CO)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](NCCCNCCCCN)C[C@@H]1C[C@H]3N,3.89,-7.09
