chemblID,smiles,ALogP,LogD
CHEMBL4160412,COc1ccc2c(c1)CC[C@H]1C(C)(C)CCC[C@]21C,4.73,5.15
CHEMBL426289,C=CCCCOC(=O)[C@@]1(C)CCC[C@]2(C)c3cc(O)ccc3CC[C@@H]12,4.91,5.81
CHEMBL1193756,CC(N)CCCNC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CCC21,5.54,0.04
CHEMBL2220581,CC1(C(=O)O)CCCC2(C)c3cc(O)ccc3CCC12,3.49,1.35
CHEMBL1395741,C[C@@]12CCC(O)C[C@H]1CCc1ccccc12,3.05,3.34
CHEMBL357041,COC(=O)[C@@]1(C)CCC[C@]2(C)c3cc(O)c(O)cc3CCC12,3.28,4.04
CHEMBL3358323,CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)C(=O)OCC(O)C[N+](C)(C)C,4.43,1.12
CHEMBL497160,CC(C)c1cc2c(cc1N)[C@@]1(C)CCC[C@@](C)(C(=O)O)[C@@H]1CC2,4.49,2.18
CHEMBL487602,CC(C)c1c(O)ccc2c1CC[C@H]1C(C)(C)CCC[C@]21C,5.55,6.25
CHEMBL1929338,CCN(CC)CC(O)COc1ccc2c(c1C(C)C)CC[C@H]1C(C)(C)CCC[C@]21C,5.92,4.65
CHEMBL3343800,CCCCCCCC/C=C/CCCCCCCC(=O)Oc1cc2c(cc1C(C)C)CC[C@H]1C(C)(C)CCC[C@]21C,11.78,13.17
CHEMBL3805528,C=CC(=O)NC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3CC[C@H]21,5.12,5.74
CHEMBL1195341,CC(C)c1ccc2c(c1)CC[C@H]1C(C)(CN)CCC[C@]21C,4.78,2.78
CHEMBL3742179,COCCC(=O)c1cc2c(cc1OC)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC2,3.92,3.54
CHEMBL119540,C[C@]12CC[C@@H](O)[C@@](C)(CO)[C@@H]1CCc1cc(CO)c(O)cc12,1.86,1.73
CHEMBL193987,CC(C)c1cc2c(cc1O)[C@@]1(CO)CCCC(C)(C)[C@@H]1CC2,4.52,4.97
