chemblID,smiles,ALogP,LogD
CHEMBL92372,COC(=O)P(=O)([O-])Oc1ccc2c(c1)CCC2.[Na+],2.51,0.10
CHEMBL1191830,C#CCNC1CCc2cccc(OC(=O)N(C)CCC)c21,2.74,2.49
CHEMBL1191411,CCCN(C)C(=O)Oc1cccc2c1C(N)CC2,2.47,0.79
CHEMBL4168139,CC(=O)OCCc1c(C)c(O)c2c(c1C)[C@@H](O)C(C)(C)C2,2.73,3.18
CHEMBL3546240,C#CCN[C@@H]1c2ccccc2C[C@H]1F,1.84,2.01
CHEMBL156028,O=C(O)CCC(NC(=O)C1Cc2ccccc2C1)C(=O)OCCCS,1.61,-0.98
CHEMBL1192855,C#CCNC1CCc2c(Cl)cc(OC(=O)N(C)CC)cc21,3.00,2.30
CHEMBL2109980,C#CCN[C@@H]1CCc2ccc(OC(=O)N(C)CCC)cc21,2.74,2.08
CHEMBL1207653,O=C(O)P(=O)(O)Oc1ccc2c(c1)CCC2,2.42,-3.29
CHEMBL1196098,C#CCNC1CCc2cccc(OC(=O)N(C)C)c21,1.96,1.62
CHEMBL1205388,COC(=O)P(=O)(O)Oc1ccc2c(c1)CCC2,2.51,0.10
CHEMBL1621906,CCCCN(C)CCC(=O)Nc1ccc2c(c1)CCC2,3.24,1.39
CHEMBL3277295,CCC1Cc2ccc(C(C)C(=O)O)cc2C1,3.00,1.30
CHEMBL1740053,CC(C)NCC(O)COc1ccc2c(c1)CCC2,1.91,0.38
CHEMBL1194883,C#CCNC1CCc2ccc(OC(=O)NCC)cc21,2.00,1.33
CHEMBL1193054,CN(C)C(=O)Oc1cccc2c1CCC2N(C)C,2.30,0.62
CHEMBL1193059,NC1CCc2c(Cl)cc(I)c(O)c21,2.60,1.90
CHEMBL1195073,NCC1(CC(=O)O)CCc2cc(Cl)ccc21,1.96,-0.36
CHEMBL1190018,CCN(CC)C1Cc2ccc(O)c(O)c2C1,1.91,0.38
CHEMBL1191089,CCCc1cc(C)c2c(c1O)C(N)CC2,2.60,0.98
CHEMBL544166,C#CCN(C)C1CCc2cccc(OC(=O)N(C)CCC)c21.Cl,3.08,2.98
CHEMBL1194062,CCN(C)C(=O)Oc1ccc2c(c1)C(N)CC2,2.08,-0.24
CHEMBL1190208,CCCNC1CCc2ccc(OC(=O)N(C)CC)cc21,3.12,0.94
CHEMBL1195924,C#CCNC1CCc2ccc(OC(=O)N(C)CCC)cc21,2.74,2.08
CHEMBL1193314,CCCNC1Cc2ccc(OC)c(OC)c2C1,2.17,-0.13
CHEMBL545104,CCNC1CCc2ccc(OC(=O)N(C)C)cc21.Cl,2.34,0.20
CHEMBL554179,C#CCNC1CCc2c(OC(=O)N(C)C)cccc21.Cl,1.96,1.18
CHEMBL1503608,O=C(CCCO)NC1Cc2ccccc2C1,1.04,1.01
CHEMBL1382761,CC(C)[C@H](NC(N)=O)C(=O)Nc1ccc2c(c1)CCC2,1.81,2.24
CHEMBL1970024,COC(=O)/C=C/c1ccc2c(c1)CCC2,2.36,3.52
CHEMBL1190138,CC(C)NC1Cc2cc(O)c(O)cc2C1,1.56,-0.44
CHEMBL1192900,NCC1(CC(=O)O)CCc2ccccc21,1.30,-0.96
CHEMBL556028,C#CCNC1CCc2ccc(OC(=O)N(C)CCCCCC)cc21.Cl,3.91,3.41
CHEMBL542266,CN(C)C(=O)Oc1ccc2c(c1)C(N(C)C)CC2.Cl,2.30,0.65
CHEMBL1196207,C#CCNC1CCc2c(Cl)cc(OC(=O)N(C)CCC)cc21,3.39,2.82
CHEMBL1191434,CCCNC1Cc2ccccc2C1,2.15,0.05
CHEMBL1191202,CCCN(C)C(=O)Oc1ccc2c(c1)C(N)CC2,2.47,0.28
CHEMBL255230,C#CCN[C@@H]1CCc2cc(Cl)c(OC(=O)N(C)CCC)cc21,3.39,2.78
CHEMBL113243,CCCC(=O)NCC1CCc2ccc(OC)cc21,2.64,2.61
CHEMBL297506,C#CCNC1CCc2ccc(O)cc21,1.60,1.35
CHEMBL554452,CN(C)C(=O)Oc1cccc2c1CCC2N.Cl,1.69,-0.61
CHEMBL1206001,CCCCCCCC(=O)N[C@@H]1c2ccccc2C[C@@H]1OP(=O)(O)O,3.24,-0.20
CHEMBL1381767,CCN(CC)CCCNCC(=O)Nc1ccc2c(c1)CCC2,2.44,-0.04
CHEMBL1194856,COc1ccc2c(c1OC)CC(NC(C)C)C2,2.17,-0.19
CHEMBL543815,CCCc1cc(CC)c2c(c1O)C(N)CC2.Cl,2.85,1.44
CHEMBL1195957,CN(C)C(=O)Oc1ccc2c(c1)C(N)CC2,1.69,-0.60
CHEMBL1193155,Cc1cc(CN)c(O)c2c1CCC2N,1.11,-2.77
CHEMBL8467,C=C=CCN(C)C1CCc2ccccc21,2.95,2.30
CHEMBL1193475,CN(C)C1Cc2ccccc2C1,1.72,0.23
CHEMBL1193053,CCN(C)C(=O)Oc1cccc2c1CCC2N,2.08,-0.25
CHEMBL1194115,CCNC1Cc2ccc(O)c(O)c2C1,1.17,-0.53
CHEMBL424890,COc1cc(Br)c(OC)c2c1C(CN)CC2,2.45,0.02
CHEMBL146586,C[C@@H](CCl)NC(=O)Nc1ccc2c(c1)CCC2,2.92,3.19
CHEMBL3303090,N=C(N)NC1CCc2ccccc21,1.16,-1.10
CHEMBL1193261,CNC1CCc2ccc(OC(=O)N(C)C)cc21,1.95,-0.07
CHEMBL1192856,C#CCN(C)C1CCc2cccc(OC(=O)N(C)CCC)c21,3.08,2.98
CHEMBL513624,CCCNC(=O)CC1CCc2cc(OC)c(OC)cc21,2.65,2.37
CHEMBL1192097,CC(C)N(C)C1Cc2cc(O)c(O)cc2C1,1.91,0.07
CHEMBL1194939,Cc1cc(C(C)(C)C)c(O)c2c1CCC2N,2.94,1.01
CHEMBL1191043,CNC1Cc2cc(OC)c(OC)cc2C1,1.39,-0.89
CHEMBL1192561,CCCc1cc(CC)c2c(c1O)C(N)CC2,2.85,1.44
CHEMBL277347,NC1Cc2cc(O)c(O)cc2C1,0.52,-1.48
CHEMBL1196140,CCNC1Cc2ccc(OC)c(OC)c2C1,1.78,-0.53
CHEMBL1189122,CN(C)C(=O)Oc1cccc2c1C(N)CC2,1.69,-0.09
CHEMBL578297,CC(NCCCN(C)C)c1cc(C(C)(C)C)cc2c1CCC2(C)C,4.81,2.53
CHEMBL457996,NC1Cc2ccc(S(N)(=O)=O)cc2C1,-0.24,-2.24
CHEMBL1481254,CC(=O)C(=NNc1cc2c(c([N+](=O)[O-])c1C)C(C)(C)CC2(C)C)C(C)=O,3.81,3.84
CHEMBL1204393,Cl.N=C(N)Nc1ccc2c(c1)CCC2,1.48,-0.40
CHEMBL544218,Cl.NCC1(CC(=O)O)CCc2ccccc21,1.30,-0.96
CHEMBL544888,CN(C)C1Cc2ccccc2C1.Cl,1.72,0.23
CHEMBL62517,Cc1cc(C)c2c(c1O)C(NC(=O)CCl)CC2,2.35,2.72
CHEMBL2376608,CC(C)=C[C@H]1c2c(C)ccc(C)c2[C@@H](O)[C@@H]1C(C)(C)O,3.79,3.50
CHEMBL356823,CCCN(CCC)C1Cc2ccc(OC)cc2C1,3.28,0.98
CHEMBL1256838,CCCN(CCC)C1Cc2cc(OC)c(OC)cc2C1.O=C(O)/C=C\C(=O)O,3.29,0.88
CHEMBL142573,CCN(CC)C1Cc2cc(OC)c(OC)cc2C1,2.51,0.28
CHEMBL554456,Br.CNC1Cc2cc(O)c(O)cc2C1,0.78,-1.11
CHEMBL543757,COc1cc2c(cc1OC)CC(N(C)C(C)C)C2.Cl,2.51,0.33
CHEMBL543279,Br.CC(C)N(C)C1Cc2cc(O)c(O)cc2C1,1.91,0.07
CHEMBL554244,Br.CC(C)NC1Cc2ccc(O)c(O)c2C1,1.56,-0.19
CHEMBL3800582,C#CCOC(=O)N[C@H]1c2ccccc2C[C@H]1O,1.00,1.23
CHEMBL23641,CC(CS)C(=O)N(CC(=O)O)c1ccc2c(c1)CCC2,2.16,-0.24
CHEMBL1313742,CC(C)(C)NC(=O)NC(=O)COC(=O)COc1ccc2c(c1)CCC2,1.72,2.05
CHEMBL1195313,CC(C)NC1Cc2ccc(O)c(O)c2C1,1.56,-0.19
CHEMBL1195312,CCCNC1Cc2ccc(O)c(O)c2C1,1.56,-0.12
CHEMBL1193859,C#CCNC1CCc2ccc(OC(=S)N(C)C)cc21,2.12,2.07
CHEMBL31332,CCCN(CCC)CC1CCc2c1ccc(O)c2O,3.25,0.91
CHEMBL558908,NC(CNC(=O)C1Cc2ccccc2C1)C(=O)O,-0.07,-1.78
CHEMBL341036,COc1cc(CCN)c(OC)c2c1CCC2,1.69,-0.16
CHEMBL113244,CCC(=O)NCC1CCc2ccc(OC)cc21,2.25,2.16
CHEMBL1788298,C#CCN[C@@H]1CCc2ccc(OC(=O)N(C)C)cc21.Cl,1.96,1.20
CHEMBL478103,Cc1ccc2c(c1C=O)[C@@](C)(C=O)CC2(C)C,2.95,3.41
CHEMBL544697,CCCNC1Cc2ccc(OC)c(OC)c2C1.Cl,2.17,-0.13
CHEMBL3443409,CCOc1cc2c(cc1CCC(=O)O)CCC2,2.59,0.46
CHEMBL1718323,CC(C)NCC(O)COc1ccc2c(c1)CCC2.Cl,1.91,0.38
CHEMBL1331461,Cc1cc(Br)c(OCC(=O)NN)c2c1CCC2,1.61,2.48
CHEMBL1314913,O=S(=O)(N[C@H]1C[C@H](NS(=O)(=O)OCC(Cl)(Cl)Cl)c2ccccc21)OCC(Cl)(Cl)Cl,3.61,3.00
