chemblID,smiles,ALogP,LogD
CHEMBL1190131,COc1cc2c(cc1OC)[C@@H](C)NCC2,1.91,0.17
CHEMBL145519,O=[N+]([O-])c1cc2c(c([N+](=O)[O-])c1)CCNC2,1.15,0.72
CHEMBL1852701,CC(C)C[C@H](NC(=O)[C@@H]1Cc2ccccc2CN1)C(=O)NO,0.74,0.90
CHEMBL1615276,O=S(=O)(N1CCc2cc(O)ccc2C1)C(F)(F)F,1.60,2.48
CHEMBL41487,OCC1Cc2ccc(Br)cc2CN1,1.46,0.66
CHEMBL1852845,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1Cc2ccccc2CN1)C(=O)NO,1.27,1.62
CHEMBL1198225,CCCCCCNC(=O)[C@@H]1Cc2ccc(OCC(=O)NO)cc2CN1,1.28,1.07
CHEMBL177861,CCNS(=O)(=O)c1ccc2c(c1)CNC(CF)C2,0.97,0.89
CHEMBL3305609,CN1Cc2cc(O)c(O)cc2C(C)(C)C1,1.82,1.70
CHEMBL2106234,CC[S+]([O-])CCCN1CCc2ccccc2C1.Cl,2.20,0.68
CHEMBL555559,COc1c2c(c(OC)c(OC)c1OC)CN(C)CC2.Cl,1.71,0.23
CHEMBL2220735,CCOC(=O)C1Cc2ccccc2CN1,1.26,1.76
CHEMBL1830509,Cl.O=C(CCNC(=O)[C@@H]1Cc2ccccc2CN1)NO,-0.29,-0.83
CHEMBL320367,O=[N+]([O-])c1ccc2c(c1)CNCC2CF,1.75,0.38
CHEMBL23351,O=C(O)C1c2ccccc2CCN1C(=O)CCS,1.52,-1.71
CHEMBL139495,O=[N+]([O-])c1ccc2c(c1)CN[C@H](CF)C2,1.58,1.59
CHEMBL1185759,COc1cc2c(c(OC)c1OC)C(C)N(C)CC2,2.26,0.88
CHEMBL1852690,O=C(O)CCNC(=O)CCNC(=O)c1ccc2c(c1)CNCC2,0.04,-3.01
CHEMBL3460515,COCCNC(=O)Nc1cccc2c1CCN(S(C)(=O)=O)C2,0.77,-0.24
CHEMBL1622660,C=CCC1NCCc2c(Br)cccc21,3.21,1.74
CHEMBL3460193,COC(=O)NCC(=O)N1CCc2cc(Cl)cc(Cl)c2C1,2.23,1.90
