chemblID,smiles,ALogP,LogD
CHEMBL3290455,CC1Cc2cccc(C(N)=O)c2O1,1.11,1.12
CHEMBL332890,CC(C)(C)c1cc(C(N)=O)cc2c1OCC2(C)C,2.75,2.99
CHEMBL153422,Cc1c(N)cc2c(c1C)OC(C)(C)C2,2.60,2.75
CHEMBL3290463,CC1Cc2cc(N)cc(C(N)=O)c2O1,0.69,0.29
CHEMBL318325,CCCCC1(CCCC)Cc2c(cc(C(C)(C)C)c(O)c2C(C)(C)C)O1,7.04,8.16
CHEMBL3290462,CC1Cc2cc([N+](=O)[O-])cc(C(N)=O)c2O1,1.02,1.06
CHEMBL3274499,CC1Cc2cc(CC(=O)O)cc(Cl)c2O1,2.29,-0.76
CHEMBL1453254,CC1(C)Cc2cccc(OCC(=O)O)c2O1,1.86,-1.46
CHEMBL1466742,CCOc1cc2c(cc1C=O)OC(C)C2,2.22,2.18
CHEMBL118778,COC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,3.44,4.15
CHEMBL2334417,C=C(COC(=O)C(C)C)[C@H]1Cc2cc(C(C)=O)ccc2O1,2.95,2.85
CHEMBL1199778,N[C@@H](C[C@]1(C(=O)O)Cc2ccccc2O1)C(=O)O,0.25,-5.06
CHEMBL4117947,C/C=C/CN(C)Cc1ccc2c(c1)CCO2,2.63,1.86
CHEMBL154676,COC(=O)/C=C\C1(C)Cc2c(C)c(N)c(C)c(C)c2O1,2.62,3.44
CHEMBL151793,CC(=O)Nc1c(C)c(C)c2c(c1C)CC(C)(C)O2,3.28,3.33
CHEMBL463974,C=C(C)[C@H]1Cc2cc(C(C)=O)ccc2O1,2.77,2.45
CHEMBL3466230,CN(CC(N)=O)C(=O)C1Cc2cc(Cl)ccc2O1,0.59,0.46
CHEMBL3290464,NC(=O)c1cc(F)cc2c1OCC2,0.86,0.85
CHEMBL3980676,CC(C)(O)[C@@H]1Cc2cc(C=O)ccc2O1,1.57,1.63
CHEMBL319049,CC(C)(C)c1cc2c(c(C(C)(C)C)c1O)CCO2,3.92,4.64
CHEMBL143229,COC(=O)C1c2c(C)c(O)c(C)c(C)c2OC1(C)C,2.75,3.31
CHEMBL14518,C#CCCCC(=O)c1cc2c(c(C(C)(C)C)c1)OCC2,3.91,4.19
CHEMBL107401,CCCC1(CCC)Cc2c(cc(C(C)(C)C)c(O)c2C(C)(C)C)O1,6.26,7.27
CHEMBL2334415,C=C(COC(=O)CC)[C@H]1Cc2cc(C(C)=O)ccc2O1,2.70,2.31
CHEMBL412899,O=C(O)CCCc1cc2c(cc1O)CCO2,1.73,-1.08
CHEMBL4162991,CC(C)=CCc1c(O)c2c(c(C(=O)CC(C)C)c1O)O[C@@H](C(C)(C)O)C2,3.91,4.57
CHEMBL267272,CCCOc1cc2c(cc1O)CCO2,2.12,2.27
CHEMBL3290460,C[C@@H]1Cc2cc(F)cc(C(N)=O)c2O1,1.25,1.27
CHEMBL13728,CC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,3.86,3.70
CHEMBL4095410,C/C=C/CN(C)Cc1ccc2c(c1)CCO2.Cl,2.63,1.86
CHEMBL575678,N#Cc1ccc2c(c1)CC(CN=[N+]=[N-])O2,2.17,1.79
CHEMBL4226715,CC1(C)Cc2cccc(CO)c2O1,1.89,1.79
CHEMBL13980,CCCC(=O)c1cc(C(C)(C)C)c2c(c1)C(C)(C)CO2,4.64,4.85
CHEMBL124055,CC(N)Cc1ccc2c(c1)OCC2,1.51,-0.78
