chemblID,smiles,ALogP,LogD
CHEMBL3184536,CC=Cc1ccc2c(c1)OCO2,2.45,2.72
CHEMBL3492899,CCN(Cc1cccc2c1OCO2)C(=O)NCCOC,1.59,0.96
CHEMBL3302433,CCCC(Cc1ccc2c(c1)OCO2)NC,2.35,0.10
CHEMBL3302858,CCCCN(CCC)CCc1ccc2c(c1)OCO2,3.47,1.30
CHEMBL3185066,CC(=O)C=Cc1ccc2c(c1)OCO2,2.02,2.09
CHEMBL1626214,COCCCNCCC(CCC(C)C)c1ccc2c(c1)OCO2,3.95,1.09
CHEMBL1617618,CCN(CC)CC(=O)Nc1c(Br)ccc2c1OCO2,2.46,1.81
CHEMBL1623312,CCN(CC)CC(O)COc1ccc2c(c1)OCO2,1.50,-0.31
CHEMBL1700041,COC(=O)CC=CC(C)C(OC)c1c(Br)ccc2c1OCO2,3.62,3.34
CHEMBL3301949,N=C(N)NCC(O)c1ccc2c(c1)OCO2,-0.07,-2.65
CHEMBL1965963,C/C(=N\NC(N)=S)c1ccc2c(c1)OCO2,0.97,1.13
CHEMBL1642212,C/C=C/c1cc2c(c(OC)c1OC)OCO2,2.47,2.40
CHEMBL2104353,CNCCc1ccc2c(c1)OCO2,1.18,-1.11
CHEMBL1181164,N/C(=N\O)N/N=C/c1cc2c(cc1Cl)OCO2,0.70,1.19
CHEMBL1338859,CC(=O)N/C(=C/c1ccc2c(c1)OCO2)C(=O)NCCO,0.00,-0.85
CHEMBL499843,COc1cc(CCN)cc2c1OCO2.Cl,0.93,-1.43
CHEMBL2236816,COC(=O)[C@H](NC(=O)/C=C/C=C/c1ccc2c(c1)OCO2)C(C)C,2.30,2.78
CHEMBL2049031,C=CCCC(=O)NC[C@H](O)c1ccc2c(c1)OCO2,1.53,1.20
CHEMBL3494046,CCN(C)S(=O)(=O)N(CC)Cc1ccc2c(c1)OCO2,1.43,0.96
CHEMBL1587187,CN(CCC#N)C(=O)COC(=O)/C=C/c1ccc2c(c1)OCO2,1.34,1.03
CHEMBL3248567,N[C@@H](CCC(=O)Nc1ccc2c(c1)OCO2)C(=O)O,0.55,-2.14
CHEMBL464424,CCC(/C=N/C(CC)CO)=C\c1ccc2c(c1)OCO2,3.05,2.91
CHEMBL3302744,CC(C)NCC(O)c1ccc2c(c1)OCO2,1.45,-0.81
CHEMBL1740311,OCCN(CCO)CC(O)COc1ccc2c(c1)OCO2,-0.56,-1.48
CHEMBL3409230,S=C=NCc1ccc2c(c1)OCO2,2.02,2.42
CHEMBL1504566,COCCCNCCC(CCC(C)C)c1ccc2c(c1)OCO2.Cl,3.95,1.09
CHEMBL1883209,N#CCCN(CCC#N)C(=O)c1ccc2c(c1)OCO2,1.68,0.44
CHEMBL4082050,CC(C)OP(=O)(OC(C)C)C(=Cc1ccc2c(c1)OCO2)P(=O)(OC(C)C)OC(C)C,6.80,5.18
