chemblID,smiles,ALogP,LogD
CHEMBL2238357,COc1cc2c(ccc3c(CCN(C)C)c(Br)c(O)c(OC)c32)cc1O,4.29,2.34
CHEMBL1195966,CC(CO)(CO)NCc1ccc2c(ccc3ccccc32)c1,2.83,1.29
CHEMBL3800235,COc1cc2cc(C#N)c3cc(OC)c(OC)cc3c2cc1OC,3.90,3.18
CHEMBL529813,N=C(N)NN=Cc1cc2ccccc2c2ccccc12,2.81,2.49
CHEMBL546670,CC(=NNC(=N)N)c1ccc2c(ccc3ccccc32)c1,3.20,2.37
CHEMBL3229314,CCCCN(CCCC)CC(O)c1c(OC)c2cc(Cl)ccc2c2ccc(Cl)cc12,7.24,4.74
CHEMBL1908226,C#Cc1ccc2ccc3ccccc3c2c1,3.97,4.10
CHEMBL3230134,CCCCCCN(CCCCCC)CC(O)c1cccc2ccc3cccc(Br)c3c12,8.25,6.02
CHEMBL3314707,COc1cc2ccc3cc(OC)c(OC)c(OC)c3c2cc1OC,4.04,3.16
CHEMBL599987,O=C(O)c1cc(O)c(O)c2c1c([N+](=O)[O-])cc1c(O)cccc12,2.72,-0.94
CHEMBL3229305,CCCCN(CCCC)CC(O)c1cc2cc(Cl)cc(Cl)c2c2cc(C(F)(F)F)ccc12,8.25,5.59
CHEMBL3229160,CNCC(O)c1cc2ccc(C(F)(F)F)cc2c2cc(C(F)(F)F)ccc12,5.28,2.55
CHEMBL3229400,CCCCN(CCCC)CC(O)c1c(Br)c2ccccc2c2ccccc12,6.69,4.40
CHEMBL2208382,COc1c(O)cc2cc(OC)c3cccc(O)c3c2c1OC,3.43,2.86
CHEMBL1611220,C/C(=N/O)c1ccc2cc(Br)c3ccccc3c2c1,4.95,4.08
CHEMBL3229311,CCCCCCCN(CCCCCCC)CCCC(O)c1cc2ccc(C(F)(F)F)cc2c2cc(C(F)(F)F)ccc12,11.09,7.94
CHEMBL3304126,CNCC(O)c1cc2ccccc2c2ccccc12,3.25,0.80
CHEMBL3229344,CCCCCCCN(CCCCCCC)CC(O)c1cc2c(Br)cccc2c2cc(C(F)(F)F)ccc12,10.05,7.83
CHEMBL3229370,CCCCCCCN(CCCCCCC)CC(O)c1cc2ccccc2c2c(Cl)cccc12,8.92,6.77
CHEMBL252356,COc1ccc2c(ccc3cc(OC)c(O)c(OC)c32)c1,3.72,3.17
CHEMBL3229149,CCCC(CCC)NCC(O)c1cc2ccc(C(F)(F)F)cc2c2cc(C(F)(F)F)ccc12,7.62,4.80
CHEMBL3229374,CCCCCCCN(CCCCCCC)CC(O)c1cc2ccc(Cl)cc2c2cc(OC)ccc12,8.93,6.61
CHEMBL3229156,CCCN(CCC)CC(O)c1cc2cc(Br)cc(Br)c2c2cc(C(F)(F)F)ccc12,7.69,5.09
CHEMBL580778,CC(=NNC(=N)N)c1ccc2ccc3ccccc3c2c1,3.20,2.38
CHEMBL367247,CN(O)C(=O)/C=C/c1cc2ccccc2c2ccccc12,3.85,3.52
CHEMBL1191522,CC(CO)(CO)NCc1ccc2ccc3ccccc3c2c1,2.83,1.29
CHEMBL1968773,CCOc1cc(CC[N+](C)(C)C)c2c(ccc3ccc(OC)c(OC)c32)c1OC.COS(=O)(=O)[O-],4.67,-0.25
CHEMBL3229317,CCCCN(CCCC)CC(O)c1cc2cc(Cl)ccc2c2cc(C(F)(F)F)ccc12,7.60,4.98
CHEMBL2007809,CCCCN(CCCC)CC(=O)c1ccc2cc(Cl)c3ccccc3c2c1,6.73,6.18
CHEMBL1187890,C[N+](C)(C)c1ccc2cc(Br)c3ccccc3c2c1,4.95,0.78
CHEMBL3303350,CCCCN(CCCC)CC(O)c1cc2ccccc2c2ccccc12,5.93,3.50
CHEMBL3229184,CCCCN(CCCC)CC(O)c1cc2ccc(C(F)(F)F)cc2c2cc(C(F)(F)F)ccc12,7.97,5.25
CHEMBL4060785,C=Cc1c(C)c(O)cc2ccc3c(C)c(O)ccc3c12,4.66,5.11
CHEMBL2005122,CCOc1cc(C(=O)O)c2c(ccc3ccc(OC)c(OC)c32)c1OC,4.12,-0.01
CHEMBL3304049,CN(C)CC(O)c1cc2ccccc2c2ccccc12,3.59,1.95
CHEMBL2007978,CCN(CC)CC(O)c1ccc2ccc3ccccc3c2c1,4.37,2.32
CHEMBL3229348,CCCCCCCN(CCCCCCC)CC(O)c1c(OC)c2cc(Br)ccc2c2ccc(Br)cc12,9.80,7.74
CHEMBL3229353,CCCCCCCN(CCCCCCC)CC(O)c1c(Br)c2ccccc2c2ccccc12,9.03,7.07
CHEMBL3827910,COc1c(OC)c(OC)c2c(ccc3ccccc32)c1CCN(C)C,4.12,2.01
CHEMBL523418,COc1ccc2cc(/C=C/C(=O)N=[N+]=[N-])c3cc(OC)c(OC)cc3c2c1,4.87,3.37
CHEMBL4094695,C=Cc1c(C)c(O)cc2c1ccc1c(C)c(O)ccc12,4.66,5.10
CHEMBL3229157,CCCN(CCC)CC(O)c1cc2cc(Br)ccc2c2cc(Br)ccc12,6.67,4.21
CHEMBL3229306,CCCCN(CCCC)CC(O)c1cc2cc(S(C)(=O)=O)ccc2c2cc(Cl)c(Cl)cc12,6.64,4.88
CHEMBL1797288,Cc1ccc2c(ccc3ccccc32)c1,4.30,4.47
CHEMBL3229390,CCCCCCCN(CCCCCCC)CCC(O)c1cc2ccc(C(F)(F)F)cc2c2cc(C(F)(F)F)ccc12,10.70,7.80
CHEMBL3230128,CCCCN(CCCC)CC(O)c1cccc2c1ccc1ccccc12,5.93,3.46
CHEMBL3229324,CC(C)(C)NCC(O)c1cc2ccc(Br)cc2c2cc(Br)ccc12,5.94,3.15
CHEMBL3229397,CCCCCCCCN(CCCCCCCC)CC(O)c1cc2ccccc2c2ccccc12,9.05,7.05
CHEMBL459187,COc1cc2c(ccc3c(C)c(C)ccc32)cc1C(C)C,5.74,6.07
CHEMBL3229112,CCCN(CCC)CC(O)c1cc2ccc(Cl)c(Cl)c2c2cc(C(F)(F)F)ccc12,7.47,4.76
CHEMBL253981,COc1cc2ccc3cccc(O)c3c2c(OC)c1O,3.42,3.02
CHEMBL586555,CC(=NNC(=N)N)c1ccc2c(ccc3ccccc32)c1.Cl,3.20,2.37
CHEMBL1419014,COc1cc2ccc3c(CCN(C)C)cc(OC)c(OC)c3c2cc1OC.Cl,4.13,1.64
CHEMBL3182956,N#Cc1cc2ccccc2c2ccccc12,3.86,3.81
CHEMBL85016,CC(=O)N(O)c1ccc2c(ccc3ccccc32)c1,3.74,2.82
CHEMBL421968,COc1cc2c(ccc3cc(OC)c(OC)c(OC)c32)cc1O,3.73,3.02
CHEMBL3229332,CCCCCCCN(CCCCCCC)CC(O)c1cc2ccccc2c2cc(Br)ccc12.O=C(O)CCC(=O)O,9.03,6.94
CHEMBL3230276,CCCCN(CCCC)CC(O)c1cc2ccccc2c2ccccc12.Cl,5.93,3.50
CHEMBL3230274,CCN(CC)CC(O)c1cc2ccccc2c2ccccc12.Cl,4.37,2.13
CHEMBL3229335,CCCCCCN(CCCCCC)CC(O)c1cc2ccc(Br)cc2c2cc(Br)ccc12,9.01,6.82
CHEMBL3229130,CCCN(CCC)CC(O)c1cc2cc(Cl)ccc2c2cc(Cl)ccc12,6.46,3.88
CHEMBL3230125,CCCCN(CCCC)CC(O)c1cccc2c1cc(Cl)c1ccccc12,6.58,4.07
CHEMBL3229310,CCCCN(CCCC)CC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(Cl)ccc12,7.89,5.33
CHEMBL1524777,CC(=O)c1ccc2c(ccc3ccccc32)c1,4.20,3.51
CHEMBL3229113,CCCCN(CCCC)CCC(O)c1cc2ccc(C(F)(F)F)cc2c2cc(C(F)(F)F)ccc12,8.36,5.13
CHEMBL3230135,CCCCN(CCCC)CC(O)c1cccc2ccc3cccc(Cl)c3c12,6.58,4.08
CHEMBL2442284,O=C(O)C(=O)CC(=O)c1ccc2ccc3c(Cl)cccc3c2c1,3.87,0.84
CHEMBL2440140,O=C(O)C(=O)CC(=O)c1ccc2ccc3c(F)cccc3c2c1,3.36,0.37
CHEMBL3230139,CCCCN(CCCC)CC(O)c1cccc2ccc3ccccc3c12,5.93,3.47
CHEMBL3188808,Brc1cc2ccccc2c2ccccc12,4.76,4.72
CHEMBL3229403,CCCCN(CCCC)CCC(O)c1cc2ccccc2c2ccccc12,6.32,3.37
CHEMBL3229154,CCCCN(CCCC)CC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,8.25,5.61
CHEMBL1200901,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12.Cl,8.64,5.46
CHEMBL3305075,CCCCN(CCCC)CC(O)c1cc2cc(SC)ccc2c2cc(SC)ccc12,7.37,4.76
CHEMBL3229405,CCCCN(CCCC)CC(O)c1cc2ccc(F)cc2c2ccccc12,6.07,3.64
CHEMBL3229189,CC(C)NCCC(O)c1cc2ccc(C(F)(F)F)cc2c2cc(C(F)(F)F)ccc12,6.45,3.09
CHEMBL3230136,CCCCN(CCCC)CC(O)c1cccc2ccc3cccc(Br)c3c12,6.69,4.24
CHEMBL3229380,CCCCN(CCCC)CC(O)c1cc2cc(Br)ccc2c2cc(S(C)(=O)=O)ccc12,6.09,4.45
CHEMBL3706996,COc1cc2ccc3c(CC[N+](C)(C)[O-])cc(OC)c(OC)c3c2cc1OC,4.14,2.43
CHEMBL3229171,CCCCN(CCCC)CC(O)c1cc2cc(Cl)c(Cl)cc2c2c(Cl)cc(Cl)cc12,8.54,5.93
CHEMBL3229303,CCCCCCNCC(O)c1cc2ccc(C(F)(F)F)cc2c2cc(C(F)(F)F)ccc12,7.23,4.54
CHEMBL425403,C/N=C(N)/N=C(\N)Nc1cc2ccccc2c2ccccc12,2.66,0.16
CHEMBL464772,CNCCc1c(OC)c(OC)c(OC)c2c1ccc1cc(OC)c(OC)cc12,3.80,0.48
CHEMBL3229126,CCCCN(CCCC)CC(O)c1cc2cc(Cl)ccc2c2c(Cl)cc(Cl)cc12,7.89,5.32
CHEMBL1982730,COc1ccc2c(C(=O)O)cc3ccccc3c2c1OC,3.71,-0.07
CHEMBL1193360,CC(CO)(CO)NCc1cc2ccccc2c2ccccc12,2.83,0.99
CHEMBL3229387,CCCCN(CCCC)CC(O)c1cc2ccccc2c2c(Cl)cccc12,6.58,4.11
CHEMBL463715,CCCNCCc1cc(O)c(OC)c2c1ccc1cc(O)c(OC)cc12,3.96,1.13
CHEMBL3229128,CCN(CC)CC(O)c1cc2cc(Cl)ccc2c2cc(Cl)ccc12,5.68,3.34
CHEMBL498571,COc1ccc2cc(/C=C/C(=O)O)c3cc(OC)c(OC)cc3c2c1,4.12,0.35
CHEMBL3229164,CCCCN(CCCC)CC(O)c1cc2ccc(Cl)cc2c2c(Cl)cc(Cl)cc12,7.89,5.32
CHEMBL2414992,CN(C)CCc1cc(O)c(O)c2c1ccc1ccccc12,3.51,1.68
CHEMBL1404630,COc1c(NC(C)=O)c2ccccc2c2ccccc12,3.96,3.03
CHEMBL3229404,CCCCCCCN(CCCCCCC)CC(O)c1cc2ccc(Cl)cc2c2ccccc12,8.92,6.77
CHEMBL3229406,CCCCCCN(CCCCCC)CC(O)c1cc2ccccc2c2ccccc12,7.49,5.28
CHEMBL3230273,CN(C)CC(O)c1cc2ccccc2c2ccccc12.Cl,3.59,1.95
CHEMBL3229123,CCCCCCCN(CCCCCCC)CC(O)c1cc2ccc(Cl)c(Cl)c2c2cc(C(F)(F)F)ccc12,10.59,8.26
CHEMBL3230137,CCCCCCN(CCCCCC)CC(O)c1cccc2ccc3ccccc3c12,7.49,5.25
CHEMBL3229409,CC(C)(C)NCC(O)c1cc2ccccc2c2ccccc12,4.41,1.61
CHEMBL3230331,CCCCCCCCCN(CCCCCCCCC)CCC(O)c1cc2ccc(C(F)(F)F)cc2c2cc(C(F)(F)F)ccc12,12.26,9.57
CHEMBL3229401,CCCCN(CCCC)CC(O)c1cc2ccccc2c2ccc(Cl)cc12,6.58,4.11
CHEMBL2442280,O=C(O)C(=O)CC(=O)c1ccc2ccc3cc(F)ccc3c2c1F,3.50,0.49
CHEMBL174557,CN(O)C(=O)/C=C/c1ccc2c(ccc3ccccc32)c1,3.85,3.52
CHEMBL530495,CC(=NNC(=N)N)c1ccc2ccc3ccccc3c2c1.Cl,3.20,2.38
CHEMBL2230075,COC(=O)CCCCCNC(=O)c1cc2cc(OC)c(OC)cc2c2cc(OC)c(OC)cc12,4.49,3.43
CHEMBL3229115,CCCCCN(CCCCC)CC(O)c1cc2cc(Cl)ccc2c2cc(Cl)ccc12,8.02,5.60
CHEMBL3230372,CCCCCNCC(O)c1cc2ccccc2c2ccccc12.Cl,4.81,2.34
CHEMBL3229192,CCCCCCCN(CCCCCCC)CC(O)c1cc2ccc(C(F)(F)F)cc2c2cc(C(F)(F)F)ccc12,10.31,7.92
CHEMBL1874708,CC(=O)Oc1ccc2ccc3ccc(C(C)=O)cc3c2c1,4.12,3.12
CHEMBL3229399,CCCCCCN(CCCCCC)CCC(O)c1cc2c(O)cccc2c2ccccc12,7.58,4.89
CHEMBL3229318,CCCCCCCN(CCCCCCC)CC(O)c1cc2cc(Cl)ccc2c2cc(C(F)(F)F)ccc12,9.94,7.65
CHEMBL375484,O=C(O)C(=O)CC(=O)c1ccc2c(ccc3ccccc32)c1,3.22,0.26
CHEMBL466780,COc1cc(CC[N+](C)(C)C)c2ccc3ccccc3c2c1OC.[I-],4.26,-0.30
CHEMBL448260,COc1cc(O)cc2ccc3cccc(O)c3c12,3.41,3.18
CHEMBL3230308,C=CCN(CC=C)CC(O)c1cc2ccccc2c2ccccc12,4.70,4.02
CHEMBL1978878,O=Cc1cccc2ccc3ccccc3c12,3.81,3.66
CHEMBL3229373,CCCCCCCN(CCCCCCC)CCC(O)c1cc2ccccc2c2ccccc12,8.66,6.04
CHEMBL3230326,N#CCCN(CCC#N)CC(O)c1cc2ccccc2c2ccccc12,4.16,2.81
CHEMBL3229371,CCCCCCCN(CCCCCCC)CC(O)c1cc2ccccc2c2cc(F)ccc12,8.41,6.31
CHEMBL3229173,CCCCN(CCCC)CC(O)c1cc2cc(Cl)c(Cl)cc2c2cc(Cl)c(Cl)cc12,8.54,5.92
CHEMBL3561957,Cc1cccc2c1ccc1ccccc12,4.30,4.47
CHEMBL3229329,CCOC(CCCNCC(O)c1cc2ccc(C(F)(F)F)cc2c2cc(C(F)(F)F)ccc12)OCC,6.83,3.62
CHEMBL3230144,CCCNCC(O)c1cc2ccccc2c2ccccc12.Cl,4.03,1.46
CHEMBL580018,N=C(N)NN=Cc1ccc2ccc3ccccc3c2c1,2.81,2.58
CHEMBL3303541,CCCCCN(CCCCC)CC(O)c1cc2ccccc2c2ccccc12,6.71,4.39
CHEMBL1977895,CCCCN(CCCC)CC(=O)c1ccc2cc(Cl)c3ccccc3c2c1.Cl,6.73,6.18
