chemblID,smiles,ALogP,LogD
CHEMBL1288,OCc1cccc2ccccc12,2.33,2.20
CHEMBL428342,CCOc1ccc2ccccc2c1CCNC(=O)C(F)(F)F,3.46,3.47
CHEMBL4301627,CCCCCCN(Cc1cccc2ccccc12)C(=O)C(CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C,7.34,6.84
CHEMBL97556,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2cc(F)ccc12,5.02,4.23
CHEMBL1624594,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](CCCN)C(=O)Nc1cccc2ccccc12)C(C)C,1.75,-1.86
CHEMBL145177,COc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)[O-])cc([N+](C)(C)C)c12,1.20,-3.13
CHEMBL309475,COc1ccc2c(C(=O)N(C=O)CC(=O)O)cccc2c1C(F)(F)F,2.55,-1.18
CHEMBL1916659,CC(C)CCN([C@@H](C(=O)NO)C(C)(C)C)S(=O)(=O)c1ccc2ccccc2c1,3.80,4.11
CHEMBL530048,CCCCNCc1cc(Cl)c2ccccc2c1O,4.09,2.80
CHEMBL3306852,CC(C)c1ccc2c(C(C)C)cc(C(C)C)c(S(=O)(=O)O)c2c1,5.46,3.50
CHEMBL2071642,CNC(=O)c1ccc2c(Br)c(OC(=O)N(C)C)ccc2c1,3.02,2.53
CHEMBL2106926,COc1c(C)cc(N(CCCl)CCCl)c2ccccc12,4.44,4.76
CHEMBL1192534,CC/N=C(/Cc1ccc2cc(C)ccc2c1)NCC,3.72,1.20
CHEMBL306898,O=C(O)CNC(=O)c1cccc2ccccc12,1.65,-1.67
CHEMBL1741047,O=S(O)c1ccc2cc(Cl)ccc2c1,3.07,0.15
CHEMBL1192334,CC/N=C(/Cc1ccc2ccccc2c1)NCC,3.41,0.68
CHEMBL2365754,Cc1ccc2ccccc2c1/C=N/NC(=N)N,1.97,1.63
CHEMBL3126223,CCCCCCN(Cc1cccc2ccccc12)C(=O)[C@@H](N)CCCCN.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F,4.21,0.19
CHEMBL3139231,N=C(N)NCCC[C@H](N)C(=O)Nc1ccc2ccccc2c1,1.37,-2.10
CHEMBL2312198,Nc1c(O)cc(S(=O)(=O)O)c2ccccc12,1.37,-1.37
CHEMBL3187487,Nc1cc(S(=O)(=O)[O-])cc2cc(S(=O)(=O)O)cc(O)c12.O.[Na+],0.62,-4.59
CHEMBL1205825,O=C(NCCS(=O)(=O)O)C(CS)Cc1cccc2ccccc12,1.93,-0.38
CHEMBL2110690,Cc1ccc2ccccc2c1CON,2.54,2.86
CHEMBL1199343,C/N=C(/N)Cc1ccc2ccccc2c1,2.37,-0.32
CHEMBL310098,COc1ccc2c(C(=O)N(C)CC(=O)O)c(Cl)ccc2c1C(F)(F)F,3.68,-0.33
CHEMBL1962963,CNCC(=O)NCCc1cccc2ccc(OC)cc12,1.73,0.13
CHEMBL1179488,CCC(=O)NCCc1c(OCC[N+](C)(C)C)ccc2ccc(OC)cc12,3.00,-1.56
CHEMBL171713,CC(C)CSC[C@@H](N)[C@H](O)C(=O)N(C)Cc1cccc2ccccc12,2.88,1.70
CHEMBL2106771,CCC(CC)(C(=O)O)c1cccc2ccccc12,3.98,2.05
CHEMBL482343,C=CC[C@@H](OC(=O)C=C)c1cccc2ccccc12,4.19,4.71
CHEMBL1573685,COC(=O)CCCNS(=O)(=O)c1ccc2ccccc2c1,2.07,1.94
CHEMBL84366,CCCCCCCCCCCCCCCC(=O)Nc1ccc(S(=O)(=O)O)c2ccccc12,7.51,5.48
CHEMBL1205452,O=C(O)c1ccc2cc(C(=O)O)ccc2c1,2.24,-4.05
CHEMBL3884053,O=C(O)C[C@H](NC(=O)c1ccc2ccccc2c1)C(=O)O,1.50,-3.94
CHEMBL169466,CCCCCN(CCCCC)C(=O)[C@@H](CCCC(=O)O)NC(=O)c1ccc2ccccc2c1,5.40,2.31
CHEMBL1499340,CC(O)CNCc1cccc2ccccc12.Cl,2.31,0.34
CHEMBL323948,O=C([O-])Cc1ccc2ccccc2c1.[Na+],2.47,-0.01
CHEMBL50949,CC(C/C=C/C#CC(C)(C)CN)Cc1cccc2ccccc12,4.95,3.37
CHEMBL3277169,CCCCOc1ccc(N)c2ccccc12,3.60,3.30
CHEMBL3883804,CCCC[C@H](NC(=O)C(=O)CCCCc1ccc2ccccc2c1)C(=O)NCC(=O)O,3.00,0.71
CHEMBL19301,NCC(O)c1ccc2ccccc2c1,1.83,-0.25
CHEMBL1627147,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)Nc1ccc([N+](=O)[O-])c2ccccc12)C(C)C.O=CO,1.94,0.81
CHEMBL442455,CC(C)CN(CP(=O)(O)O)C(=O)N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,2.64,-3.16
CHEMBL1093316,CC(C)CC(=O)OC(C)c1ccc2ccccc2c1,4.49,4.49
CHEMBL1087619,CCCCCNC(=O)CCC(NS(=O)(=O)c1cccc2ccccc12)C(=O)NCCCCC,3.88,3.86
CHEMBL354577,CCCNC(=O)C(CCCN=C(N)N)NS(=O)(=O)c1cccc2c(N(C)C)cccc12,1.13,-0.94
CHEMBL89717,COC(=O)CCc1c(O)ccc2ccccc12,2.65,2.88
CHEMBL2164075,COC(=O)CCNC(=O)NNC(=O)NNC(=O)CCCOc1ccc2ccc(OCCCC(=O)NNC(=O)NNC(=O)NCCC(=O)OC)cc2c1,-0.63,-2.49
CHEMBL168772,CCCCN(C)C(=O)C(CCCN=C(N)N)NS(=O)(=O)c1ccc2ccccc2c1,1.80,-0.42
CHEMBL1463238,CCN(CC)C(=O)COc1cccc2ccccc12,3.09,2.64
CHEMBL445294,Cc1ccc(C(C)C)c2cc(C(=O)O)ccc12,3.97,1.21
CHEMBL364254,CCC[C@@H](Oc1ccc2ccccc2c1)C(=O)O,3.47,0.75
CHEMBL1159696,NC(N)=NCCC[C@@H](NCc1ccc2ccccc2c1)C(=O)O,1.44,-2.01
CHEMBL21886,CCCC/C=C/C/C=C/CN(C)Cc1cccc2ccccc12,5.96,4.75
CHEMBL1767030,CNC(=O)/C(CCCCCCC(=O)Nc1ccc2ccccc2c1)=N\O,3.70,3.52
CHEMBL2312197,O=S(=O)(O)c1ccc(O)c2ccccc12,1.79,-0.57
CHEMBL343324,CNCCCOc1cccc2ccccc12,2.83,-0.09
CHEMBL30085,O=C(O)CN(CCSc1ccc2ccccc2c1)CC(=O)O,2.40,-3.86
CHEMBL3142937,CCOC(=O)C(=O)[C@H](CC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)c1ccc2ccccc2c1,3.54,5.07
CHEMBL4214163,CN[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CS)C(=O)NCCc1cccc2ccccc12,4.64,3.73
CHEMBL1518555,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)Nc1ccc(Br)c2ccccc12)C(C)C.O=CO,2.79,1.64
CHEMBL1161221,O=P(O)(O)C(F)(F)c1ccc2ccc(C(F)(F)P(=O)(O)O)cc2c1,3.29,-3.88
CHEMBL548827,CCCCCOc1ccc(C(=NC)N(CCCCC)CCCCC)c2ccccc12.I,7.47,5.44
CHEMBL1405251,OCCCNCc1cccc2ccccc12,2.31,-0.10
CHEMBL35774,CCCCOc1c(OCCCC)c(OC(C)=O)c2cc(Cl)ccc2c1OC(C)=O,5.70,5.11
CHEMBL3249570,O=C(CCl)COc1cccc2ccccc12,3.03,3.15
CHEMBL4302805,COc1ccc2cc(C(CC(=O)O)CC(=O)O)ccc2c1,2.88,-3.75
CHEMBL26051,CCCCCN(CC(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)c1ccc2cc(OC)c(OC)cc2c1,1.66,-0.20
CHEMBL1088653,CNC(=O)CCC(NS(=O)(=O)c1ccc(Cl)c2ccccc12)C(=O)NC,1.41,0.92
CHEMBL1625069,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H](C(=O)Nc1cccc2ccccc12)C(C)O)C(C)C,1.39,0.24
CHEMBL38146,COc1c(OC)c(OC(=O)C(C)(C)C)c2c(OC)cccc2c1OC(=O)C(C)(C)C,4.77,5.30
CHEMBL3276625,C/C(=C\c1ccc(OCC(=O)O)c2ccccc12)[N+](=O)[O-],2.94,-0.79
CHEMBL1621538,COCC(C)NCc1cccc2ccccc12,2.96,1.12
CHEMBL544725,C/N=C(/Cc1ccc2cc(O)ccc2c1)NC.Cl,2.34,-0.18
CHEMBL4302251,C/C(=C\CCP(=O)(O)Oc1cccc2ccccc12)CO,3.73,0.07
CHEMBL3908385,C=CS(=O)(=O)NCCOc1cccc2ccccc12,2.28,2.05
CHEMBL67411,COc1ccc2cc(C(C)C(=O)N(C)O)ccc2c1,2.80,2.36
CHEMBL1830113,O=C(CCC(c1cccc2ccccc12)P(=O)(O)O)NO,2.34,-1.68
CHEMBL3183469,CCOC(=O)Cc1cccc2ccccc12,2.95,3.10
