chemblID,smiles,ALogP,LogD
CHEMBL537250,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2c(Cl)csc12.Cl,5.59,4.72
CHEMBL1185681,N=C(N)NC(=O)c1cc2c(N)cccc2s1,1.11,0.24
CHEMBL2111055,CCOc1cc2cc(C(=O)O)sc2cc1OCC,3.40,-0.38
CHEMBL1351307,CC(C)N(CC(N)=O)C(=O)c1sc2cc(F)ccc2c1Cl,3.03,2.47
CHEMBL2314523,Cc1ccc2c(Cl)c(C(=O)O)sc2c1,3.56,0.31
CHEMBL1620188,CCN(CC)Cc1csc2ccc(Br)cc12,4.51,2.48
CHEMBL1194644,Cc1csc2cccc(OCC(O)C(C)NC(C)(C)C)c12,3.73,1.29
CHEMBL1194743,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2c(F)csc12,5.08,4.23
CHEMBL1191001,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2c(C#N)csc12,4.81,4.06
CHEMBL1907402,CCN(CCO)Cc1csc2c(Br)cccc12,3.48,1.89
CHEMBL1623812,CCN(CCO)Cc1csc2cccc(Br)c12,3.48,1.94
CHEMBL1181930,N=C(N)NC(=O)c1cc2c([N+](=O)[O-])cccc2s1,1.43,1.34
CHEMBL1181926,CCc1cccc2sc(C(=O)N=C(N)N)cc12,1.88,1.76
CHEMBL292973,CC(c1cc2ccccc2s1)N(O)C(=O)NC(N)=O,2.44,1.60
CHEMBL30180,CC(C)C(=O)NCCNCC(O)COc1cccc2sccc12,2.00,0.56
CHEMBL1089630,CCCCOC(=O)c1sc2c([N+](=O)[O-])c(O)c(O)cc2c1Cl,3.83,3.33
CHEMBL303591,CC(c1cc2ccccc2s1)N(O)C=O,2.81,2.21
CHEMBL74421,O=C(O)COc1cc2cc(CO)sc2c(Cl)c1Cl,3.16,-0.57
CHEMBL2089227,O=C(O)c1cc2cc(O)c(O)cc2s1,2.01,-1.41
CHEMBL564835,CC(=O)c1csc2ccccc12,3.10,2.41
CHEMBL3394303,O=C(NO)c1cc2ccc([N+](=O)[O-])cc2s1,1.93,1.73
CHEMBL165234,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2c(C=O)csc12,4.75,4.57
CHEMBL83232,NS(=O)(=O)c1cc2ccc(OS(=O)(=O)[O-])cc2s1.[Na+],0.73,-1.55
CHEMBL1705086,CC(=O)Nc1ccc2sccc2c1,2.86,2.09
CHEMBL1193675,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2c(Br)csc12,5.70,4.89
CHEMBL1191643,CN(C/C=C/C#CC(C)(C)C)Cc1ccc(Cl)c2ccsc12,5.59,4.76
CHEMBL1205316,NS(=O)(=O)c1cc2ccc(OP(=O)(O)O)cc2s1,1.02,-2.47
CHEMBL1192473,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2ccsc12,4.94,4.05
CHEMBL4090417,COc1ccc2sc(C(=O)N[C@@H](C)C(=O)O)cc2c1,2.11,-1.30
CHEMBL1377750,CCOC(=O)c1c(NC(C)=O)sc2c(OCC(O)CNC(C)(C)C)c(Br)ccc12,3.93,1.63
CHEMBL1616302,CN(CCO)Cc1csc2ccc(Br)cc12,3.09,1.78
CHEMBL4078808,N[C@@H](Cc1csc2ccccc12)C(=O)O,1.86,-0.31
CHEMBL1190999,CSc1csc2c(CN(C)C/C=C/C#CC(C)(C)C)cccc12,5.66,4.69
CHEMBL315921,COc1cccc2sc(S(N)(=O)=O)cc12,1.56,1.45
CHEMBL1178505,CC(NC(C)(C)C)C(O)COc1cccc2sccc12,3.42,0.78
CHEMBL3394304,O=C(NO)c1cc2cc(C(F)(F)F)ccc2s1,3.04,2.67
CHEMBL1193471,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2cc(Cl)sc12,5.59,5.03
CHEMBL2003036,CCOC(=O)c1cc2c(OC(C)=O)ccc(OC(C)=O)c2s1,2.93,2.56
CHEMBL195422,CS(=O)(=O)O.N=C(N)NC(=O)c1cc2c(Cl)cccc2s1,2.18,1.84
CHEMBL1620063,CCN(CCO)Cc1csc2ccccc12,2.72,1.06
CHEMBL1189717,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2scc(Cl)c12,5.59,4.80
CHEMBL1908997,CCN(CC)CCNC(=O)c1cc2c(I)cccc2s1,3.58,2.07
CHEMBL1621515,OCCN(CCO)Cc1csc2ccccc12,1.69,0.43
CHEMBL1089503,O=C(O)c1sc2c([N+](=O)[O-])c(O)c(O)cc2c1Cl,2.57,-1.75
CHEMBL303965,CC(c1cc2ccccc2s1)N(O)C(=O)NN,2.24,1.68
CHEMBL1185654,C=Cc1cccc2sc(C(=O)NC(=N)N)cc12,2.17,1.97
CHEMBL1098270,NC(=S)N/N=C/c1cc2ccccc2s1,2.07,2.67
CHEMBL1192266,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2sc(Cl)cc12,5.59,4.90
CHEMBL1894204,CCN(CCO)Cc1csc2ccc(Cl)cc12.Cl,3.37,1.73
CHEMBL1189720,CN(C/C=C/C#CC(C)(C)C)Cc1csc2c(Cl)cccc12,5.59,5.13
CHEMBL1181931,N=C(N)NC(=O)c1cc2c(Br)cccc2s1,2.29,2.00
CHEMBL314803,NS(=O)(=O)c1cc2ccc(O)cc2s1,1.25,1.30
CHEMBL1477968,CCOC(=O)c1c(NC(C)=O)sc2c(OC(C)=O)cccc12,2.96,2.87
CHEMBL1230159,O=C(O)Cc1csc2ccc(Cl)cc12,3.18,0.31
CHEMBL394105,O=C(NO)c1cc2ccc(Cl)cc2s1,2.67,2.40
CHEMBL143223,COc1ccc2sc(C(N)=O)c(OC)c2c1,2.02,1.52
CHEMBL3219018,CNc1c(C(N)=O)sc2ccccc12,2.04,1.96
CHEMBL87444,CC(=O)Nc1ccc2cc(S(N)(=O)=O)sc2c1,1.51,0.84
CHEMBL1464991,CCOC(=O)c1sc2cccc(Cl)c2c1N,3.31,3.77
CHEMBL1511721,CCN(CCO)Cc1csc2cccc(Br)c12.Cl,3.48,1.94
CHEMBL3197524,CCCC/N=C/c1sc2ccc(OCC)cc2c1O,4.22,2.56
CHEMBL2130760,O=C(O)CSCC(=O)NCc1csc2ccc(Cl)cc12,2.99,-0.56
CHEMBL60174,CC(C#Cc1cc2ccccc2s1)N(O)C(N)=O,2.41,2.44
CHEMBL78178,Cc1cc2cc(OCC(=O)O)c(Cl)c(Cl)c2s1,3.98,0.82
CHEMBL3460317,Cc1c(C(=O)NCCCC(N)=O)sc2ccc(F)cc12,2.34,1.91
CHEMBL82867,NS(=O)(=O)c1cc2ccc(OP(=O)([O-])[O-])cc2s1.[Na+].[Na+],1.02,-2.47
CHEMBL4090895,COc1ccc2sc(C(=O)N[C@H](C)C(C)(C)C)cc2c1,4.07,3.94
CHEMBL2057745,CC(C)=NNC(=O)c1sc2cc(Cl)ccc2c1O,3.39,1.81
CHEMBL4216320,NC(=S)N/N=C/c1csc2ccccc12,2.07,2.54
CHEMBL342855,CCC(=O)NCCc1csc2ccc(CC)cc12,3.53,3.74
CHEMBL351509,CN(C/C=C/C#CC(C)(C)C)Cc1ccc2sccc2c1,4.94,4.35
CHEMBL3453915,Cc1sc2ccccc2c1S(=O)(=O)NCCNC(=O)C(C)C,2.26,2.59
CHEMBL138475,CCCCC(=O)NCCc1csc2ccc(OC)cc12,3.76,3.51
CHEMBL1998611,NC(=O)c1sc2c(Br)ccc(Cl)c2c1N,3.00,3.03
CHEMBL2403448,O=C(NO)c1cc2c(Cl)cccc2s1,2.67,2.40
CHEMBL58779,CC(c1cc2ccccc2s1)N(O)C(=N)S,3.52,3.25
CHEMBL2057738,O=C(O)c1sc2ccccc2c1O,2.31,-0.34
CHEMBL83629,CN(C)CCSCc1ccc2sc(S(N)(=O)=O)cc2c1,2.34,0.70
CHEMBL359041,COc1ccc2c(OC(C)C)c(C(N)=O)sc2c1,2.80,2.29
CHEMBL1448105,O=C(O)c1sc2cc(Cl)ccc2c1Cl,3.91,0.40
CHEMBL541695,CC(=O)c1cc2ccccc2s1,3.10,2.54
CHEMBL1463412,Cl.OCCN(CCO)Cc1csc2ccccc12,1.69,0.43
CHEMBL341827,N[C@H](C[C@H](Cc1cc2ccccc2s1)C(=O)O)C(=O)O,1.95,-2.50
CHEMBL3358212,N#CCc1csc2ccc(Cl)cc12,3.62,3.15
CHEMBL61706,CC(NC(=O)N(C)O)c1cc2ccccc2s1,2.99,2.23
CHEMBL4176954,COc1ccc2sc(N)cc2c1,2.49,2.03
CHEMBL140683,COc1ccc2sc(C(N)=O)c(SCC(=O)O)c2c1,2.19,-1.62
CHEMBL543516,CC(C)NC(C)C(O)COc1cccc2sccc12.Cl,3.03,0.58
CHEMBL343700,COc1ccc2sc(C(N)=O)c(SCCN)c2c1,2.06,-0.79
CHEMBL1305750,NC(=O)COC(=O)c1sc2ccccc2c1Cl,2.20,2.26
CHEMBL589526,COC(=O)C(C)Oc1cccc2sc(C(=N)N)cc12,2.13,0.39
CHEMBL163350,CN(C/C=C/C#CC(C)(C)C)Cc1c(Cl)sc2ccccc12,5.59,6.02
CHEMBL2403450,COc1cc2cc(C(=O)NO)sc2cc1C,2.34,2.15
CHEMBL1606097,CC(C)(C)C(=O)NC(=S)NNC(=O)c1sc2ccccc2c1Cl,3.24,3.73
CHEMBL1318391,O=C(O)c1sc2ccccc2c1Cl,3.25,-0.20
CHEMBL313026,CN(C)Cc1ccc2sc(S(N)(=O)=O)cc2c1,1.61,0.10
CHEMBL1594983,CN(C)CCOC(=O)c1sc2ccccc2c1Cl.Cl,3.27,2.55
CHEMBL1421296,CCOC(=O)c1c(NC(C)=O)sc2c(OCC(O)CN(CC)CC)c(Br)ccc12,3.88,2.12
CHEMBL3415229,CCOC(=O)c1cc2ccc(C(=O)OC)cc2s1,2.86,3.35
CHEMBL1190811,CN(C/C=C/C#CC(C)(C)C)Cc1cc(Cl)cc2ccsc12,5.59,4.87
CHEMBL1181924,N=C(N)NC(=O)c1cc2c(F)cccc2s1,1.66,1.34
CHEMBL425378,C=Cc1cccc2sc(C(=O)NC(=N)N)cc12.CS(=O)(=O)O,2.17,1.97
CHEMBL541772,CC(=O)c1cc2c(Cl)c(C)ccc2s1,4.07,3.66
CHEMBL1618894,CCN(CCO)Cc1csc2ccc(C(C)(C)C)cc12,4.01,2.58
CHEMBL2104935,CCN(CCCl)Cc1csc2ccc(Br)cc12,4.72,3.96
CHEMBL3948724,CCS(=O)(=O)N(CC(F)F)c1sc2ccccc2c1Br,4.09,3.36
CHEMBL2057740,O=C(O)c1sc2cc(Cl)ccc2c1O,2.96,0.27
CHEMBL2403444,Cc1ccc2cc(C(=O)NO)sc2c1,2.33,2.30
CHEMBL541614,CN(C/C=C/C#CC(C)(C)C)Cc1cc(Cl)cc2ccsc12.Cl,5.59,4.87
CHEMBL307617,O=C(O)COc1cc2ccsc2c(Cl)c1Cl,3.67,0.08
CHEMBL356537,N[C@H](C[C@H](Cc1csc2ccccc12)C(=O)O)C(=O)O,1.95,-2.62
CHEMBL77597,CCC(O)c1cc2cc(OCC(=O)O)c(Cl)c(Cl)c2s1,4.11,0.35
CHEMBL59901,CC(=O)NC(=O)N(O)C(C)c1cc2ccccc2s1,2.91,1.94
CHEMBL3930421,COC(=O)CCS(=O)(=O)N(CCCC(F)(F)F)c1sc2ccccc2c1C,4.25,3.65
CHEMBL558909,NC(CNC(=O)c1cc2c(Br)cccc2s1)C(=O)O,1.81,-0.58
CHEMBL4226982,OCc1ccc2sccc2c1,2.39,2.08
CHEMBL143866,COc1cccc2c(OC(C)C)c(C(N)=O)sc12,2.80,2.29
CHEMBL1198758,CN(C/C=C/C#CC(C)(C)C)Cc1cccc2cc(F)sc12,5.08,4.70
CHEMBL306041,CC(=O)c1cc2cc(OCC(=O)O)c(Cl)c(Cl)c2s1,3.87,-0.32
CHEMBL85470,CC(=O)OCc1ccc2sc(S(N)(=O)=O)cc2c1,1.61,1.28
CHEMBL3358197,O=Cc1ccc2sccc2c1,2.71,2.56
CHEMBL1587216,CCOC(=O)c1sc2cccc(F)c2c1N,2.80,3.31
