chemblID,smiles,ALogP,LogD
CHEMBL3208765,COc1ccc2nc(/N=C\N(C)C)sc2c1,2.53,2.21
CHEMBL4084442,CCOc1ccc2sc(S(C)(=O)=O)nc2c1S(=O)(=O)NC,1.01,0.64
CHEMBL3797976,CCOC(=O)c1nc2cc(Cl)ccc2s1,3.13,3.26
CHEMBL1621636,CN(C)CCCSc1nc2ccccc2s1,3.34,1.66
CHEMBL80028,CCOC(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1,1.48,1.77
CHEMBL1884133,CC(=O)Nc1nc2cc(C(N)=O)ccc2s1,1.35,0.79
CHEMBL1530702,CC(=O)Nc1cc(NC(C)=O)c2nc(N)sc2c1.Cl,1.80,0.44
CHEMBL2057379,COc1ccc(C)c2sc(NC(=O)C(C)C)nc12,3.21,3.55
CHEMBL284061,NS(=O)(=O)c1nc2ccc(OC(=O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)cc2s1,-1.29,-10.50
CHEMBL1923282,CS(=O)(=O)c1ccc2nc(NC(=O)CCCCC(=O)NO)sc2c1,1.70,0.66
CHEMBL133803,CC(NC(=O)[C@H](CC(=O)N(C)C)NC(=O)[C@@H](NC(=O)CC(C)(C)C)C(C)(C)C)C(=O)c1nc2ccccc2s1,2.91,2.44
CHEMBL1412055,Cc1nc2ccc(S(=O)(=O)NC(CC(C)C)C(=O)O)cc2s1,2.38,-0.98
CHEMBL3770054,CC(C)COC(=O)N[C@H](C)c1nc2ccc(F)cc2s1,3.88,3.71
CHEMBL3359906,Cc1nc2ccc(OS(=O)(=O)[O-])cc2s1.[Na+],1.79,-0.92
CHEMBL84649,COC(C)(C)C(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1,1.27,1.62
CHEMBL3746517,CC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCCNC(=N)N)C(=O)c1nc2ccccc2s1,1.78,-1.09
CHEMBL47152,O=C(O)CCCCc1nc2c(F)c(F)cc(F)c2s1,3.51,0.26
CHEMBL1570318,Cc1nc2cc(Cl)c([N+](=O)[O-])cc2s1,3.17,2.78
CHEMBL1714977,CC(=O)Nc1nc2c(F)cccc2s1,2.39,2.09
CHEMBL4073080,CCOc1ccc2sc(S(C)(=O)=O)nc2c1S(=O)(=O)NC(CC)CC,2.57,2.46
CHEMBL2059004,Cc1nc2ccc(NC(=O)CCNC(N)=O)cc2s1,1.60,0.27
CHEMBL3913775,CCCCCCC(=O)N(CCCCCOc1cccc2nc(NC(C)=O)sc12)C(C)C,6.01,5.31
CHEMBL1385607,CC(=O)CSc1nc2ccccc2s1,2.98,2.92
CHEMBL1976766,COC(=O)/C(=N/O)C(C(=O)C=C(C)C)C(=O)C(=O)Nc1nc2ccc([N+](=O)[O-])cc2s1,1.87,1.58
CHEMBL1493874,O=C(CSc1nc2ccccc2s1)NO,1.89,1.77
CHEMBL2297719,CCOC(=O)Nc1nc2ccc(OC)cc2s1,2.87,2.85
CHEMBL1600716,CCOc1cccc2sc(Cl)nc12,3.35,3.23
CHEMBL6685,NS(=O)(=O)c1nc2ccc(O)cc2s1,0.65,0.88
CHEMBL1241372,NNc1nc2ccc(Br)cc2s1,2.34,2.96
CHEMBL3770851,C[C@@H](NC(=O)OCC(F)(F)F)c1nc2ccc(F)cc2s1,3.78,3.42
CHEMBL1602213,CC(C)=C(C#N)c1nc2ccccc2s1,3.61,3.57
CHEMBL1350062,CC(=O)N(CCCN(C)C)c1nc2ccc(C)cc2s1.Cl,2.91,0.60
CHEMBL2088567,O=C(O)CCC(=O)Nc1nc2ccc(OC(F)(F)F)cc2s1,3.00,0.04
CHEMBL2315308,CCC(C)SSc1nc2c(Br)cccc2s1,5.60,5.80
CHEMBL3182456,[Na+].[S-]c1nc2ccccc2s1,2.59,2.63
CHEMBL175599,N=C(N)NCCCC(NC=O)C(=O)c1nc2ccccc2s1,0.86,-1.86
CHEMBL337328,NS(=O)(=O)c1nc2ccc(OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2s1,5.86,6.83
CHEMBL85558,COCC(=O)Oc1ccc2nc(S(N)(=O)=O)sc2c1,0.50,0.62
CHEMBL1622786,CCN(CC)CCCSc1nc2ccccc2s1,4.12,1.84
CHEMBL1542140,CCC(C)C(=O)Nc1nc2ccc(OC)cc2s1,3.29,3.45
CHEMBL1505061,Cc1nc2ccc(P(=O)(O)O)cc2s1,1.41,-2.26
CHEMBL1871710,Cc1cc(Cl)cc2sc(S)nc12,3.55,3.53
CHEMBL574818,N#C/C(=C\NN)C(=O)Nc1nc2ccccc2s1,1.11,1.00
CHEMBL1371412,CCCOc1ccc2nc(NC(=O)OC)sc2c1,3.26,3.38
CHEMBL110451,CON(C)C(=O)NCCSc1nc2ccccc2s1,2.59,2.45
CHEMBL3410012,Nc1nc2ccc(S(N)(=O)=O)cc2s1,0.53,0.57
CHEMBL1561088,CCCCC(=O)Nc1nc2c(OC)ccc(OC)c2s1,3.44,3.23
CHEMBL1092176,C/C(N)=N\c1nc2ccc(OC(F)(F)F)cc2s1,3.20,3.33
CHEMBL1241421,Cc1cccc2sc(NN)nc12,1.89,2.70
CHEMBL1531817,Cl.Nc1nc2ccc(OC(F)(F)F)cc2s1,2.78,3.40
CHEMBL4170318,CNCC(=O)N(C)CC(=O)Nc1nc2ccc(OC(F)(F)F)cc2s1,1.81,0.88
