chemblID,smiles,ALogP,LogD
CHEMBL3467710,CC(C)C(C)(C#N)NC(=O)Cn1cc(I)cn1,1.54,1.65
CHEMBL2315216,Cc1c(CN)cnn1O,-0.11,-2.11
CHEMBL2008590,N=C(N)N/N=C/c1cnn(C(=N)N)c1,-1.56,-3.20
CHEMBL506972,CCOC(=O)c1c(C)n[nH]c1C,1.20,0.96
CHEMBL1618892,Cc1nn(CCN)c(C)c1Cl,1.11,-1.63
CHEMBL1989208,CN(C)CCNC(=O)c1cnn(C)c1[N+](=O)[O-].Cl,-0.38,-1.62
CHEMBL3276276,ClCCCc1cn[nH]c1,1.58,1.60
CHEMBL1906938,Cc1n[nH]c(C)c1CCN,0.53,-2.17
CHEMBL3454372,CCN(CC(C)O)C(=O)Nc1cnn(CCOC)c1,0.76,-0.21
CHEMBL3476384,CCC(CNC(=O)c1cc(CC(C)C)nn1C)N(C)CC,2.08,0.39
CHEMBL2227764,CC(C)=CCC/C(C)=C/COC(=O)c1cc(C(C)C)nn1C(C)(C)C,5.61,5.77
CHEMBL450245,CC(C)c1cnn(O)c1[C@H](N)C(=O)O,0.33,-2.96
CHEMBL1575167,CNCCc1c(C)n[nH]c1C.Cl,0.79,-2.01
CHEMBL2312562,C[C@H](CCOn1cccn1)N(C)C,0.65,-1.64
CHEMBL246046,CN(C)Cc1cc(C(=O)O)[nH]n1,0.17,-3.25
CHEMBL389833,CCCCCc1c(C(N)C(=O)O)cnn1O,0.94,-1.94
CHEMBL63237,CC(C)NC(=O)n1cccn1,0.85,0.26
CHEMBL1489993,COC(=O)c1c[nH]nc1N,-0.22,0.70
CHEMBL452971,N[C@H](C(=O)O)c1c(Cl)cnn1O,-0.14,-3.83
CHEMBL3623567,CC(C)Cn1cc(C(=O)CF)cn1,1.69,1.28
CHEMBL1576769,CC(C)CN=C(S)NNC(=O)c1nn(C)cc1Cl,1.25,2.87
