chemblID,smiles,ALogP,LogD
CHEMBL467106,CCCN(C)c1nc(N)c(C(=O)N=C(N)N)nc1Cl,-0.03,0.73
CHEMBL2021720,CC(C)[C@H](CNC(=O)c1nc(Cl)c(N)nc1N)[N+](C)(C)C,0.75,-2.84
CHEMBL2021707,CC[C@@H](CNC(=O)c1nc(Cl)c(N)nc1N)[N+](C)(C)C,0.51,-3.20
CHEMBL3105662,CCCCCCCCNc1cnc(C(N)=O)cn1,2.35,1.94
CHEMBL326152,CCCCCOC(=O)c1cnc(Cl)cn1,2.48,2.32
CHEMBL1962847,N=C(N)NC(=O)c1nc(Cl)c(NCCP(=O)(O)O)nc1N,-1.07,-2.12
CHEMBL2021725,C[C@H](CNC(=O)c1nc(Cl)c(N)nc1N)[N+](C)(C)C,0.12,-3.72
CHEMBL267729,CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)c1cnccn1)[C@@H](C)CC)C(N)=O,-0.44,-3.16
CHEMBL441267,CCCCCCCCc1nccnc1OC,3.39,3.47
CHEMBL326351,CC(C)COC(=O)c1cnccn1,1.29,0.97
CHEMBL2000672,O=C(O)c1nccnc1C(=O)O,-0.13,-7.20
CHEMBL1949710,CCCNc1nc(C(=O)N[C@H](CO)C(=O)O)c(NCCC)nc1C(=O)N[C@H](CO)C(=O)O,-1.53,-7.31
CHEMBL465179,CN(C)c1nc(N)c(C(=O)NC(=N)N)nc1Cl,-0.60,0.20
CHEMBL1944741,CN(C)CCN(C)C(=O)c1nc(Cl)c(N)nc1N,-0.07,-0.85
CHEMBL19384,O=C(OCCCl)c1cnccn1,0.87,0.39
CHEMBL2021727,CCC[C@@H](CNC(=O)c1nc(Cl)c(N)nc1N)[N+](C)(C)C,0.90,-2.76
CHEMBL1962496,CCOP(=O)(O)CCNc1nc(N)c(C(=O)NC(=N)N)nc1Cl,-0.03,-1.17
CHEMBL510661,CC(C)(C)OC(=O)c1cnccn1,1.43,0.78
CHEMBL115927,CCCCCCC(C)(CCCC)OC(=O)c1cnc(Cl)cn1,5.21,5.32
CHEMBL94743,CSc1cnccn1,1.20,0.76
CHEMBL96244,Cc1cnc(C)c(CCC(C)C)n1,2.68,1.81
CHEMBL115616,CCCCCCCCCC(C)(C)OC(=O)c1cnc(Cl)cn1,5.21,5.24
CHEMBL448687,C=CCNc1nc(N)c(C(=O)N=C(N)N)nc1Cl,-0.28,-0.06
CHEMBL3188183,CC(=O)Nc1cnc(/C=C\CCCO)cn1,1.22,0.18
CHEMBL2107646,Cc1nc(C)c(N(C)C)nc1C.O=S(=O)(O)O,1.47,0.63
CHEMBL2021703,CC(C)[C@@H](CNC(=O)c1nc(Cl)c(N)nc1N)[N+](C)(C)C,0.75,-2.84
CHEMBL117543,CCCCCCCCCOC(=O)c1cnc(Cl)cn1,4.04,4.10
CHEMBL2035311,Cc1nc(/C=[N+](\[O-])C(C)(C)C)c(C)nc1/C=[N+](\[O-])C(C)(C)C,2.55,0.37
CHEMBL328856,CCc1ncc(C)nc1C,1.66,0.63
CHEMBL589188,Nc1nc(N)c([N+](=O)[O-])nc1[N+](=O)[O-],-0.54,1.44
CHEMBL3188120,CSc1cnc(C)cn1,1.51,0.89
CHEMBL1962499,N=C(N)NC(=O)c1ncc(N)nc1N,-1.74,-1.81
CHEMBL117542,CCCCCCCCCCOC(=O)c1cnc(Cl)cn1,4.43,4.54
CHEMBL1962518,N#CCNc1nc(N)c(C(=O)NC(=N)N)nc1Cl,-0.73,-0.83
CHEMBL1949988,CCNc1nc(C#N)cnc1C#N,0.65,0.45
CHEMBL331832,CCCCCCCCCC(C)OC(=O)c1cnc(Cl)cn1,4.82,4.96
CHEMBL2312567,C[C@H](CCOc1cnccn1)N(C)C,1.20,-1.65
CHEMBL3105647,NC(=O)c1cncc(N)n1,-0.84,-1.46
CHEMBL115156,CCCCCCC(C)(CCCCCC)OC(=O)c1cnc(Cl)cn1,5.99,6.21
CHEMBL126462,CCCCCCC(CCCC)OC(=O)c1cnc(Cl)cn1,4.82,5.04
CHEMBL94574,COc1nc(C(C)C)c(OC)nc1C(C)C,2.74,3.16
CHEMBL94847,COc1nc(C)c(OC)nc1C,1.11,0.67
CHEMBL2013179,N/C(=N\O)c1nc(Cl)c(NCC(=O)O)nc1N,-0.70,-4.49
CHEMBL96728,CCC(C)Cc1cnc(OC)c(C)n1,2.38,2.11
CHEMBL95176,CCCc1nccnc1C,1.74,0.95
CHEMBL1909817,CCN(c1nc(N)c(C(=O)NC(=N)N)nc1I)C(C)C.Cl,0.52,1.50
CHEMBL4202939,COc1nccnc1CCC(=O)O,0.50,-3.49
CHEMBL3464085,CCOc1cncc(N(C)CC(=O)NC)n1,0.06,-0.07
CHEMBL1547038,CC(O)CNc1cnccn1,0.27,-0.67
CHEMBL1672870,CCCCCCCNc1nc(C(N)=O)cnc1C#N,1.83,1.74
CHEMBL97794,COc1cnccn1,0.49,-0.03
CHEMBL479791,Cc1cnccn1,0.79,-0.33
CHEMBL1467963,CCOC(=O)C(C)Sc1cnccn1,1.52,1.00
CHEMBL96335,CSc1nccnc1CC(C)C,2.40,2.32
CHEMBL3753625,Cc1nc(CO)c(C)nc1CO,0.08,-1.57
CHEMBL2017991,CCC[C@@H](CNC(=O)c1nc(Cl)c(N)nc1N)[N+](C)(C)C.[I-],0.90,-2.76
CHEMBL1949992,CCCCCCNc1nc(C#N)cnc1C#N,2.21,2.30
CHEMBL1909789,CCOP(=O)(O)CCNc1nc(N)c(C(=O)NC(=N)N)nc1Cl.Cl,-0.03,-1.17
CHEMBL2017993,CC(C)[C@@H](CNC(=O)c1nc(Cl)c(N)nc1N)[N+](C)(C)C.[I-],0.75,-2.84
CHEMBL1909783,Cl.N=C(N)NC(=O)c1nc(Cl)c(NCCC(=O)O)nc1N,-0.78,-2.51
CHEMBL1949714,O=C(N[C@H](CO)C(=O)O)c1nc(NC[C@H](O)CO)c(C(=O)N[C@H](CO)C(=O)O)nc1NC[C@H](O)CO,-5.64,-11.73
CHEMBL191632,Nc1cncc(Cl)n1,0.71,0.13
CHEMBL95123,CCc1nc(C)cnc1C,1.66,0.63
CHEMBL125613,NNC(=O)c1cnccn1,-0.92,-1.52
CHEMBL333142,C=CCN/C(S)=N/N=C(\C)c1cnccn1,1.26,-0.11
CHEMBL2017986,C[C@@H](CNC(=O)c1nc(Cl)c(N)nc1N)[N+](C)(C)C.[I-],0.12,-3.72
CHEMBL1405539,CCCCCCCCNC(=O)c1cnccn1,2.57,2.10
CHEMBL94300,CCC(C)CCc1cnc(OC)c(C)n1,2.77,2.56
CHEMBL3400956,CCOc1nc(N)cnc1/C=C/C(=O)O,0.56,-2.93
CHEMBL1949713,O=C(NCC(O)CO)c1nc(NC[C@@H](O)CO)c(C(=O)NCC(O)CO)nc1NC[C@@H](O)CO,-5.83,-5.39
CHEMBL2441350,NC(=S)c1cnccn1,0.11,-0.34
CHEMBL1481100,CN(CCO)c1cnccn1,-0.09,-0.45
CHEMBL3186300,SCCc1cnccn1,0.95,0.34
CHEMBL3306437,S=C(S)N/N=C/c1cnccn1,0.61,0.08
CHEMBL113717,CCCCCCCC(C)(CCCCC)OC(=O)c1cnc(Cl)cn1,5.99,6.21
CHEMBL1962845,CCOP(=O)(CNc1nc(N)c(C(=O)NC(=N)N)nc1Cl)OCC,0.97,0.72
CHEMBL1962822,CCOC(=O)CCNc1nc(N)c(C(=O)NC(=N)N)nc1Cl,-0.30,-0.20
CHEMBL1944738,CNCCNC(=O)c1nc(Cl)c(N)nc1N,-0.76,-2.51
CHEMBL93760,COc1nc(C)c(C)nc1CC(C)C,2.30,1.80
CHEMBL1962849,CNCCN(C)c1nc(N)c(C(=O)NC(=N)N)nc1Cl,-1.01,-2.14
CHEMBL597080,CCc1nccnc1C(=O)CCN(CCO)CCO,-0.10,-1.40
CHEMBL1962612,N=C(N)NC(=O)c1nc(Cl)cnc1N,-0.66,-0.55
CHEMBL1976259,CC(=O)OC(=C(C#N)C#N)c1nccnc1C(=O)O,0.50,-4.15
CHEMBL2110770,CN(C)c1cnccn1,0.54,0.24
CHEMBL432631,CCC(C)(CC)OC(=O)c1cnc(Cl)cn1,2.87,2.65
CHEMBL97123,COc1nc(C(C)=O)c(OC)nc1C,1.00,0.49
CHEMBL117948,COC(=O)c1cnc(F)cn1,0.40,0.26
CHEMBL1962613,COC(=O)CNc1nc(N)c(C(=O)NC(=N)N)nc1Cl,-1.08,-0.74
CHEMBL1909788,Cl.N=C(N)NC(=O)c1nc(Cl)c(NCCP(=O)(O)O)nc1N,-1.07,-2.12
CHEMBL54990,N=C(N)Nc1cnccn1,-0.22,-2.30
CHEMBL600659,O=C(CCN(CCO)CCO)c1cnccn1,-0.66,-2.21
CHEMBL114481,CCCCCCCCC(C)(CCCC)OC(=O)c1cnc(Cl)cn1,5.99,6.21
CHEMBL97593,CSc1nccnc1C,1.51,0.89
CHEMBL3105664,NC(=O)c1cnc(N)cn1,-0.84,-1.46
CHEMBL3219114,Cc1cnc(N)cn1,0.37,-0.57
CHEMBL1256180,CC(C)CN(C)c1nc(N)c(C(=O)N=C(N)N)nc1Cl,0.22,1.11
CHEMBL194763,C=C(NC(=O)c1cnccn1)C(=O)N[C@@H](COC(C)(C)C)C(=O)OC,0.19,-0.74
CHEMBL97153,O=C(N[C@H](CO)C(=O)O)c1nccnc1C(=O)N[C@H](CO)C(=O)O,-3.17,-10.54
CHEMBL329881,COc1nccnc1C,0.79,0.11
CHEMBL482408,Cc1nc(C)c(/C=[N+](\[O-])C(C)(C)C)nc1C,2.13,0.21
CHEMBL1783548,CC(C)(C)NC(=S)NCc1nc(Cl)cnc1N,1.47,0.99
CHEMBL1909801,CCN(CC)CCNc1nc(N)c(C(=O)NC(=N)N)nc1Cl.Cl,0.09,-1.46
CHEMBL1783554,COCCNC(=S)NCc1nc(Cl)cnc1N,0.32,-0.11
CHEMBL2035660,CCOC(=O)CC(=O)c1cnccn1,0.61,-0.13
CHEMBL3250634,NC(=S)N/N=C/c1cnccn1,-0.36,-0.10
CHEMBL92562,CCCC(C)Cc1cnc(SC)c(C)n1,3.49,3.34
CHEMBL126703,O=C(O)c1cnc(Cl)cn1,0.83,-2.99
CHEMBL95180,CC(C)Cc1cncc(N(C)C)n1,1.74,1.80
CHEMBL2111597,O=C(N[C@@H](CO)C(=O)O)c1nccnc1C(=O)N[C@@H](CO)C(=O)O,-3.17,-10.54
CHEMBL1672871,CCCCCCCCNc1nc(C(N)=O)cnc1C#N,2.22,2.19
CHEMBL3105658,NC(=O)c1cncc(Cl)n1,0.23,-0.40
CHEMBL1909786,Cl.N=C(N)NC(=O)c1nc(Cl)c(NCP(=O)(O)O)nc1N,-1.12,-1.88
CHEMBL503788,NC(N)=NC(=O)c1nc(Cl)c(O)nc1N,-1.17,-0.62
CHEMBL416092,N#CCCN(N)c1cnccn1,0.07,-0.66
CHEMBL318900,CCCCCCCCc1nccnc1OCC,3.78,3.83
CHEMBL1944740,CN(C)CCCCNC(=O)c1nc(Cl)c(N)nc1N,0.37,-1.48
CHEMBL3408562,CCCCCCCCCC(=O)CC(=O)Nc1cnccn1,3.52,3.40
CHEMBL517986,CCN(c1nc(N)c(C(=O)NC(=N)N)nc1Cl)C(C)C,0.57,1.37
CHEMBL1909781,Cl.N=C(N)NC(=O)c1nc(Cl)c(NCC(=O)O)nc1N,-1.17,-2.78
CHEMBL1470813,CSC(=NN=C(N)c1cnccn1)SC,1.18,0.95
CHEMBL1909782,CCOC(=O)CCNc1nc(N)c(C(=O)NC(=N)N)nc1Cl.Cl,-0.30,-0.20
CHEMBL297356,Nc1nc(NCCO)c(Cl)nc1[N+](=O)[O-],0.02,0.69
CHEMBL4167765,NC(=O)c1nccnc1O,-0.72,-0.29
CHEMBL115143,CCCCCCC(C)(C)OC(=O)c1cnc(Cl)cn1,4.04,3.91
CHEMBL445704,CC(C)(C)Nc1nc(N)c(C(=O)N=C(N)N)nc1Cl,0.34,0.28
CHEMBL94687,CCOc1ncc(CC(C)CC)nc1C,2.77,2.47
CHEMBL3188662,CC(=O)c1cnccn1,0.68,-0.52
CHEMBL1708491,NC(=O)NC(=O)c1nccnc1C(=O)O,-1.02,-4.90
CHEMBL3105651,CCCCNc1cncc(C(N)=O)n1,0.79,0.17
CHEMBL3105665,CNc1cnc(C(N)=O)cn1,-0.38,-1.16
CHEMBL114461,CCCCOC(=O)c1cnc(Cl)cn1,2.09,1.88
CHEMBL94270,CCC(C)Cc1nccnc1OC,2.07,1.98
CHEMBL1909785,CCOP(=O)(CNc1nc(N)c(C(=O)NC(=N)N)nc1Cl)OCC.Cl,0.97,0.72
CHEMBL2057259,COCCOCCOCCOCCOCCOCCOCCOCCNC(=O)c1nc(N)c(C(=O)NCCOCCOCCOCCOCCOCCOCCOCCOC)nc1N,-1.37,-1.46
CHEMBL109272,C/C(=N\N=C(\N)S)c1cnccn1,0.45,-1.17
CHEMBL114998,CC(C)COC(=O)c1cnc(Cl)cn1,1.94,1.80
CHEMBL94302,CCSc1cnc(CCC(C)CC)cn1,3.57,3.47
CHEMBL1909813,Cl.N=C(N)NC(=O)c1nc(I)c(N)nc1N,-1.13,-0.60
CHEMBL592774,CC(C)N(CCO)CCC(=O)c1cnccn1,0.75,-1.36
CHEMBL3752212,CC(=O)NC(CSCc1nc(C)c(CO)nc1C)C(=O)O,0.41,-5.11
CHEMBL98067,CCCc1nccnc1SC,2.15,2.04
