chemblID,smiles,ALogP,LogD
CHEMBL285358,COC(=O)CCCCC(CCSS/C(CCO)=C(\C)N(C=O)Cc1cnc(C)nc1N)SC(C)=O,4.09,0.64
CHEMBL1401290,C=CCc1c(C)nc(SCC(=C)C)nc1O,2.89,3.75
CHEMBL151255,N=C(N)N/N=C/c1ccnc(C(=N)N)n1,-1.42,-0.72
CHEMBL154055,C=CCSc1cnc(O)nc1O,1.17,1.97
CHEMBL1595440,C=CCSc1ncc(C(=O)OCC)c(N)n1,1.51,2.76
CHEMBL1186110,COCCNc1cc(OCCN(C)C)nc(OCCNC(=N)N)n1,-0.66,-3.70
CHEMBL445785,CC(C)CCc1cc(N(C)CC(C)C)nc(NCC(C)C)n1,4.23,4.96
CHEMBL272174,CCCOc1cc(NC(C)=O)nc(SC)n1,1.95,2.50
CHEMBL443774,CC(C)CNc1cc(SCC(C)C)nc(NCC(C)C)n1,4.36,4.92
CHEMBL1624204,CCCN(CCC)CCSc1nc(O)c(C(C)C)c(O)n1,3.23,2.71
CHEMBL57961,CC(=O)NCCSC[S+]([O-])C[C@H](CO)NC(=O)/C=C/c1c(C)nc(O)nc1O,-0.74,-2.02
CHEMBL3211077,C/C(CC(C)C)=N\Oc1nc(C)cc(C)n1,2.89,2.60
CHEMBL1713273,CCOC(=O)c1cnc(SC)nc1N,0.96,2.13
CHEMBL1344024,Cc1nc(SCC(N)=O)nc(O)c1CCC(C)C,1.66,2.27
CHEMBL1335033,Nc1nc(Cl)cc(NCCO)n1,0.12,0.10
CHEMBL468762,CCOc1cc(OCCCN)nc(NCCCOC(C)C)n1,1.83,-0.94
CHEMBL1575325,Cc1cc(C)nc(NC(C)(C)C(=O)O)n1,1.37,-2.31
CHEMBL1742221,Nc1nc(SCC(=O)O)nc(O)c1N,-0.48,-3.72
CHEMBL499809,CC(C)CSc1cc(SCC(C)C)nc(SCC(C)C)n1,5.72,7.22
CHEMBL4084986,CCCCCCCCNc1nc(C)cc(Cl)n1,4.21,4.26
CHEMBL1538328,CCCCCCCCOC(=O)/C=C/c1c(C)nc(O)nc1O,3.11,4.49
CHEMBL1906974,COC(=O)/C=C/c1c(C)nc(O)nc1O,0.38,1.39
CHEMBL601658,CCOC(=O)c1cnc(SCC(=O)O)nc1N,0.41,-2.07
CHEMBL356244,C=Cc1nc(O)nc(O)c1I,1.14,2.62
CHEMBL2151970,Nc1nc(Cl)c(N)c(Cl)n1,0.95,0.72
CHEMBL1574430,Cc1nc(SCC(=O)NC(=O)NC(C)C)nc(C)c1C,1.73,1.14
CHEMBL4069818,CCCCNc1nc(N)nc(C)c1CCCN(C)CCOC,2.09,-0.24
CHEMBL56723,CN(C)c1cc(O)nc(N)n1,-0.17,0.89
CHEMBL72540,CCCCCCCOc1nc(N)nc(N)c1N=O,2.39,3.47
CHEMBL1214983,CC(C)CN(NC(=O)OC(C)(C)C)c1cc(C#N)ncn1,2.25,2.95
CHEMBL2005444,Cl.NC(Cc1ncccn1)C(=O)O,-0.57,-2.97
CHEMBL1380581,CCC(C)Sc1nc(O)cc(O)n1,1.78,3.03
CHEMBL3827526,CCCCCCCCCc1nc(O)cc(O)n1,3.18,4.84
CHEMBL124062,C/C=C/CSc1nc(N)cc(Cl)n1,2.38,2.96
CHEMBL125436,CCCCCCCCCCNc1cc(O)nc(O)n1,3.44,4.76
CHEMBL183973,Nc1ncncc1Br,0.82,0.58
CHEMBL1466387,Cc1cc(C)nc(SCC(=O)N(C)C)n1,1.27,0.43
CHEMBL1214984,CC(C)CN(NC(=O)OC(C)(C)C)c1nccc(C#N)n1,2.25,3.03
CHEMBL3275139,Cc1ncc(CS(=O)(=O)O)c(N)n1,-0.24,-3.25
CHEMBL1717577,CNc1cc(Cl)nc(SC)n1,1.89,2.25
CHEMBL1467462,Cc1nc(SCC(=O)NC(=O)NC(C)(C)C)nc(C)c1C,2.12,1.43
CHEMBL137109,CCCc1c(C)nc(N)nc1N,0.90,0.54
CHEMBL1187219,COCCNc1nc(OCCCCNC(=N)N)cc(OCCN(C)C)n1,0.12,-3.13
CHEMBL3828708,CCCCCCCc1nc(O)cc(O)n1,2.40,4.00
CHEMBL4079576,CCCCCCCCCCCCCCCCCCNc1cc(C)nc(NCCN(C)C)n1,7.43,6.56
CHEMBL1466478,CCCCCSc1nc(O)cc(O)n1,2.17,3.60
CHEMBL1891959,CSc1ncc(C(C)=O)c(C)n1,1.71,1.05
CHEMBL136434,Oc1nccc(NCC#CCCl)n1,0.84,1.63
CHEMBL57548,Nc1cc(SCCOCP(=O)(O)O)nc(N)n1,-0.12,-3.61
CHEMBL1453133,CCOC(=O)CSc1nc(N)cc(O)n1,0.42,1.08
CHEMBL229529,CCCCN(CCCC)c1cc(CCO)nc(SC)n1,3.14,4.25
CHEMBL3706457,Cc1cc(C)nc(O)n1,0.80,0.69
CHEMBL3694825,CN(C)CCN(C)c1ccnc(N)n1,0.06,-0.96
CHEMBL1300304,CCOC(=O)c1cnc(SC)nc1NCCOC,1.43,2.39
CHEMBL493701,CC(C)CNc1cc(S(=O)(=O)CC(C)C)nc(NCC(C)C)n1,3.04,3.59
CHEMBL1989659,Cc1nc(Cl)nc(Cl)c1C,2.40,2.43
CHEMBL1789607,CNCC/C=C/c1cncnc1,1.10,-2.34
CHEMBL2105140,COC(=O)CCCCC(CCSS/C(CCO)=C(/C)N(C=O)Cc1cnc(C)nc1N)SC(C)=O,4.09,0.64
CHEMBL55865,CCNc1nc(N)nc(O)c1N=O,0.59,1.34
CHEMBL3188699,Clc1ccnc(Cl)n1,1.78,1.78
CHEMBL1718671,C=CCSc1nccc(O)n1,1.46,2.28
CHEMBL1306107,Cc1nc(O)nc(O)c1/C=C/C(=O)OCC(C)C,1.41,2.63
CHEMBL1316772,CCOc1cc(OP(=S)(OC)OC)nc(CC)n1,2.33,3.54
CHEMBL1188397,NNc1nc(O)nc(O)c1Br,-0.06,1.47
CHEMBL451559,COc1nc(OC)c(Br)c(C(Br)Br)n1,3.04,2.72
CHEMBL1907013,Cc1cc(C)nc(SCCN(C)C)n1,1.75,0.43
CHEMBL3988688,OCCCNc1ccnc(Cl)n1,0.92,0.40
CHEMBL4085562,CCCC#Cc1c(C)nc(N)nc1NCCCC,2.73,3.10
CHEMBL3793758,NNc1ncc(F)cn1,-0.10,0.25
CHEMBL325538,CCCc1nc(S)nc(O)c1Br,2.19,2.92
CHEMBL1865859,CNc1ncnc(NC)c1[N+](=O)[O-],0.47,1.42
CHEMBL4101791,CCNc1nc(C)cc(NCCN(C)C)n1,1.19,-1.21
CHEMBL334018,CCCc1ccnc(N(C)C)n1,1.50,2.11
CHEMBL1307782,CCSc1ncc(C#N)c(N)n1,1.04,1.23
CHEMBL229386,COc1nc(CBr)c(Br)c(OC)n1,2.15,2.63
CHEMBL1442890,CCCSS/C(CCO)=C(/C)N(C=O)Cc1cnc(C)nc1N,2.73,0.23
CHEMBL1649902,CCCCCCCCCCNc1ncccn1,4.03,4.19
CHEMBL4094535,CCCCCCCCCCCCNc1nccc(NCCN(C)C)n1,4.78,3.59
CHEMBL1299314,CCOC(=O)c1cnc(SCC)nc1O,1.47,2.91
CHEMBL1649899,CCCCCCCNc1ncccn1,2.86,2.86
CHEMBL1432383,CCCCSc1cc(O)nc(N)n1,1.66,2.63
