chemblID,smiles,ALogP,LogD
CHEMBL1992879,O=[N+]([O-])c1cnc(N(CCO)CCO)s1,-0.16,0.15
CHEMBL3593863,C=CCNc1nc(C(=O)OCC)cs1,1.92,2.07
CHEMBL537166,CC(=N)Nc1nc(CSCCC(=N)NC(N)=O)cs1.Cl.Cl,1.82,-0.24
CHEMBL418935,CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)NCc1nccs1,3.29,3.98
CHEMBL2364964,N#C/N=C(/NCCCO[N+](=O)[O-])NCCSCc1cnc(N=C(N)N)s1,-0.10,-0.90
CHEMBL1188701,C/N=C(/N)Nc1nc(CSCCC(=N)NC(N)=O)cs1,0.77,-0.76
CHEMBL1741095,O=C(CP(=O)(O)O)Nc1nccs1,0.26,-3.32
CHEMBL1347351,CCOC(=O)/C=C/C(=O)Nc1nccs1,1.20,1.39
CHEMBL3463929,CCC(=O)N(CC)CCc1nccs1,1.94,1.17
CHEMBL263459,CCC[C@@H]([C@@H](CC(C)C)C(=O)N[C@@H](CCC/N=C(/N)NS(C)(=O)=O)C(=O)Nc1nccs1)N(O)C=O,0.89,0.06
CHEMBL3456579,CCc1nc(C)c(C(C)N(C)CCOC)s1,2.65,1.33
CHEMBL3454812,CC(C)(C)NC(=O)c1cnc(C(C)(C)C)s1,2.97,2.82
CHEMBL2229001,CCOc1nc(C(F)(F)F)c(CS(C)(=O)=NC#N)s1,2.64,1.73
CHEMBL2228158,O=Cc1cncs1,0.96,0.48
CHEMBL3468667,CC(C)N(C)CC(=O)NCCc1nc(C(F)(F)F)cs1,2.16,1.07
CHEMBL1987671,CC(C)(C)OC(=O)NCC(CNC(=O)OC(C)(C)C)c1nc(C(N)=O)cs1,2.38,1.44
CHEMBL3464457,CCc1ncc(C(=O)NC(C)(C)CC)s1,2.62,2.24
CHEMBL3091831,NNC(=O)c1csc(N)n1,-0.67,-0.57
CHEMBL33442,CC(C)C(=O)NCCNCC(O)COc1nccs1,0.24,-0.97
CHEMBL3185257,CC(=O)c1sc(C)nc1C,1.96,0.58
CHEMBL1236484,O=C(O)c1cscn1,0.84,-2.77
CHEMBL3490803,COCc1nc(CN(CC(N)=O)C(C)C)cs1,0.99,0.04
CHEMBL1775203,CCCCCCCCNC(=O)CC(=O)Nc1nccs1,2.95,2.85
CHEMBL104066,CN(CC(=O)O)NC(=O)C[C@H](N)Cc1csc(N)n1,-0.97,-4.04
CHEMBL20580,O=C(O)CCNc1nccs1,1.03,-2.41
CHEMBL1617358,COC(=O)Cc1csc(N)n1,0.44,0.66
CHEMBL3468635,CCC(C)C(=O)NCCc1nc(C(F)(F)F)cs1,2.87,2.84
CHEMBL1998783,Cc1csc(NNC(N)=O)n1,0.45,0.21
CHEMBL1572976,Cc1nc(NC(=O)C(Cl)Cl)sc1C(=O)N(C)C,1.90,1.16
CHEMBL1864083,Cc1csc(NC(=O)C(F)(F)F)n1,1.95,1.29
CHEMBL1188700,CC(=N)Nc1nc(CSCCC(=N)NC(N)=O)cs1,1.82,-0.24
CHEMBL3593862,CCCCNc1nc(C(=O)OCC)cs1,2.53,2.66
CHEMBL1375856,CC(=O)Nc1nc(C(F)(F)F)cs1,2.12,1.72
CHEMBL2365262,N#C/N=C(\NCCSCc1cnc(N=C(N)N)s1)NCC(CO[N+](=O)[O-])O[N+](=O)[O-],-0.92,-0.89
CHEMBL3559081,C#CCN(C)CC(=C)c1nccs1,1.72,1.59
CHEMBL2021610,Cc1ncsc1CCO[N+](=O)[O-],1.20,1.12
CHEMBL3478212,CCN(CCOC)C(=O)CCc1scnc1C,1.88,0.93
CHEMBL4065457,O=[N+]([O-])c1cncs1,1.05,0.74
CHEMBL3211948,O=C(O)/C=C/C(=O)Nc1nccs1,0.72,-2.86
CHEMBL52553,C/N=C(\N)Nc1nc(CSCCC(=N)NS(N)(=O)=O)cs1,-0.11,-1.37
CHEMBL509097,CCC(=O)[C@@H](C)CCC/C(C)=C\C[C@H](O)/C=C/c1csc(C)n1,4.95,4.57
CHEMBL50861,CN(C)Nc1nc(CSCCC(=N)NS(N)(=O)=O)cs1,0.43,-0.54
CHEMBL3494355,CCN(CC)CCNC(=O)c1cnc(C(C)(C)C)s1,2.51,0.85
CHEMBL3277575,Cc1ncsc1C(=O)NNC(C)C,1.09,0.45
