chemblID,smiles,ALogP,LogD
CHEMBL612156,OC[C@H]1OC(n2cc(Br)c3cncnc32)[C@H](O)[C@@H]1O,-0.19,-0.28
CHEMBL609491,COC[C@H]1OC(n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O,-0.72,-0.69
CHEMBL607895,CCOC(=O)C(CCSC[C@H]1OC(n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O)NC(=O)C(F)(F)F,0.37,-0.01
CHEMBL606002,NC(=O)c1c(N)n(C2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,-2.69,-2.52
CHEMBL4111623,C[C@@H](O)C1O[C@@H](n2ccc3c(N)ncnc32)[C@](C)(O)[C@@H]1O,-0.60,-0.63
CHEMBL3126915,Cc1ncnc2c1c(I)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-0.04,0.02
CHEMBL364578,C[C@]1(O)C(n2cc(C(N)=O)c3c(N)ncnc32)O[C@H](CO)[C@H]1O,-1.89,-2.16
CHEMBL606489,NSc1nc(N)nc2c1ccn2C1O[C@H](CO)[C@@H](O)[C@H]1O,-1.41,-0.83
CHEMBL2374434,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cc(Br)c2c(N)ncnc21,-0.22,-0.24
CHEMBL608803,COc1ncnc2c1c(C#N)cn2C1O[C@H](CO)[C@@H](O)[C@@]1(C)O,-0.69,-0.47
CHEMBL606443,C[C@H](O)[C@H]1OC(n2cc(C(=N)N)c3c(O)ncnc32)[C@H](O)[C@@H]1O,-1.58,-3.69
CHEMBL1950068,CNc1ncnc2c1c(F)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@]1(C)F,0.59,0.33
CHEMBL3143065,COc1nc(N)nc2c1ccn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,-0.39,-0.07
CHEMBL607961,CNc1ncnc2c1c(C(=N)NO)cn2C1O[C@H](CO)[C@@H](O)[C@@]1(C)O,-1.22,-2.63
CHEMBL610818,CONc1ncnc2c1c(C#N)cn2C1O[C@H](CO)[C@@H](O)[C@@]1(C)O,-0.72,-0.43
CHEMBL62099,Nc1ncnc2c1c(Br)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-0.61,-0.52
CHEMBL16482,N#Cc1c(Br)n(C2OC(CO)C(O)C2O)c2ncnc(N)c12,-0.74,-0.95
CHEMBL3142821,NC(=O)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2Cl)c2ncnc(N)c12,-1.03,-1.08
CHEMBL2069455,C#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)c2ncnc(N)c12,-0.42,-0.24
CHEMBL1911834,[N-]=[N+]=N[C@]1(CO)O[C@@H](n2cc(F)c3c(N)ncnc32)[C@@H](F)[C@@H]1O,0.38,0.27
CHEMBL610726,COCC(=O)NC(CCSC[C@H]1OC(n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)OC(C)C,-0.16,-0.43
CHEMBL609207,C[C@H]1OC(n2cc(C(=N)S)c3c(N)ncnc32)[C@H](O)[C@@H]1O,-0.09,-0.21
CHEMBL1923086,N#Cc1c(Br)n([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12,-0.74,-0.95
CHEMBL1791092,COC(=O)C(CCSC[C@@H]1C[C@@H](O)[C@H](n2ccc3c(N)ncnc32)O1)NC(=O)C(F)(F)F,1.01,0.31
CHEMBL420640,C[C@H]1O[C@@H](n2cc(I)c3c(S)ncnc32)[C@H](O)[C@@H]1O,0.96,1.29
CHEMBL449407,[N-]=[N+]=NC[C@H]1O[C@@H](n2cc(I)c3c(Cl)ncnc32)[C@H](O)[C@@H]1O,1.62,1.42
CHEMBL1923087,NC(=O)c1c(Br)n([C@H]2O[C@@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12,-1.51,-1.96
CHEMBL3142824,NC(=O)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2Br)c2ncnc(N)c12,-0.87,-0.90
CHEMBL609760,Nc1ncnc2c1c(/C=C/Br)cn2C1O[C@H](CO)[C@@H](O)[C@H]1O,-0.01,-0.08
CHEMBL2368587,CSc1ncc2cc(C)n([C@H]3C[C@H](O)[C@@H](CO)O3)c2n1,1.10,1.36
CHEMBL1950056,C[C@]1(F)[C@@H](n2cc(Br)c3c(N)ncnc32)O[C@H](CO)[C@H]1O,0.75,0.65
CHEMBL4108957,C[C@@H](O)C1O[C@@H](n2cc(F)c3c(N)ncnc32)[C@](C)(F)[C@@H]1O,0.52,0.45
CHEMBL609758,Nc1ncnc2c1c(CCCO)cn2C1O[C@H](CO)[C@@H](O)[C@H]1O,-1.45,-1.34
CHEMBL1950241,COP(=O)(OC)OP(=O)(OC)OP(=O)(OC)OC[C@H]1O[C@@H](n2cc(F)c3c(N)ncnc32)[C@](C)(F)[C@@H]1O,3.10,0.58
CHEMBL612172,C[C@H](O)[C@H]1OC(n2cc(C#N)c3c(O)ncnc32)[C@H](O)[C@@H]1O,-0.99,-0.48
CHEMBL4281102,C#C[C@@]1(O)[C@@H](CO)O[C@@H](n2cc(C(F)(F)F)c3c(N)ncnc32)[C@@H]1O,-0.35,-0.26
CHEMBL1269067,COC[C@H]1O[C@@H](n2ccc3c(C)ncnc32)[C@H](O)[C@@H]1O,0.01,-0.28
CHEMBL99668,N#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,-1.50,-1.42
CHEMBL599189,Nc1ncnc2c1ccn2[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,-1.38,-1.33
CHEMBL607588,COCC(=O)NC(CCSC[C@H]1OC(n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)O,-1.03,-3.74
CHEMBL3935835,COc1ncnc2c1ccn2[C@H]1C[C@H](O)[C@@H](COS(N)(=O)=O)O1,-0.69,-0.23
CHEMBL99203,Nc1ncnc2c1c(I)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-0.77,-0.36
CHEMBL607507,CCCOC(=O)C(CCSC[C@H]1OC(n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O)NC(=O)COC,-0.16,-0.33
CHEMBL98933,Nc1ncnc2c1c(Cl)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-0.72,-0.68
CHEMBL3143102,NC(=S)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)c2ncnc(N)c12,-0.76,-0.66
CHEMBL609557,CCOC(=O)C(CCSC[C@H]1OC(n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O)NC(C)=O,-0.18,-0.68
CHEMBL1362287,CC(C)=CCNc1ncnc2c1c(C#N)cn2[C@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O,0.29,0.24
CHEMBL563153,CSC[C@H]1O[C@@H](n2ccc3c(NC(C)=O)ncnc32)[C@H](OC(C)=O)[C@@H]1OC(C)=O,1.51,1.15
CHEMBL2112144,Nc1nc(S)c2ccn([C@H]3C[C@H](O)[C@@H](CO)O3)c2n1,-0.06,0.25
CHEMBL485263,COC(=O)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,-1.59,-1.33
CHEMBL4288324,C#C[C@@]1(O)[C@@H](CO)O[C@@H](n2c(C(F)(F)F)cc3c(N)ncnc32)[C@@H]1O,-0.35,-0.35
CHEMBL141606,Nc1ncnc2c1c(Br)cn2[C@@H]1O[C@@H](CO)[C@@H](O)[C@H]1O,-0.61,-0.52
CHEMBL95211,CCCCSc1ncnc2c1c(I)cn2[C@@H]1O[C@H](C)[C@@H](O)[C@H]1O,2.57,3.37
CHEMBL1950074,COC(=O)/C=C/c1cn([C@H]2O[C@H](CO)[C@@H](O)[C@@]2(C)F)c2ncnc(N)c12,0.18,0.41
CHEMBL2368583,Nc1ncnc2c1cc(Cl)n2[C@H]1C[C@H](O)[C@@H](CO)O1,0.31,-0.06
CHEMBL179482,Nc1nc(O)c2ccn([C@@H]3O[C@H](CO)C[C@H]3O)c2n1,-0.64,-0.21
CHEMBL4062813,Nc1nc(Cl)c2ccn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,-0.72,-0.37
CHEMBL1565228,NNc1c(C(N)=O)c2c(N)ncnc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,-2.99,-2.30
CHEMBL4112513,C[C@@H](OP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@H]1O[C@@H](n2ccc3c(N)ncnc32)[C@](C)(O)[C@@H]1O,-0.25,-9.23
CHEMBL2092999,NC(=O)c1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c2ncnc(N)c12,-2.28,-2.44
CHEMBL2262187,Nc1ncnc2c1c(Br)cn2[C@@H]1OC[C@@H](O)[C@H]1O,0.03,0.11
CHEMBL1269812,Cc1ncnc2c1ccn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-0.65,-0.92
CHEMBL607589,CC(=O)NC(CCSC[C@H]1OC(n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)O,-0.65,-4.09
CHEMBL610570,C[C@]1(O)C(n2cc(C(N)=O)c3c(O)ncnc32)O[C@H](CO)[C@H]1O,-1.76,-1.62
CHEMBL132669,N#Cc1cn(C2OC(CO)CC2O)c2ncnc(N)c12,-0.47,-0.73
CHEMBL608492,N=C(N)NCCCNC(=O)c1cn(C2O[C@H](CO)[C@@H](O)[C@H]2O)c2nc(N)nc(O)c12,-3.07,-5.31
CHEMBL63388,Nc1ncnc2c1c(I)cn2C1OC(CO)C(O)C1O,-0.77,-0.36
CHEMBL610115,NC[C@H]1OC(n2cc(I)c3c(Cl)ncnc32)[C@H](O)[C@@H]1O,0.27,-0.80
CHEMBL1271722,Cc1ncnc2c1ccn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,-0.30,-9.33
CHEMBL610933,OC[C@H]1OC(n2cc(Br)c3c(S)ncnc32)[C@H](O)[C@@H]1O,0.09,0.07
CHEMBL66909,CN(C)c1ncnc2c1ccn2C1OC(CO)C(O)C1O,-0.89,-0.37
CHEMBL611876,CCCCc1cn(C2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,-0.03,0.54
CHEMBL1160556,Nc1ncnc2c1ccn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,-1.02,-9.93
CHEMBL576514,OCc1ncnc2c1ccn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-1.46,-1.73
CHEMBL608449,CCCOC(=O)C(N)CCSC[C@H]1OC(n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O,0.04,-0.26
CHEMBL607683,COC(=N)c1cn(C2O[C@H](CO)[C@@H](O)[C@@]2(C)O)c2ncnc(O)c12,-0.89,-0.50
CHEMBL319177,CNc1ncnc2c1c(I)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,-0.31,-0.06
CHEMBL1950076,C#Cc1cn([C@H]2O[C@H](CO)[C@@H](O)[C@@]2(C)F)c2ncnc(N)c12,-0.03,0.04
CHEMBL4276891,C#C[C@@]1(O)[C@@H](CO)O[C@@H](n2cc(Cl)c3c(N)ncnc32)[C@@H]1O,-0.72,-0.53
CHEMBL1950063,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1cc(Cl)c2c(N)ncnc21,0.65,0.49
CHEMBL610352,CN(C)c1ncnc2c1c(Br)cn2C1O[C@H](CO)[C@@H](O)[C@H]1O,-0.13,0.42
CHEMBL2368584,Cc1nc(N)c2ccn([C@H]3C[C@H](O)[C@@H](CO)O3)c2n1,-0.04,-0.39
CHEMBL1950058,C[C@]1(F)[C@@H](n2ccc3c(N)nc(N)nc32)O[C@H](CO)[C@H]1O,-0.43,-1.38
CHEMBL2074595,Nc1ncnc2c1ccn2[C@H]1C[C@H](O)[C@@H](CO)O1,-0.35,-0.43
CHEMBL4126234,N#C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1ccc2c(N)ncnc21,-1.48,-1.57
CHEMBL606083,NC(=O)c1ncnc2c1ccn2C1O[C@H](CO)[C@@H](O)[C@H]1O,-1.86,-1.81
CHEMBL610633,N#C/C=C/c1cn(C2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,-0.84,-0.91
CHEMBL2368581,Cc1cc2c(N)ncnc2n1[C@H]1C[C@H](O)[C@@H](CO)O1,-0.04,-0.22
CHEMBL1950053,C[C@]1(F)[C@@H](n2ccc3c(N)ncnc32)O[C@H](CO)[C@H]1O,-0.01,-0.16
CHEMBL434340,CO[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1n1ccc2c(O)nc(N)nc21,-1.02,-0.26
CHEMBL2368577,CSc1nc(N)c2cc(C)n([C@H]3C[C@H](O)[C@@H](CO)O3)c2n1,0.68,1.04
CHEMBL1950232,C#Cc1cn([C@H]2O[C@H](CO)[C@@H](O)[C@@]2(C)F)c2nc(N)nc(N)c12,-0.44,-0.24
CHEMBL609262,CC(C)OC(=O)C(CCSC[C@H]1OC(n2ccc3c(N)ncnc32)[C@H](O)[C@@H]1O)NC(=O)C(F)(F)F,0.75,0.44
CHEMBL2111874,N#Cc1c(Br)n([C@H]2O[C@H](CO)[C@@H](O)[C@@H]2F)c2ncnc(N)c12,0.24,-0.06
CHEMBL4111818,CC(O)[C@H]1O[C@@H](n2cc(I)c3c(N)ncnc32)[C@](C)(F)[C@@H]1O,0.99,1.23
CHEMBL610310,C[C@]1(O)C(n2cc(C#N)c3c(NO)ncnc32)O[C@H](CO)[C@H]1O,-0.89,-0.80
CHEMBL609095,C[C@]1(O)C(n2cc(C#N)c3c(O)ncnc32)O[C@H](CO)[C@H]1O,-0.99,-0.62
CHEMBL3127057,CSc1ncnc2c1c(I)cn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0.37,1.11
CHEMBL3142825,N#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2N)c2ncnc(N)c12,-1.54,-2.53
CHEMBL611869,CC[C@H]1OC(n2cc(I)c3c(N)ncnc32)[C@H](O)[C@@H]1O,0.65,1.21
CHEMBL1911832,[N-]=[N+]=N[C@]1(CO)O[C@@H](n2ccc3c(O)ncnc32)[C@@H](F)[C@@H]1O,0.36,0.65
CHEMBL3142829,N#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2N=[N+]=[N-])c2ncnc(N)c12,-0.19,-0.72
CHEMBL1950062,C[C@@]1(F)[C@H](O)[C@@H](CO)O[C@H]1n1ccc2c(N)ncnc21,-0.01,-0.16
CHEMBL318634,Cc1cn([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)c2ncnc(N)c12,-0.04,0.25
