chemblID,smiles,ALogP,LogD
CHEMBL304265,CC(C)(C)Cn1cnc2c(N)ncnc21,1.45,1.31
CHEMBL1205839,Nc1nc(O)c2ncn(COCCOC(=O)CCC(=O)O)c2n1,-0.50,-3.50
CHEMBL176448,Nc1nc(O)c2ncn(COCCCCCP(=O)(O)O)c2n1,0.44,-2.54
CHEMBL311351,Nc1nc(O)c2ncn(C/C=C\CO)c2n1,-0.34,-0.10
CHEMBL300693,CC(C)(CO)COCP(=O)(O)OCCn1cnc2c(N)ncnc21,0.60,-2.90
CHEMBL1370924,CCCn1cnc2c(SCC(=O)O)nc(N)nc21,1.00,-2.29
CHEMBL416457,Nc1ncnc2c1ncn2C/C=C\[C@@H](O)CO,-0.68,-1.10
CHEMBL1196350,CC(C)C[C@H](N)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)[C@@H](N)CC(C)C,1.36,0.59
CHEMBL1205280,Nc1ncnc2c1ncn2COCOCP(=O)(O)O,-0.51,-3.57
CHEMBL3138922,NC/C=C\Cn1cnc2c(Cl)nc(N)nc21,0.58,-1.86
CHEMBL2079252,NCCCNCCCNCCCn1cnc2c(N)ncnc21,-0.28,-6.78
CHEMBL409236,CCC(COC(C)=O)OC(COC(C)=O)n1cnc2c(N)ncnc21,0.83,0.41
CHEMBL1851682,CCCCCCCCCCCCCCCCCCOCCOP(=O)(O)CO[C@@H](COC)Cn1cnc2c(N)nc(N)nc21,6.46,3.56
CHEMBL1999664,CSc1nc2c(N)ncnc2n1C,0.67,1.01
CHEMBL1852764,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](COC)Cn1cnc2c(N)nc(N)nc21,6.07,2.79
CHEMBL99758,CC(C)(Cn1cnc2c(O)nc(N)nc21)OCP(=O)(O)O,0.04,-3.00
CHEMBL1185213,C=CCOC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OCC=C,2.59,2.59
CHEMBL3246445,CCOC(=O)CNC(=O)N(C)c1ncnc2c1ncn2C(=O)NCC(=O)OCC,-0.34,-1.54
CHEMBL1207266,CCCCCCCC/C=C\CCCCCCCCOCCCOP(=O)(O)CO[C@H](CO)Cn1cnc2c(N)ncnc21,6.39,2.88
CHEMBL261749,C[C@@H](Cn1cnc2c(N=C(N)N)nc(N)nc21)OCP(=O)(O)O,-1.15,-1.19
CHEMBL4277262,Nc1ncnc2c1ncn2[C@@H](C=O)O[C@@H](C=O)COP(=O)(O)OP(=O)(O)O,-1.08,-7.37
CHEMBL1851947,CCCCCCCCCCCCCCCCCCOCCOP(=O)(O)CO[C@H](COC)Cn1cnc2c(N)ncnc21,6.88,3.68
CHEMBL1794646,C[C@@H](Cn1cnc2c(N)nc(N)nc21)OCP(=O)(O)O,-0.47,-3.68
CHEMBL224386,COCCNc1nc(NC(=O)C(C)C)nc2c1ncn2C(C)C,2.06,1.88
CHEMBL556103,Nc1nc(Cl)nc2c1ncn2CCCCOP(=O)(O)O,0.95,-2.68
CHEMBL339398,CC(O)C(C=O)COC(C=O)n1cnc2c(N)ncnc21,-0.68,-1.40
CHEMBL1766277,CCN(CC)c1nc(N)nc2c1ncn2C[C@H](CF)OCP(=O)(O)O,0.74,-2.15
CHEMBL1257278,Nc1nc(N)c2ncn(C[C@@H](CO)OCP(=O)(O)OCC(F)(F)F)c2n1,0.09,-3.10
CHEMBL112137,CN(C)CC(Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,-0.51,-3.15
CHEMBL62860,CC(C)CCCCCOP(=O)(O)COCCn1cnc2c(O)nc(N)nc21,2.51,-0.07
CHEMBL281821,Nc1nc(N)c2ncn(COC(CO)CO)c2n1,-1.68,-1.73
CHEMBL157159,CC(O)Cn1cnc2c(F)nc(N)nc21,-0.07,0.04
CHEMBL177945,Nc1nc(O)c2ncn(COCCCCCCP(=O)(O)O)c2n1,0.83,-2.12
CHEMBL305571,CC(C)OP(=O)(COCCn1cnc2c(N)nc(Cl)nc21)OC(C)C,3.08,1.98
CHEMBL108155,CCCn1cnc2c(N(C)C)ncnc21,1.30,1.51
CHEMBL95495,CN(C)c1ncnc2c1ncn2CCCCCCOC(=O)N[C@H](CCCNC(=N)N)C(=O)O,0.90,-0.77
CHEMBL306477,Nc1nc(O)c2ncn(CC=C(CO)CO)c2n1,-0.97,-1.13
CHEMBL1851710,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](COC)Cn1cnc2c(N)ncnc21,6.49,2.91
CHEMBL2336375,CC(C)n1cnc2c(NC(=N)N)nc(NCCCCCCO)nc21,1.68,0.57
CHEMBL285316,Nc1ncnc2c1ncn2OCCOCP(=O)(O)O,-1.01,-4.29
CHEMBL330163,N=C(N)NCCC[C@H](NC(=O)OCCCCCn1cnc2c(N)ncnc21)C(=O)O,0.02,-2.15
CHEMBL423581,CCCCn1c(O)nc2c(N)ncnc21,0.91,1.40
CHEMBL1823512,CCOC(=O)[C@H](C)NP(=O)(CO[C@H](CF)Cn1cnc2c(N)ncnc21)N[C@@H](C)C(=O)OCC,1.00,-0.51
CHEMBL62140,Nc1ncnc2c1ncn2C/C=C/CCl,1.20,0.88
CHEMBL3250922,CC(O)C(=O)n1cnc2c(O)ncnc21,-0.45,-0.93
CHEMBL65741,CC(C)OP(=O)(COCCn1cnc2c(S)ncnc21)OC(C)C,3.13,1.68
CHEMBL538834,CC(C)[C@H](N)C(=O)OCCOP(=O)(COCCn1cnc2c(N)ncnc21)OCCOC(=O)[C@@H](N)C(C)C.Cl,0.66,-0.70
CHEMBL472576,NNC(=O)CSc1ncnc2[nH]cnc12,-0.57,-1.01
CHEMBL24868,Nc1nc(Cl)c2ncn(COCCO)c2n1,0.03,-0.03
CHEMBL3246409,CNC(=S)n1cnc2c(N)ncnc21,-0.24,-0.43
CHEMBL1652265,Nc1ncnc2c1ncn2C[C@H](CO)OCP(=O)(O)O,-1.08,-4.59
CHEMBL73977,Nc1nc(O)c2ncn(COC(CO)OCP(=O)([O-])[O-])c2n1.[Na+].[Na+],-1.44,-3.83
CHEMBL62984,Cc1nc(N)nc2c1ncn2CCOCP(=O)(O)O,-0.13,-3.72
CHEMBL2006852,C/C(=C\CNc1ncnc2c1ncn2CCC(=O)OC(C)(C)C)CO,1.91,0.99
CHEMBL2008971,CCCn1cnc2c(/N=N/O)ncnc21,1.71,1.92
CHEMBL1618287,CCCCCCCC/C=C\CCCCCCCCOC(=O)Nc1ncnc2c1ncn2CCOCP(=O)(O)O,6.56,3.61
CHEMBL3234425,CCOC(=O)Cn1cnc2c(Br)ncnc21,1.15,0.88
CHEMBL13195,CC(C)(CCC(=O)O)CCn1cnc2c(O)nc(N)nc21,1.40,-1.53
CHEMBL367510,Nc1nc(O)c2ncn(COC[C@@H](O)CO)c2n1,-1.56,-1.19
CHEMBL1995433,CCCCCC[C@H]([C@H](C)O)n1cnc2c(N)ncnc21.Cl,2.30,2.14
CHEMBL483891,C[C@@H](Cn1cnc2c(N)ncnc21)OCP(=O)(O)O,-0.05,-3.55
CHEMBL287449,CC(=O)NC(C(=O)NCCn1cnc2c(N)ncnc21)C(C)(C)SN=O,0.22,-0.67
CHEMBL1852001,Nc1ncnc2c1ncn2CCOCP(=O)(S)OP(=O)(O)OP(=O)(O)O,0.73,-7.54
CHEMBL1182591,C=CCOC(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)OCC=C,2.20,2.18
CHEMBL66076,Cn1cnc2c(N)nc(N)nc21,-0.47,-0.47
CHEMBL407877,C=C(COc1nc(N)nc2[nH]cnc12)C(C)C,1.53,1.68
CHEMBL117131,CCCCCn1cnc2c(O)nc(N)nc21,1.30,1.84
CHEMBL300177,Nc1nc(O)c2ncn(OCCCO)c2n1,-1.07,-1.08
CHEMBL116608,CCCn1cnc2c(O)nc(N)nc21,0.52,0.95
CHEMBL1972949,CC(C)(C)OC(=O)N(O)CCCn1cnc2c(N)ncnc21,1.42,0.36
CHEMBL2347450,CCCCCCCCCCCCOc1ncnc2[nH]cnc12,4.65,5.01
CHEMBL565115,Nc1ncnc2c1ncn2CCCCOP(=O)(O)O,0.30,-3.59
CHEMBL1191297,CC(C)C(=O)OCC(CCn1cnc2c(O)nc(N)nc21)COC(=O)[C@@H](N)C(C)C,0.85,1.24
CHEMBL3806327,C[C@H](NC(=O)CNc1nc(N)nc2[nH]cnc12)C(=O)O,-1.06,-4.71
CHEMBL249556,C=CCOC(=O)OCOP(=O)(O)COCCn1cnc2c(N)ncnc21.O=C(O)/C=C/C(=O)O,0.88,-1.98
CHEMBL177948,Nc1nc(O)c2ncn(COCCCCP(=O)(O)O)c2n1,0.05,-2.96
CHEMBL1195076,CCCC(=O)OCC(CCn1cnc2c(O)nc(N)nc21)COC(=O)[C@@H](N)C(C)CC,1.38,1.59
CHEMBL3250903,[N-]=[N+]=NCC(Cn1cnc2c(N)ncnc21)N=[N+]=[N-],1.40,-0.22
CHEMBL271564,CC/C=C/CCOc1nc(N)nc2[nH]cnc12,1.67,1.82
CHEMBL1851867,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)CO[C@H](COC)Cn1cnc2c(OC)nc(N)nc21,6.50,3.38
CHEMBL1188010,CC(C)C[C@H](N)C(=O)SCCOP(=O)(COCCn1cnc2c(N)ncnc21)OCCSC(=O)[C@@H](N)CC(C)C,2.88,0.43
CHEMBL2105503,Nc1ncc2ncn(CC(CO)CO)c2n1,-0.99,-1.55
CHEMBL3291292,CCCCCCC#Cc1nc(N)c2ncn(C)c2n1,2.27,3.47
CHEMBL27062,Nc1nc(O)c2ncn(OCC/C=C/P(=O)(O)O)c2n1,-0.38,-3.32
CHEMBL3806335,CC(C)C[C@H](NC(=O)CNc1ncnc2[nH]cnc12)C(=O)O,0.38,-3.40
CHEMBL1205273,Nc1nc(O)c2ncn(COC(CO)OCP(=O)(O)O)c2n1,-1.44,-3.83
CHEMBL301398,CCC(=O)OCC(CCn1cnc2c(O)nc(N)nc21)COC(=O)CC,1.03,1.21
CHEMBL3105076,Nc1ncnc2[nH]c(C(F)(F)F)nc12,0.95,0.43
CHEMBL569925,Nc1ncnc2c1ncn2CCC(=O)O,-0.12,-3.84
CHEMBL1197088,NCC(=O)SCCOP(=O)(COCCn1cnc2c(N)ncnc21)OCCSC(=O)CN,0.05,-2.66
CHEMBL3138823,NC/C=C\Cn1cnc2c(N)ncnc21,-0.08,-2.77
CHEMBL152417,CC(O)n1cnc2c(Cl)nc(I)nc21,1.60,1.45
CHEMBL160327,Nc1nc(O)c2ncn(O[C@H](CO)CCO)c2n1,-1.71,-1.71
CHEMBL1160742,CN(C)c1ncnc2c1ncn2CCCCCOC(=O)NCC(=O)O,0.87,-2.50
CHEMBL3576874,COc1nc(N)c2nc[nH]c2n1,-0.06,-0.02
CHEMBL114415,Nc1nc(O)c2nc(Br)n(CCCCCCO)c2n1,1.43,1.91
CHEMBL1495284,N#CCCn1cnc2c(S)ncnc21,1.03,0.05
CHEMBL1814566,Nc1ncnc2c1ncn2CCOCP(=O)(OCCOCCOCCOCCOCCOCCO)OCCOCCOCCOCCOCCOCCO,-0.24,-3.01
CHEMBL4169294,NCCNc1nc(N)nc2[nH]cnc12,-0.69,-3.33
CHEMBL222845,Nc1nc(I)nc2c1ncn2COCCO,-0.02,0.11
CHEMBL3806017,COC(=O)[C@@H](NC(=O)CNc1ncnc2[nH]cnc12)C(C)C,0.08,-0.26
CHEMBL306444,CC(C)(C)n1cnc2c(N)ncnc21,1.16,0.75
CHEMBL327206,Nc1nc(O)c2ncn(OCC/C(=C/Cl)P(=O)(O)O)c2n1,0.19,-3.54
CHEMBL2261786,NC/C=C\Cn1cnc2c(N)nc(N)nc21,-0.49,-2.93
CHEMBL43608,Nc1nc(O)c2ncn(CCC(CC(=O)O)CC(=O)O)c2n1,0.07,-6.71
CHEMBL2042629,CCOP(=O)(O)CC(=O)OCCOCn1cnc2c(N)ncnc21,0.15,-3.28
