chemblID,smiles,ALogP,LogD
CHEMBL3544873,CNc1nc(N)nc(N(C)C)n1,-0.44,-0.91
CHEMBL1411112,COC(=O)CN(C#N)c1nc(SC)nc(N(C)C)n1,0.12,2.34
CHEMBL3183742,COCN(COC)c1nc(N(COC)COC)nc(N(COC)COC)n1,-0.09,2.45
CHEMBL3544872,CNc1nc(NC)nc(N(C)C)n1,0.02,-0.52
CHEMBL1477033,CCNc1nc(NC(C)C)nc(NC(C)(C)C)n1,2.33,1.05
CHEMBL1977860,CCC(=O)OCN(C)c1nc(N(C)COC(=O)CC)nc(N(C)COC(=O)CC)n1,0.91,3.90
CHEMBL2287686,CCNC(=O)c1nc(C)nc(NCC)n1,0.36,0.95
CHEMBL593597,CCCCNc1nc(N(C)O)nc(N(C)O)n1,0.73,2.06
CHEMBL423103,NCCCNCCCCN(CCCN)c1nc(N)nc(N)n1,-1.09,-8.50
CHEMBL2271912,Cc1nc(N)nc(C(F)(F)F)n1,0.78,1.78
CHEMBL1404748,C=CCNc1nc(C)nc(OC)n1,0.79,1.65
CHEMBL1540202,CCCCCCCNc1nc(Cl)nc(NCCO)n1,2.31,3.03
CHEMBL1229242,NCC(CON)OC(=O)CCNc1nc(N)nc(N)n1,-2.40,-5.23
CHEMBL470813,Nc1nc(N)nc(NCCCO)n1,-1.17,-2.60
CHEMBL1864060,COC(=O)CN(C#N)c1nc(NC(C)C)nc(NC(C)C)n1,0.97,2.10
CHEMBL534283,CCCCNc1nc(NC(C)(C)C)nc(NC(C)(C)C)n1,3.50,2.32
CHEMBL1526900,CCN(C#N)c1nc(NC(C)C)nc(NC(C)(C)C)n1,2.21,3.11
CHEMBL1874151,C=CCNc1nc(NC(C)(C)CO)nc(OCC)n1,1.05,1.76
CHEMBL1323403,CCN(CC)C(=O)C(C)N(C#N)c1nc(SC)nc(N(C)C)n1,1.20,3.12
CHEMBL1408994,CC(C)Nc1nc(NC(C)C)nc(N(C#N)C(C)C(=O)N(C)C)n1,1.28,2.16
CHEMBL471024,NCCCC(N)(C(=O)OCCCNc1nc(N)nc(N)n1)C(F)F,-0.92,-5.16
CHEMBL1966561,N#CCCOCN(CO)c1nc(N(CO)COCCC#N)nc(N(CO)COCCC#N)n1,-1.20,-0.16
