smiles,gsk3
COc1ccc(C=NNc2ncnc3c2cnn3-c2cccc(OC)c2)cc1,1
COc1cccc(-n2ncc3c(NN=Cc4cccc(F)c4)ncnc32)c1,1
COc1cccc(-n2ncc3c(NN=Cc4ccccc4F)ncnc32)c1,1
COc1cccc(C=NNc2ncnc3c2cnn3-c2cccc(OC)c2)c1,1
COc1cccc(-n2ncc3c(NN=Cc4ccc(S(C)(=O)=O)cc4)ncnc32)c1,1
C=CCOc1ccc(C=NNc2ncnc3c2cnn3-c2cccc(OC)c2)cc1,1
COc1cccc(-n2ncc3c(NN=Cc4ccc(CN(C)C)cc4)ncnc32)c1,1
COc1cc(C=NNc2nc(Cl)nc3c2cnn3-c2ccccc2)ccc1O,1
COc1cc(C=NN(C)c2ncnc3c2cnn3-c2ccccc2)ccc1O,1
COc1cccc(-n2ncc3c(NN=Cc4ccc(OCCN(C)C)cc4)ncnc32)c1,1
COc1cc(C=NNc2ncnc3c2cnn3-c2ccccc2)ccc1O,1
COc1cccc(-n2ncc3c(NN=Cc4ccc(NC(=O)CCN(C)C)cc4)ncnc32)c1,1
C=S(O)(O)=CCNC(=O)c1ccc(C=NNc2ncnc3c2cnn3-c2cccc(OC)c2)cc1,1
COc1cccc(-n2ncc3c(NN=Cc4ccc(O)cc4)ncnc32)c1,1
COc1cccc(-n2ncc3c(NN=Cc4ccc(C)cc4)ncnc32)c1,1
COc1cccc(-n2ncc3c(NN=Cc4ccc(S(=O)(=O)NCCN(C)C)cc4)ncnc32)c1,1
COc1cccc(-n2ncc3c(NN=Cc4ccc(F)cc4)ncnc32)c1,1
COc1cccc(-n2ncc3c(NN=Cc4ccc(C(=O)NCCN(C)C)cc4)ncnc32)c1,1
COc1cccc(-n2ncc3c(NN=Cc4ccc(N)cc4)ncnc32)c1,1
COc1cccc(-n2ncc3c(NN=Cc4ccc(NC(C)=O)cc4)ncnc32)c1,1
COc1cccc(-n2ncc3c(NN=Cc4ccc(C#N)cc4)ncnc32)c1,1
CCN(CC)c1ccc(C=NNc2ncnc3c2cnn3-c2cccc(OC)c2)cc1,1
COc1cccc(-n2ncc3c(NN=Cc4ccccc4)ncnc32)c1,1
COc1cccc(-n2ncc3c(NN=Cc4ccc(C(=O)O)cc4)ncnc32)c1,1
O=[N+]([O-])c1ccc(O)c(C=NNc2ncnc3c2cnn3-c2ccccc2)c1,0
COc1cccc(-n2ncc3c(NN=Cc4ccc(N=S(C)(=O)O)cc4)ncnc32)c1,1
COc1cccc(-n2ncc3c(NN=Cc4ccc(F)c(F)c4)ncnc32)c1,1
CCNCc1ccc(C=NNc2ncnc3c2cnn3-c2cccc(OC)c2)cc1,1
COc1cccc(-n2ncc3c(NN=Cc4cccc(N)c4)ncnc32)c1,1
COc1cccc(-n2ncc3c(NN=Cc4cccc(S(C)(=O)=O)c4)ncnc32)c1,1
