smiles,gsk3
CC(C)(C)OC(=O)n1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,1
O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccc(O)cc2N1,1
C=C(C)n1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,1
COc1ccc2c(c1)NC(=O)Cc1c-2[nH]c2ccc(C(F)(F)F)cc12,1
COC(=O)c1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,1
CSc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,1
COc1ccc2c(c1)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,1
O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cc(Br)ccc2N1,1
CN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21,1
Cn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,1
CC(=O)OCN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21,1
O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cccc(O)c2N1,1
N#CCCc1ccc2c(c1)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,1
Cc1cccc2c3c([nH]c12)-c1ccccc1NC(=O)C3,1
Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,1
O=C1Cc2c(n(CCO)c3ccc(Br)cc23)-c2ccccc2N1,1
O=C1Cc2c([nH]c3ccccc23)-c2cc(Br)ccc2N1,1
COc1cc2c(cc1OC)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,1
O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2ccccc2N1,1
COc1ccc2c(c1)-c1[nH]c3ccc(Br)cc3c1CC(=O)N2,1
NCCCCOc1ccc2c(c1)NC(=O)Cc1c-2[nH]c2ccc(Br)cc12,1
COc1cc2c(cc1OC)-c1[nH]c3ccc(Br)cc3c1CC(=O)N2,1
COc1cc2c(cc1OC)-c1[nH]c3ccccc3c1CC(=O)N2,1
O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cc(CC#CO)ccc2N1,1
C=CCn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,1
O=C1Cc2c([nH]c3ccccc23)-c2cc(I)ccc2N1,1
O=C1Cc2c([nH]c3ccc(F)cc23)-c2ccccc2N1,1
O=C1Cc2c([nH]c3c(Cl)cccc23)-c2ccccc2N1,1
N#CC=Cc1ccc2c(c1)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,1
O=C1Cc2c([nH]c3ccc(Cl)cc23)-c2ccccc2N1,1
CC(=O)Cc1ccc2c(c1)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,1
CCc1cccc2c3c([nH]c12)-c1ccccc1NC(=O)C3,1
O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1,1
O=C1Cc2c([nH]c3cc(Br)ccc23)-c2ccccc2N1,1
COc1cc2c(cc1OC)-c1[nH]c3ccc(C#N)cc3c1CC(=O)N2,1
O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2ccccc2N1,1
N#Cc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,1
COc1ccc2c(c1)NC(=O)Cc1c-2[nH]c2ccc([N+](=O)[O-])cc12,1
CCn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,1
CC(=O)OCn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2,1
COc1cc2c(cc1OC)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,1
N#CCCc1ccc2c(c1)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,1
CC(=O)C=Cc1ccc2c(c1)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,1
O=C1Cc2c([nH]c3ccc([N+](=O)[O-])cc23)-c2cc(Br)ccc2N1,1
O=C1Cc2c([nH]c3cc(Cl)cc(Cl)c23)-c2ccccc2N1,1
CCN1C(=O)Cc2c([nH]c3ccc(Br)cc23)-c2ccccc21,0
CCCOC(=O)c1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,0
CC(C)(C)OC(=O)N1C(=O)Cc2c(n(C(=O)OC(C)(C)C)c3ccc(Br)cc23)-c2ccccc21,0
O=C1Cc2c([nH]c3c(Br)cccc23)-c2ccccc2N1,1
O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cc(Br)ccc2N1,1
COC(=O)C=Cc1ccc2c(c1)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2,1
N#Cc1ccc2c(c1)-c1[nH]c3ccccc3c1CC(=O)N2,1
COc1ccc2[nH]c3c(c2c1)CC(=O)Nc1ccccc1-3,1
O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cc(O)c(O)cc2N1,1
O=C1Cc2c([nH]c3ccccc23)-c2ccccc2N1,1
O=C1Cc2c([nH]c3ccc(Br)cc23)-c2cc(I)ccc2N1,1
COc1ccc2c(c1)NC(=O)Cc1c-2[nH]c2ccc(C#N)cc12,1
O=C1Cc2c([nH]c3ccc(C(F)(F)F)cc23)-c2cc(I)ccc2N1,1
