smiles,gsk3
CCN(CC)Cc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,1
Fc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1F,1
CCCOc1ccc2c(-c3ccnc(Nc4cccc(C(F)(F)F)c4)n3)cnn2n1,1
O=[N+]([O-])c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,1
FC(F)(F)c1cc(Nc2nccc(-c3cnn4ncccc34)n2)ccc1Cl,1
CCN(CC)Cc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,1
O=C(O)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,1
COc1ccc2c(-c3ccnc(Nc4ccc(C#N)cc4)n3)cnn2n1,1
COc1ccc2c(-c3ccnc(Nc4ccc([N+](=O)[O-])cc4)n3)cnn2n1,1
COc1cc(Nc2nccc(-c3cnn4ncccc34)n2)cc(C(F)(F)F)c1,1
CCN(CC)CCNC(=O)c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,1
COc1cc(Nc2nccc(-c3cnn4nc(OC)ccc34)n2)cc(C(F)(F)F)c1,1
COc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,1
COc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1OC,1
Cc1cc(C)cc(Nc2nccc(-c3cnn4ncccc34)n2)c1,1
N#Cc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,1
N#Cc1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,1
O=[N+]([O-])c1cccc(Nc2nccc(-c3cnn4ncccc34)n2)c1,1
Cc1ccccc1Nc1nccc(-c2cnn3ncccc23)n1,1
Fc1cc(F)cc(Nc2nccc(-c3cnn4ncccc34)n2)c1,1
Cc1ccc2c(-c3ccnc(Nc4cccc(C(F)(F)F)c4)n3)cnn2n1,1
CC(C)(C)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,1
FC(F)(F)c1cc(Br)cc(Nc2nccc(-c3cnn4ncccc34)n2)c1,1
c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,1
Oc1ccc2c(-c3ccnc(Nc4cccc(C(F)(F)F)c4)n3)cnn2n1,1
COc1cc(Nc2nccc(-c3cnn4nc(OC)ccc34)n2)cc(OC)c1,1
COc1ccc2c(-c3ccnc(Nc4cc(C(F)(F)F)cc(C(F)(F)F)c4)n3)cnn2n1,1
CCOc1ccc2c(-c3ccnc(Nc4cccc(C(F)(F)F)c4)n3)cnn2n1,1
CC(C)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,1
COc1cc(Nc2nccc(-c3cnn4ncccc34)n2)cc(OC)c1,1
Clc1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1Cl,1
COc1cccc(Nc2nccc(-c3cnn4nc(OC)ccc34)n2)c1,1
COc1cc(Nc2nccc(-c3cnn4nc(C)ccc34)n2)cc(C(F)(F)F)c1,1
COCCOc1cnn2ncc(-c3ccnc(Nc4cccc(OC)c4)n3)c2c1,1
Clc1cc(Cl)cc(Nc2nccc(-c3cnn4ncccc34)n2)c1,1
Cc1ccc2c(-c3ccnc(Nc4ccc(C(F)(F)F)cc4)n3)cnn2n1,1
COc1ccc2c(-c3ccnc(Nc4cccc(OC(F)(F)F)c4)n3)cnn2n1,1
NC(=O)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,1
CCOc1ccc2c(-c3ccnc(Nc4cc(OC)cc(C(F)(F)F)c4)n3)cnn2n1,1
COc1ccc2c(-c3ccnc(Nc4cccc(C(F)(F)F)c4)n3)cnn2n1,1
CCC(C)c1ccc(Nc2nccc(-c3cnn4ncccc34)n2)cc1,1
