smiles,gsk3
CCCCCCCCCCCCCC(=O)OCC(O)c1oc(O)c(O)c1O,1
CCOC(=O)NN=C(C)c1ccc([N+](=O)[O-])o1,0
CCCCNC(=O)NS(=O)(=O)c1ccc(C(=O)OC)o1,0
CCOC(=O)c1c(C)oc(NC(=O)CCl)c1C(=O)OCC,0
CC(C)NC(=O)C(=O)NN=Cc1ccco1,0
Cc1ccc(C(=O)C=CN(C)C)o1,0
CCC(C)C(NC(=O)NCc1ccco1)C(=O)O,0
CC(=O)NC(=O)Nc1oc(O)c(Cl)c1Cl,0
CCOP(=O)(Cc1ccc(C(=O)CC)o1)OCC,0
COC(=O)c1ccc(NC(C)=O)o1,0
C=CCNC(=S)NNC(=O)c1ccc(Br)o1,0
CCCC(=O)c1cc(CP(=O)(OCC)OCC)oc1C,0
COC(=O)C(NC(=O)NCc1ccco1)C(C)C,0
Cc1ccc(C(=O)NCCCC(=O)O)o1,0
CCC(C)NCc1ccc(C(=O)OC)o1,0
Cc1occc1C(=O)NC(C)C(C)(C)C,0
CC(=CC=C(C#N)C#N)c1cc(C#N)c(N)o1,0
Cc1oc(CC(C)C)cc1C(=O)NCCCC(=O)O,0
Cc1ccc(C=C(C#N)C(=O)NC(C)C)o1,0
CC(C=Cc1ccco1)=NNC(=O)OC(C)(C)C,0
COP(=O)(Cc1ccc(C#N)o1)OC,0
CCOC(=O)NN=CC=Cc1ccco1,0
CSCCC(NC(=O)c1ccoc1C)C(=O)O,0
Cc1cc(C(=O)OCC(=O)NC(C)C)c(C)o1,0
CCNC(=S)NN=C(C)c1ccco1,0
COCC(=O)NN=C(C)CC(=O)NCc1ccco1,0
NC(=O)C(=Cc1ccco1)C(N)=S,0
C=CCN(CC=C)Cc1ccc(C(=O)OC)o1,0
CCC(C)=NNC(=S)NCc1ccco1,0
CCCCCCCCCC(=O)OCC(O)c1oc(O)c(O)c1O,1
O=C(O)CC(NCc1ccco1)C(=O)OCCCl,0
CCCCN(CCCC)Cc1ccc(C(=O)NN)o1,0
C=C(C)CCOC(=O)C(CC(=O)O)NCc1ccco1,0
CCCCNC(=O)COC(=O)c1cc(C)oc1C,0
CCc1oc(C(=O)OC)cc1CSC(=N)N,0
