smiles,ld50_zhu
C=CC(=O)OCC1CO1,2.785
C1CO1,2.787
C=C(C)C(=O)OCC1CO1,2.377
CC(=O)C1OC1(C)C,1.851
CC(C)(C)CC1(C)CO1,1.416
CC(C)OCC1CO1,1.442
CC1CO1,2.184
CCC(C)(C)C1(C(C)(C)CC)CO1,1.44
CCC1CO1,2.1590000000000003
CCC1OC1(C)C,1.4569999999999999
CCCC1OC1(CC)CO,1.456
CCCCCCCCC=CCCCCCCCC(=O)OCC1CO1,1.983
CCCCCCCCC1OC1CCCCCCCC(=O)OCC(CC)CCCC,1.125
C=CCOC(=O)CCCCCCCC1OC1CCCCCCCC,2.451
CCCCOC(=O)C=CC(=O)OCC1CO1,2.5069999999999997
CCCCOC(=O)C1OC1C,2.5
CCCCOCC1CO1,1.8030000000000002
CCN(CC)CC1CO1,2.488
CCOC(=O)C=CC(=O)OCC1CO1,2.092
ClCC1OC1CCl,2.298
CO[Si](CCCOCC1CO1)(OC)OC,1.012
OCC1CO1,2.246
CCCCC(CC)COCC1CO1,1.3780000000000001
CC=CC=CC(=O)OCC1CO1,1.466
O=CC=CC1CO1,3.199
ClC(Cl)(Cl)CC1CO1,2.068
N#CC1OC1C#N,2.576
ClCC1CO1,3.012
C=CCOCC1CO1,1.8530000000000002
CC1OC1(C)C,1.514
CCCC1OC1(CC)C(N)=O,2.1
O=[N+]([O-])OCC1CO1,2.4130000000000003
CC(C)(C)OCC1CO1,1.814
CC1(C)CO1,1.268
COCC1CO1,2.2840000000000003
C=COCCOCC1CO1,1.771
CCOC(=O)C1OC1C,2.415
