smiles,ld50_zhu
CCOP(=O)(OCC)SCn1nc(Cl)ccc1=O,4.796
CCOP(=S)(OCC)SCn1nc(Cl)ccc1=O,3.9730000000000003
COP(=S)(OC)SCn1nc(Cl)ccc1=O,4.779
CCOP(=S)(Oc1cnn(C)c(=O)c1Cl)OC(C)C,3.4610000000000003
CCOP(=S)(Oc1c(OC)cnn(C)c1=O)OC(C)C,4.11
CCSP(=O)(Oc1cnn(C)c(=O)c1OC)OC(C)C,3.964
CCOP(=S)(Oc1cnn(C)c(=O)c1SCC)OC(C)C,3.613
CCOP(=S)(Oc1cnn(C)c(=O)c1)OC(C)C,4.466
CCOc1c(OP(=S)(OCC)OC(C)C)cnn(C)c1=O,4.573
CCOP(=S)(Oc1cnn(CC)c(=O)c1OC)OC(C)C,4.97
CCCCn1ncc(OP(=S)(OCC)OC(C)C)c(OC)c1=O,4.218999999999999
CCCCCn1ncc(OP(=S)(OCC)OC(C)C)c(OC)c1=O,4.624
CCCSP(=S)(OCC)Oc1cnn(C)c(=O)c1OC,4.353
COc1c(OP(=S)(NC(C)C)OC)cnn(C)c1=O,4.789
CCOP(=S)(CC)Oc1cnn(C)c(=O)c1OC,5.086
COP(=S)(OC)SCn1ncccc1=O,4.881
CCOP(=S)(OCC)SCn1ncccc1=O,5.0710000000000015
CC(C)OP(=S)(OC(C)C)SCn1ncccc1=O,3.8089999999999997
COP(=S)(OC)SCn1nc(C)ccc1=O,4.506
CCOP(=S)(OCC)SCn1nc(C)ccc1=O,3.8360000000000003
Cc1ccc(=O)n(CSP(=S)(OC(C)C)OC(C)C)n1,3.3369999999999997
CCOP(=O)(OCC)SCn1nc(C)ccc1=O,4.6530000000000005
CCc1ccc(=O)n(CSP(=S)(OC)OC)n1,3.992
CCOP(=S)(OCC)SCn1nc(CC)ccc1=O,4.235
CC(C)OP(=S)(OC(C)C)SCn1nc(Cl)ccc1=O,3.2739999999999996
COP(=S)(OC)SCn1nc(Br)ccc1=O,4.9639999999999995
CCOP(=S)(OCC)SCn1nc(Br)ccc1=O,4.095
COP(=S)(OC)SCn1nc(Cl)c(C)cc1=O,3.685
CCOP(=S)(OCC)SCn1nc(Cl)c(C)cc1=O,3.5810000000000004
Cc1cc(=O)n(CSP(=S)(OC(C)C)OC(C)C)nc1Cl,3.528
CCOP(=O)(OCC)SCn1nc(Cl)c(C)cc1=O,4.083
CCOP(=O)(OCC)SCn1ncccc1=O,5.143
COc1c(OP(=S)(OC)OCC(C)C)cnn(C)c1=O,4.4110000000000005
CCOP(=S)(Oc1cnn(C)c(=O)c1SC)OC(C)C,3.927
CCOP(=S)(Oc1cnn(C)c(=O)c1OC)OC(C)C,5.003
CCCOP(=S)(OCCC)Oc1cnn(C)c(=O)c1OC,4.112
CCOP(=O)(Oc1cnn(C)c(=O)c1OC)SC(C)C,3.8089999999999997
COc1c(OP(=S)(OC)OC)cnn(C)c1=O,5.05
CCOP(=S)(OC)Oc1cnn(C)c(=O)c1OC,4.806
CCCOP(=S)(OC)Oc1cnn(C)c(=O)c1OC,4.757
COc1c(OP(=S)(OC)OC(C)C)cnn(C)c1=O,4.921
CCOP(=O)(OCC)Oc1cnn(C)c(=O)c1OC,5.466
CCOP(=S)(OCC)Oc1cnn(C)c(=O)c1OC,5.091
CCCOP(=S)(OCC)Oc1cnn(C)c(=O)c1OC,4.605
CCOP(=S)(OCC(C)C)Oc1cnn(C)c(=O)c1OC,3.925
CCCOP(=O)(OCCC)Oc1cnn(C)c(=O)c1OC,4.329
CCCOP(=S)(Oc1cnn(C)c(=O)c1OC)OC(C)C,4.215
CCCOP(=S)(OCC(C)C)Oc1cnn(C)c(=O)c1OC,3.553
COc1c(OP(=O)(OC(C)C)OC(C)C)cnn(C)c1=O,5.227
COc1c(OP(=S)(OC(C)C)OC(C)C)cnn(C)c1=O,4.506
COc1c(OP(=S)(OCC(C)C)OC(C)C)cnn(C)c1=O,3.8289999999999997
COc1c(OP(=O)(OCC(C)C)OCC(C)C)cnn(C)c1=O,3.986
COc1c(OP(=S)(OCC(C)C)OCC(C)C)cnn(C)c1=O,3.431
CCOP(=S)(NC(C)C)Oc1cnn(C)c(=O)c1OC,4.744
CCOP(=O)(Oc1cnn(C)c(=O)c1OC)N(C)C,4.765
