smiles,ld50_zhu
Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,1.465
c1ccc(-c2ccccc2)cc1,1.808
CC(=O)Nc1ccc(-c2ccc(N)cc2)cc1,2.142
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.443
CN(C)C(=O)c1cccc(-c2ccccc2)c1O,2.104
CNC(=O)c1cc(-c2ccccc2)ccc1OCCO,2.002
COc1cc(-c2ccc(N)c(OC)c2)ccc1N,2.105
COc1ccccc1-c1ccccc1,1.709
Nc1ccccc1-c1ccccc1,1.859
Nc1ccc(-c2ccc(N)cc2)cc1,2.775
Nc1ccc(-c2ccccc2)cc1,2.529
Nc1ccc(-c2ccccc2N)cc1,2.773
O=Cc1ccccc1-c1ccccc1C=O,1.871
O=[N+]([O-])c1ccc(-c2ccccc2)cc1,1.9509999999999998
O=[N+]([O-])c1ccccc1-c1ccccc1,2.209
C=C(CC(=O)c1ccc(-c2ccccc2Cl)cc1)C(=O)O,2.0980000000000003
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,2.805
O=C(O)Cc1ccc(-c2ccccc2)cc1,2.714
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,3.1039999999999996
Oc1ccc(-c2ccc(O)cc2)cc1,1.2770000000000001
O=C(O)c1ccccc1-c1ccccc1CO,1.545
CC(=O)Oc1ccc(-c2ccc(F)cc2)cc1C(=O)O,3.1710000000000003
CC(C)c1ccc(-c2ccccc2)cc1,1.633
CCN(CC)Cc1cc(-c2ccccc2)ccc1O,3.96
O=C(Cc1ccc(-c2ccccc2)cc1)OCCF,4.6339999999999995
CC(=O)C=Cc1ccc(-c2ccccc2)cc1,1.999
O=C(O)Cc1ccc(-c2ccccc2F)cc1,2.557
CC(C(=O)O)c1ccc(-c2ccccc2F)cc1,2.86
Oc1c(O)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,3.108
O=C(CF)Nc1ccc(-c2ccccc2)cc1,4.36
CC(C)c1ccc(-c2ccccc2)cc1,1.3630000000000002
CCCCCCCCc1ccc(-c2ccccc2)cc1,2.045
CN(C)N=Nc1ccc(-c2ccccc2)cc1,2.812
O=[N+]([O-])c1cc(Cl)cc(-c2cc(Cl)cc([N+](=O)[O-])c2O)c1O,4.538
CC(=O)OC(C)OC(=O)C(C)c1ccc(-c2ccccc2)c(F)c1,3.699
Cc1ccc(-c2ccccc2)cc1,1.8159999999999998
CCOC(=O)Cc1ccc(-c2ccccc2)cc1,2.795
CC(CC(=O)O)c1ccc(-c2ccccc2F)cc1,2.68
CCCCCCCCc1ccc(-c2ccc(C#N)cc2)cc1,2.122
CC=CCC(C(=O)O)c1ccc(-c2ccccc2)cc1,2.425
Nc1cc(-c2ccccc2)ccc1O,1.913
CC(=O)CCc1ccc(-c2ccccc2)cc1,2.338
CC(CC(=O)c1ccc(-c2ccc(F)cc2F)cc1)C(=O)O,3.3560000000000003
NC(=S)Nc1ccc(-c2ccc(NC(N)=S)cc2)cc1,3.18
CC(C(=O)OCCCCO[N+](=O)[O-])c1ccc(-c2ccccc2)c(F)c1,3.025
CN(C)Cc1cc(-c2ccccc2)ccc1O,3.9589999999999996
O=P(O)(O)Oc1c(Br)cc(Br)cc1-c1cc(Br)cc(Br)c1O,3.612
Nc1ccc(-c2ccc(N)cc2[N+](=O)[O-])cc1,2.059
