smiles,ld50_zhu
CC(=O)Oc1ccc(Oc2c(I)cc(C(=O)O)cc2I)cc1I,2.15
CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],1.859
O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,1.47
O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1,2.5839999999999996
CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1,1.895
COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,2.782
COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],1.7280000000000002
COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1,2.457
CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,3.188
O=[N+]([O-])c1ccc(Oc2ccc(C(F)(F)F)cc2Cl)cc1,2.502
O=[N+]([O-])c1ccc(Oc2ccc(C(F)(F)F)cc2[N+](=O)[O-])cc1,1.5619999999999998
Nc1ccc(Oc2ccc(N)cc2)cc1,2.441
c1ccc(Oc2ccccc2)cc1,1.703
O=C(O)Cc1ccccc1Oc1ccc(Cl)cc1Cl,2.115
Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,1.8940000000000001
Oc1cccc(Oc2ccccc2)c1,2.187
O=C(O)Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1,5.9570000000000025
O=C(O)c1cccc(Oc2ccc(C(F)(F)F)cc2Cl)c1,2.432
CC(Oc1ccc(Oc2ccc(Cl)cc2)cc1)C(=O)O,2.387
ClCNc1cc(Cl)ccc1Oc1ccc(Cl)cc1,2.62
CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],2.545
CCOC(=O)NCCOc1ccc(Oc2ccccc2)cc1,1.254
CC(=O)c1cccc(Oc2ccccc2)c1,1.7080000000000002
COc1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],1.242
CCOC(=O)COC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],2.481
CCc1ccc(Oc2ccc(C)cc2CC(=O)O)c(Cl)c1,2.029
CCC(C)c1ccc(Oc2ccc(C)cc2CC(=O)O)c(Cl)c1,2.477
CC(C)c1cc(Oc2ccccc2)cc(C(C)C)c1NC(=S)NC(C)(C)C,2.269
O=C(Cl)c1ccc(Oc2ccc(C(=O)Cl)cc2)cc1,1.53
CC(C)c1cc(Oc2c(I)cc(CC(=O)O)cc2I)ccc1O,4.998
O=C(O)Cc1ccccc1Oc1c(Cl)c(Cl)cc(Cl)c1Cl,3.082
O=Cc1cccc(Oc2ccccc2)c1,2.21
CC(Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1)C(=O)O,2.764
CCCSc1cc(Oc2ccc([N+](=O)[O-])cc2)ccc1Cl,2.457
O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],2.4219999999999997
CC(=O)Oc1cccc(Oc2ccc(C(F)(F)F)cc2Cl)c1,2.121
CC(C)COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2)cc1,2.6830000000000003
O=[N+]([O-])c1ccc(Oc2c(F)cc(Cl)cc2Cl)cc1,2.019
OCc1cccc(Oc2ccccc2)c1,2.127
BrCc1cccc(Oc2ccccc2)c1,2.0540000000000003
NC(Cc1ccc(Oc2ccc(N(CCCl)CCCl)cc2)cc1)C(=O)O,2.807
ClCc1cccc(Oc2ccccc2)c1,2.252
ClC(Cl)c1cccc(Oc2ccccc2)c1,1.625
CC(=O)c1ccc(Oc2c(I)cc(C(=O)O)cc2I)cc1I,2.1390000000000002
N#CC(O)c1cccc(Oc2ccccc2)c1,2.45
