smiles,ld50_zhu
c1ccc2ccccc2c1,2.418
CC(=O)c1cccc2ccccc12,2.0380000000000003
CC(C)=CCN(CC=C(C)C)CCC(C(N)=O)c1cccc2ccccc12,3.014
CC(C)NCC(O)c1ccc2ccccc2c1,2.406
CC(C)NCC(O)COc1cccc2ccccc12,2.594
Cc1ccc2ccccc2c1N,2.404
Cc1cccc2ccccc12,1.8880000000000001
Cc1ccc2ccccc2c1,1.9409999999999998
CCN(C)CCC(CC=C(C)C)(C(N)=O)c1cccc2ccccc12,3.678
CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,1.735
CCOc1ccc2cc(S(=O)(=O)O)ccc2c1N,1.348
CCOc1ccc2ccccc2c1,1.743
O=C(Cl)Oc1cccc2ccccc12,1.909
Clc1cccc2ccccc12,2.024
CC(C)=CCC(CCN(C)C)(C(N)=O)c1cccc2ccccc12,3.3560000000000003
CNC(=O)Oc1cccc2ccccc12,2.9419999999999997
CNc1cccc2ccccc12,2.0469999999999997
COc1ccc2cc(C(C)C(=O)O)ccc2c1,2.8080000000000003
NC(=O)Cc1cccc2ccccc12,1.462
NC(=S)Cc1cccc2ccccc12,3.5260000000000002
NC(=S)Nc1cccc2ccccc12,4.5280000000000005
Nc1cc(S(=O)(=O)O)c2cccc(S(=O)(=O)O)c2c1,1.425
Nc1ccc(S(=O)(=O)O)c2cccc(O)c12,1.5859999999999999
Nc1ccc2c(S(=O)(=O)O)cccc2c1S(=O)(=O)O,1.7469999999999999
Nc1ccc2ccccc2c1S(=O)(=O)O,1.061
Nc1cccc2cc(S(=O)(=O)O)ccc12,1.196
Nc1cc2c(S(=O)(=O)O)cc(S(=O)(=O)O)cc2cc1S(=O)(=O)O,1.47
Nc1ccc2ccccc2c1,2.294
Nc1ccc2c(S(=O)(=O)O)cc(S(=O)(=O)O)cc2c1,2.181
O=[N+]([O-])c1ccc2ccccc2c1,1.595
O=C(O)c1ccc2ccccc2c1,1.5830000000000002
O=C(O)Cc1cccc2ccccc12,2.27
O=C(O)COc1ccc2ccccc2c1,2.528
O=C(O)CSc1cccc2cccc(CCl)c12,2.028
O=S(=O)(O)c1c(O)ccc2ccccc12,1.85
Oc1cccc2ccccc12,1.7790000000000001
Oc1ccc2ccccc2c1,1.867
O=S(=O)(O)c1ccc2ccccc2c1,2.716
S=C=Nc1cccc2ccccc12,2.967
O=Cc1cccc2ccccc12,2.37
CCOP(C)(=S)NOc1cccc2ccccc12,3.051
O=S(=O)(O)c1cccc2c(S(=O)(=O)O)cccc12,0.983
COC(=O)Cc1cccc2ccccc12,2.023
ClCc1cccc2ccccc12,2.298
Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1,1.318
Clc1ccc2ccccc2c1,1.8940000000000001
O=C(O)c1cc2ccccc2cc1O,2.354
COc1ccc(C(=O)CCC(=O)O)c2ccccc12,2.157
Nc1cccc2c(Cl)ccc(Cl)c12,1.784
Nc1ccc2cc(S(=O)(=O)O)ccc2c1CS(=O)(=O)O,1.538
CC(C)Cc1cccc2c(CC(=O)O)cccc12,2.6060000000000003
Nc1ccc(S(=O)(=O)O)c2cccc(S(=O)(=O)O)c12,0.7340000000000001
CNC(=O)Oc1ccc(O)c2ccccc12,2.261
O=C(O)c1ccc(C(=O)O)c2c(C(=O)O)ccc(C(=O)O)c12,1.608
CNC(=O)Oc1cccc2c(O)cccc12,2.864
CN(C(=O)CF)c1cccc2ccccc12,3.511
ClCc1ccc(CCl)c2ccccc12,2.051
COc1ccc2cc(C(C)C(=O)OCC(O)CO)ccc2c1,2.271
COc1ccc2cc(CCC(C)=O)ccc2c1,1.77
CCN(CC)CCC(CC=C(C)C)(C(N)=O)c1cccc2ccccc12,3.696
CC(C)=CCN(CC=C(C)C)CCC(CC=C(C)C)(C(N)=O)c1cccc2ccccc12,3.1839999999999997
O=C(O)c1cccc2c(Cl)ccc(C(=O)O)c12,1.855
CON=C(C)C(=NOC(=O)N(C)SN(C)C(=O)Oc1cccc2ccccc12)C(=O)N(C)C,3.4730000000000003
Oc1ccc2ccccc2c1Cl,1.8880000000000001
CN(CC=CC#CC(C)(C)C)Cc1cccc2ccccc12,1.8619999999999999
CN(CO)C(=O)Oc1cccc2ccccc12,1.635
CCC(CC)(C(=O)O)c1cccc2ccccc12,2.351
O=C(O)c1ccc2cc(O)ccc2c1,1.786
O=C(O)c1c(O)c(O)cc2ccccc12,0.9209999999999999
COc1ccc2cc(C(C)C(=O)OCCO)ccc2c1,2.2030000000000003
COc1ccc2cc(C(C)C(=O)OCCOCCO)ccc2c1,2.698
CC(C)C(CCN(C)C)(C(N)=O)c1cccc2ccccc12,2.4619999999999997
COC(=O)COc1ccc2ccccc2c1,1.8880000000000001
CCOC(=O)Cc1cccc2ccccc12,1.777
CCOc1ccc(C(=O)COC(=O)CCC(=O)O)c2ccccc12,1.975
CC(C)COc1ccc2ccccc2c1,1.5290000000000001
