smiles,ld50_zhu
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,1.777
CCN(CC)c1nc(Cl)nc(N(CC)CC)n1,2.4819999999999998
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,2.156
CCN(CC)c1nc(NC(C)C)nc(OC)n1,2.432
CCNc1nc(Cl)nc(N(CC)CC)n1,2.5869999999999997
CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,3.208
CCNc1nc(Cl)nc(NC(C)(C)C)n1,2.095
CCNc1nc(Cl)nc(NC(C)C)n1,2.506
CCNc1nc(NC(C)CC)nc(OC)n1,2.353
CCNc1nc(Cl)nc(NCC)n1,2.3169999999999997
CCNc1nc(NC(C)(C)C)nc(OC)n1,2.67
CCNc1nc(NC(C)C)nc(OC)n1,2.1590000000000003
CCNc1nc(NCC)nc(OC)n1,2.5669999999999997
CCNc1nc(NC(C)(C)C)nc(SC)n1,2.072
CCNc1nc(NC(C)C(C)C)nc(SC)n1,1.93
CCNc1nc(NC(C)C)nc(SC)n1,2.6510000000000002
CCNc1nc(NCC)nc(SC)n1,2.454
CCSc1nc(NC(C)C)nc(NC(C)C)n1,1.8159999999999998
Clc1nc(Cl)nc(Cl)n1,2.58
CN(C)c1nc(N(C)C)nc(N(C)C)n1,2.779
CNc1nc(Cl)nc(NC(C)C)n1,2.43
CNc1nc(NC(C)C)nc(OC)n1,1.915
CNc1nc(NC(C)C)nc(SC)n1,2.186
COc1nc(NC(C)C)nc(NC(C)C)n1,2.6510000000000002
COCCCNc1nc(NC(C)C)nc(SC)n1,1.735
COCCCNc1nc(NCCCOC)nc(SC)n1,2.333
COP(=S)(OC)SCc1nc(N)nc(N)n1,2.5
CSc1nc(N=[N+]=[N-])nc(NC(C)C)n1,1.796
CSc1nc(NC(C)C)nc(NC(C)C)n1,2.127
Nc1nc(N)nc(N)n1,1.601
ClN(Cl)c1nc(N(Cl)Cl)nc(N(Cl)Cl)n1,1.8230000000000002
CC(C)Nc1nc(NC(C)C)nc(N(C)C#N)n1,2.166
C=CCOc1nc(OCC=C)nc(OCC=C)n1,2.6260000000000003
CNc1nc(C)nc(OC)n1,2.593
CCNc1nc(Cl)nc(NC(C)CC)n1,1.8840000000000001
