MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,0.0,,,,,,,,,,,,,,,,CID662265,CC(C)OCCCn1c(=N)c(C(N)=S)cc2c(=O)n3ccccc3nc21
,,,,,,,,,,0.0,,,,,,,CID2152426,CCOC(=O)c1cc2c(=O)n3ccccc3nc2n(CCCOC)/c1=N/C(=O)C(C)(C)C
,,,,,,,0.0,,,,,,,,,,CID663247,CCCCn1/c(=N/C(C)=O)c(C#N)cc2c(=O)n3cccc(C)c3nc21
,0.0,0.0,0.0,,,,0.0,,0.0,,,0.0,,,,,CID653603,COCCCNC(=O)c1cc2c(=O)n3cccc(C)c3nc2n(C(C)C)c1=N
,,,,,,,,,0.0,,,0.0,,,,,CID2152425,CCOC(=O)c1cc2c(=O)n3ccccc3nc2n(CCCOC)/c1=N\C(C)=O
,,,,,0.0,0.0,,,,,,,0.0,,,0.0,CID652431,C=CCn1c(=N)c(C(=O)NCCCOC)cc2c(=O)n3ccccc3nc21
,,,,,,,0.0,,,,,,,,,,CID2058026,CCCn1/c(=N\C(C)=O)c(C(=O)OCC)cc2c(=O)n3ccccc3nc21
,,,,,0.0,,,,,,,,,,,,CID649167,CCn1c(=N)c(C(=O)OC)cc2c(=O)n3ccccc3nc21
,0.0,,,,0.0,,0.0,,,,,,,,,,CID706390,C=CCn1c(=N)c(C(=O)OCC)cc2c(=O)n3cc(C)ccc3nc21
,,,,,,,,,,,,,0.0,,,,CID660838,CCOC(=O)c1cc2c(=O)n3cccc(C)c3nc2n(C)c1=N
,,,,,,,,,0.0,,,0.0,0.0,,,,CID663750,Cc1ccc2nc3c(cc(C(N)=S)c(=N)n3CCCOC(C)C)c(=O)n2c1
,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,,,CID663752,CCCCCn1/c(=N/C(C)=O)c(C#N)cc2c(=O)n3ccccc3nc21
,0.0,,,,,,0.0,,0.0,0.0,,,,,,,CID664307,CCCCCn1/c(=N/C(C)=O)c(C#N)cc2c(=O)n3cccc(C)c3nc21
,0.0,,,,,,0.0,,,,,,,,,,CID649624,CCn1c(=N)c(C(N)=O)cc2c(=O)n3cccc(C)c3nc21
,,0.0,,,,,,,,,,,,,,,CID2929050,C=CCn1c(=N)c(C(=O)NCCCOC)cc2c(=O)n3cccc(C)c3nc21
,,,0.0,,,0.0,0.0,,0.0,0.0,,,,,,,CID750944,CNC(=O)c1cc2c(=O)n3cccc(C)c3nc2n(C(C)C)c1=N
,0.0,,0.0,,,0.0,,,,,,,,,,,CID660105,CCn1c(=N)c(C(=O)NC)cc2c(=O)n3cccc(C)c3nc21
,,,0.0,,,,0.0,,,,,,,,,,CID664186,CCCn1/c(=N/C(C)=O)c(C#N)cc2c(=O)n3cccc(C)c3nc21
,,0.0,,,,,,,,,,,,,,,CID2937218,COC(=O)c1cc2c(=O)n3ccccc3nc2n(C(C)C)c1=N
,,,,,,,,,0.0,,,0.0,,,,,CID3151326,C=CCn1c(=N)c(C(=O)NCCCOC)cc2c(=O)n3cc(C)ccc3nc21
,,,,,,,,,,,,,,0.0,,,CID3151498,CCC(C)n1c(=N)c(C#N)cc2c(=O)n3cc(C)ccc3nc21
,0.0,,0.0,,,,0.0,0.0,0.0,,,,,,,,CID660081,COC(=O)c1cc2c(=O)n3ccccc3nc2n(C)c1=N
,,,,,,,,,,0.0,,,,,,,CID3242231,COCCCn1c(=N)c(C(N)=S)cc2c(=O)n3cccc(C)c3nc21
,,0.0,,,,,,,,,,,,,,,CID661049,CCn1c(=N)c(C(=O)NCCCOC)cc2c(=O)n3cccc(C)c3nc21
,,,,,,0.0,0.0,,,0.0,,,,,,,CID663425,CCOCCCn1/c(=N\C(C)=O)c(C(=O)OCC)cc2c(=O)n3ccccc3nc21
,,,,,,0.0,,,,,,0.0,,,,,CID644537,CNC(=O)c1cc2c(=O)n3cc(C)ccc3nc2n(C(C)C)c1=N
,,,,,,,,,,,,,0.0,,,,CID752656,CCCn1c(=N)c(C#N)cc2c(=O)n3cccc(C)c3nc21
,,,,,,,,,,,0.0,,,,,,CID706391,C=CCn1c(=N)c(C#N)cc2c(=O)n3ccccc3nc21
,,,,,,,,,,,,,,,0.0,,CID2927547,CCOCCCn1c(=N)c(C(N)=S)cc2c(=O)n3cccc(C)c3nc21
,,,,,0.0,,,,,,0.0,,,,,,CID2152384,CCOC(=O)c1cc2c(=O)n3ccccc3nc2n(CCOC)/c1=N/C(=O)C(C)(C)C
