MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,0.0,,,0.0,0.0,0.0,,0.0,,,,,CID666365,CCOC(=O)c1ccc(NC(=O)CCc2nc(-c3ccccc3)no2)cc1
0.0,,,,0.0,,,,,0.0,,,,,,,0.0,CID666363,COc1ccccc1-c1noc(CCC(=O)Nc2cccc(C(F)(F)F)c2)n1
,,,,,,,,,,,0.0,,0.0,,,,CID3806837,COc1cccc(NC(=O)CCc2nc(-c3ccccc3F)no2)c1
,,,,,,,,,,,,,0.0,,,,CID666112,O=C(CCc1nc(-c2ccccc2)no1)Nc1cc(C(F)(F)F)ccc1Cl
,,,,0.0,,,,0.0,0.0,,0.0,,,,,,CID3239836,CCN(C(=O)CCc1nc(-c2ccc(OC)cc2)no1)c1cc(OC)ccc1OC
,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,CID666398,CCOC(=O)c1ccc(NC(=O)CCc2nc(-c3cccc(C)c3)no2)cc1
0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,CID665846,Cc1ccc(-c2noc(CCC(=O)Nc3ccccc3C)n2)cc1
0.0,,,,,0.0,0.0,,,,,,,,0.0,0.0,0.0,CID3242553,COc1ccc(NC(=O)CCc2nc(-c3ccc(C)cc3)no2)cc1Cl
,,,,,,,0.0,,,,,,,,,,CID3242960,CCOC(=O)c1cccc(NC(=O)CCc2nc(-c3ccccc3F)no2)c1
0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,,,,,,CID1869495,Cc1cccc(-c2noc(CCC(=O)Nc3ccccc3)n2)c1
,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,0.0,CID3239912,CCOC(=O)c1cccc(NC(=O)CCc2nc(-c3ccc(C)cc3)no2)c1
0.0,,,,,,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,CID3237417,CCc1ccccc1NC(=O)CCc1nc(-c2ccc(C)cc2)no1
,,,,,,0.0,,,,,,,,,,,CID667337,COc1ccccc1-c1noc(CCC(=O)Nc2cc(C(F)(F)F)ccc2Cl)n1
0.0,,,,,,0.0,,,,,,0.0,,,0.0,,CID666204,CCOC(=O)c1ccc(NC(=O)CCc2nc(-c3ccccc3Cl)no2)cc1
,,,,,,,0.0,,,,,,0.0,,,,CID3244324,CCN(C(=O)CCc1nc(-c2ccccc2F)no1)c1cc(OC)ccc1OC
,,0.0,,,,,,,,,,0.0,,,0.0,0.0,CID3238605,COc1ccc(-c2noc(CCC(=O)Nc3cc(Cl)c(OC)cc3OC)n2)cc1
0.0,0.0,,0.0,,,,,,,,,,,,0.0,,CID3244778,CCc1ccccc1N(CC)C(=O)CCc1nc(-c2ccc(C)cc2)no1
,,0.0,,,,0.0,,0.0,,,0.0,,,,,,CID3237456,COc1ccc(-c2noc(CCC(=O)Nc3cc(OC)ccc3OC)n2)cc1
0.0,0.0,,,0.0,0.0,,,0.0,,,,,,,,,CID3242106,COc1ccc(NC(=O)CCc2nc(-c3ccc(C)cc3)no2)c(OC)c1
,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,,,,CID666868,CCOC(=O)c1ccc(NC(=O)CCc2nc(-c3ccc(C)cc3)no2)cc1
0.0,0.0,,,,,,,,,,,,,,0.0,,CID3245009,CCc1ccccc1N(C)C(=O)CCc1nc(-c2ccc(C)cc2)no1
0.0,0.0,,,,,,,,0.0,,,0.0,,,0.0,0.0,CID3241202,COc1cc(OC)c(NC(=O)CCc2nc(-c3ccc(C)cc3)no2)cc1Cl
0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,CID665621,COc1ccccc1-c1noc(CCC(=O)Nc2cccc(C)c2)n1
,,,,,,,,,,,0.0,,,,,,CID665625,COc1ccc(NC(=O)CCc2nc(-c3ccccc3F)no2)cc1
,0.0,,,0.0,,,,0.0,,0.0,0.0,,,,,,CID3239198,COc1ccc(-c2noc(CCC(=O)N(C)c3cccc(C)c3)n2)cc1
0.0,,,,,0.0,0.0,,,,,,0.0,,,0.0,,CID666468,CCOC(=O)c1ccc(NC(=O)CCc2nc(-c3ccc(Cl)cc3)no2)cc1
0.0,0.0,,0.0,,0.0,,,,,0.0,0.0,,,,,,CID3236292,Cc1ccc(-c2noc(CCC(=O)N(C)c3ccccc3C)n2)cc1
,0.0,0.0,,0.0,,,,,,0.0,,0.0,,,0.0,0.0,CID3238858,COc1ccc(Cl)cc1N(C)C(=O)CCc1nc(-c2ccc(C)cc2)no1
0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,CID2019737,COc1ccccc1-c1noc(CCC(=O)Nc2ccccc2Cl)n1
0.0,0.0,,,,,0.0,,0.0,0.0,,,,,,,,CID1250111,COc1ccc(-c2noc(CCC(=O)Nc3ccc(C)c(C)c3)n2)cc1
0.0,,0.0,,,,,,,0.0,,0.0,0.0,,,,0.0,CID665665,COc1ccc(-c2noc(CCC(=O)Nc3cccc(C)c3)n2)cc1
