MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,,,,0.0,,,,,0.0,,,CID3242293,COc1ccc(S(=O)(=O)N2CCN(CC(=O)Nc3cccc(F)c3)CC2)cc1
0.0,,,,0.0,,,,,0.0,,,0.0,,,,,CID3235735,COc1ccc(S(=O)(=O)N2CCN(CC(=O)Nc3ccc(F)c(F)c3)CC2)cc1
0.0,,,,0.0,,,,,,,,,,,,0.0,CID3239778,O=C(CN1CCN(S(=O)(=O)c2ccc(F)cc2)CC1)Nc1ccc(Cl)c(C(F)(F)F)c1
0.0,,,,,,,,0.0,,,,,,,,0.0,CID3241108,COc1ccccc1NC(=O)CN1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1
0.0,,,,0.0,,,,,,,,,,,,,CID3245716,O=C(CN1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1)Nc1ccc(F)cc1F
,,,,,,,,,0.0,,,,,,,,CID3237652,COc1ccc(S(=O)(=O)N2CCN(CC(=O)Nc3ccc(C)c(F)c3)CC2)cc1
0.0,,,,,,,,,,,,,,0.0,0.0,,CID3236097,O=C(CN1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1)Nc1ccc(F)cc1F
,,,,,,,,0.0,,0.0,,,,,0.0,0.0,CID3238273,O=C(CN1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1)Nc1ccccc1F
0.0,,,,,,,,,,,,0.0,,,,,CID2264774,COc1ccc(NC(=O)CN2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)cc1Cl
0.0,,,,,,,,,,,,,,,,0.0,CID3244000,COc1ccc(C)cc1NC(=O)CN1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1
,,,0.0,,,,0.0,,0.0,,,0.0,,,,,CID3236971,COc1ccc(C)cc1NC(=O)CN1CCN(S(=O)(=O)c2ccc(F)cc2)CC1
0.0,,,,0.0,,,,,,,,,,,,,CID3244408,O=C(CN1CCN(S(=O)(=O)c2ccc(F)cc2)CC1)Nc1cccc(C(F)(F)F)c1
0.0,,,,0.0,,,,,,,,,,,,0.0,CID3238868,O=C(CN1CCN(S(=O)(=O)c2ccc(F)cc2)CC1)Nc1cc(C(F)(F)F)ccc1Cl
0.0,,,,0.0,,,,,,,,,,,,,CID3242995,COc1ccc(S(=O)(=O)N2CCN(CC(=O)Nc3cc(C(F)(F)F)ccc3Cl)CC2)cc1
0.0,,,,0.0,,,,,,,,0.0,,,,0.0,CID3236568,CN(C)c1ccc(NC(=O)CN2CCN(S(=O)(=O)c3cc(Cl)ccc3Cl)CC2)cc1
,,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,,,,0.0,CID1091486,COc1ccc(NC(=O)CN2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)cc1
,,,,,,,,,,,,,0.0,,,,CID4533256,Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(CC(=O)Nc3ccc([N+](=O)[O-])cc3)CC2)c1C
,,0.0,,0.0,,,0.0,,,,,,,,,,CID3245627,COc1ccc(C)cc1NC(=O)CN1CCN(S(=O)(=O)c2ccc(C(C)C)cc2)CC1
,,,,0.0,,0.0,,,,,,,,,,,CID3243841,COc1ccc(S(=O)(=O)N2CCN(CC(=O)Nc3cc(OC)cc(OC)c3)CC2)cc1
0.0,,0.0,0.0,0.0,,,,,,,,,,,,,CID3241572,COC(=O)c1ccc(NC(=O)CN2CCN(S(=O)(=O)c3cc(Cl)ccc3OC)CC2)cc1
,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,CID3238707,COc1ccc(NC(=O)CN2CCN(S(=O)(=O)c3ccc(C(C)C)cc3)CC2)cc1OC
,,,,0.0,,,,,0.0,,,,,,,0.0,CID3241687,O=C(CN1CCN(S(=O)(=O)c2ccc(F)cc2)CC1)Nc1ccccc1F
0.0,0.0,,,0.0,,,,,0.0,,,,,,,,CID3244044,COc1ccc(NC(=O)CN2CCN(S(=O)(=O)c3ccc(F)cc3)CC2)cc1Cl
,0.0,0.0,,0.0,,,,,,,,,,,,0.0,CID3239410,COc1cccc(NC(=O)CN2CCN(S(=O)(=O)c3ccc(C(C)C)cc3)CC2)c1
,,,,0.0,,,,,0.0,,,,,,,,CID2999449,O=C(CN1CCN(S(=O)(=O)c2ccccc2)CC1)Nc1cccc(C(F)(F)F)c1
0.0,,,,,,,,,,,,,,,0.0,0.0,CID3238030,O=C(CN1CCN(S(=O)(=O)c2ccc(Br)cc2)CC1)Nc1ccc(F)cc1
,,0.0,,0.0,,,,,,,,0.0,,,,,CID3237995,COc1ccc(NC(C)=O)cc1NC(=O)CN1CCN(S(=O)(=O)c2ccc(C(C)C)cc2)CC1
0.0,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,,,,,CID3241767,CCOc1ccc(NC(=O)CN2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)cc1
0.0,0.0,,,0.0,,,,0.0,,,,,,,,0.0,CID3242974,COc1ccc(C)cc1NC(=O)CN1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1
,,,,,,,,,,0.0,,,,,,,CID9550215,CCN(CC)c1ccc(NC(=O)CN2CCN(S(=O)(=O)c3cc(Cl)ccc3OC)CC2)cc1
,,,,0.0,,,,,,,,,,,,,CID3236043,COc1cc(NC(=O)CN2CCN(S(=O)(=O)c3ccc(C(C)C)cc3)CC2)cc(OC)c1
