MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,,,0.0,,,,,,,,,CID1006109,O=C(CNS(=O)(=O)c1ccc(F)cc1)Nc1ccc(C(F)(F)F)cc1
,,,,,,,,,,,,,0.0,,,,CID2219875,COc1ccc([N+](=O)[O-])cc1NC(=O)CN(C)S(=O)(=O)c1ccccc1
,,,0.0,,,0.0,,0.0,0.0,,,,,,,,CID2230199,CCN(CC(=O)Nc1ccccc1C(=O)OC)S(=O)(=O)c1ccccc1
,,,,0.0,,0.0,,,,,,0.0,,,,,CID2238215,CCN(CC(=O)Nc1ccc(S(N)(=O)=O)cc1)S(=O)(=O)c1cc(C)ccc1OC
,,,,,,0.0,,,,,,0.0,0.0,,,,CID1330897,CSc1cccc(NC(=O)CN(C)S(=O)(=O)c2ccc(C)cc2)c1
,,,,,,,,,,,,,,0.0,,,CID1330898,COc1ccc(OC)c(NC(=O)CN(C)S(=O)(=O)c2ccc(Cl)cc2)c1
,,,0.0,,,0.0,,0.0,0.0,,0.0,,,,0.0,,CID1317599,COc1ccc(S(=O)(=O)N(C)CC(=O)Nc2cccc(C(C)=O)c2)cc1
,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,,,,,0.0,CID890584,Cc1ccc(C)c(NC(=O)CN(C)S(=O)(=O)c2ccccc2)c1
,,,,,,,,,,,,,0.0,,,,CID893010,O=C(CNS(=O)(=O)c1ccccc1)Nc1cccc([N+](=O)[O-])c1
,,,,0.0,,0.0,0.0,,,,,,,,,,CID2963966,COc1ccccc1NC(=O)C(C)NS(=O)(=O)c1ccccc1
,,,0.0,,,,0.0,,,,,,,,0.0,,CID2192340,COc1ccc(NC(=O)CN(C)S(=O)(=O)c2ccccc2)cc1OC
,0.0,,,,,,0.0,0.0,,,,,,,0.0,,CID2203495,CC(=O)Nc1ccccc1NC(=O)CN(C)S(=O)(=O)c1ccc(C)cc1
0.0,,,0.0,,,,,,,0.0,,,,,,,CID1266460,COc1ccc(OC)c(S(=O)(=O)N(C)CC(=O)Nc2cc(Cl)ccc2OC)c1
,,,0.0,0.0,,,,0.0,,,,,,,0.0,,CID891785,COc1ccccc1NC(=O)CNS(=O)(=O)c1ccccc1
,,,,,,,0.0,0.0,,,,0.0,,,0.0,0.0,CID2967634,COc1ccc(S(=O)(=O)NC(C)C(=O)Nc2cccc(C(C)=O)c2)cc1
0.0,,,,,,,,,,,,0.0,,,,0.0,CID2997989,COc1ccccc1NC(=O)C(C)NS(=O)(=O)c1ccc(Cl)cc1
,0.0,,,,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,CID1298773,COc1ccccc1NC(=O)CN(C)S(=O)(=O)c1ccc(F)cc1
,0.0,,,,,,,,0.0,,,,,,,,CID2967221,COc1ccccc1NC(=O)C(C)NS(=O)(=O)c1ccc(F)cc1
,,,,,,,,0.0,,0.0,0.0,,,,,,CID2178261,Cc1ccc(S(=O)(=O)N(C)CC(=O)Nc2ccccc2)cc1
,,,,,,,,,0.0,,,,,,,,CID2969957,COc1ccc(S(=O)(=O)NC(C)C(=O)Nc2ccccc2F)cc1
,,,,,,,,,0.0,,,0.0,,,,0.0,CID2963971,COc1ccc(NC(=O)C(C)NS(=O)(=O)c2ccccc2)cc1Cl
,,,,,,,,,0.0,,,,0.0,,,,CID2202516,CSc1ccccc1NC(=O)CN(C)S(=O)(=O)c1ccc(F)cc1
,,,,,,0.0,,,,,,,,,0.0,,CID2955671,CC(NS(=O)(=O)c1ccccc1)C(=O)Nc1ccc(S(N)(=O)=O)cc1
,,,,,,,,0.0,,,,,,,0.0,0.0,CID2945939,CCC(NS(=O)(=O)c1ccc(C)cc1)C(=O)Nc1ccc(NC(C)=O)cc1
,,0.0,0.0,,,0.0,0.0,0.0,,,,,,0.0,,,CID882050,COc1cccc(NC(=O)CN(C)S(=O)(=O)c2ccc(C)cc2)c1
,,,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,CID1258311,CCN(CC(=O)Nc1cccc(C(C)=O)c1)S(=O)(=O)c1ccc(OC)cc1
,,,,,,,,,0.0,,,0.0,,,0.0,,CID2304197,COC(=O)c1ccccc1NC(=O)CN(C)S(=O)(=O)c1cc(C)ccc1OC
,,,,0.0,,0.0,,,,0.0,,,0.0,0.0,,,CID2192766,CSc1cccc(NC(=O)CN(C)S(=O)(=O)c2ccccc2)c1
,0.0,,0.0,,,,0.0,0.0,,0.0,,0.0,,,0.0,,CID1248521,COc1ccc(C)cc1S(=O)(=O)N(C)CC(=O)Nc1ccccc1
,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,,CID2212953,COC(=O)c1ccc(NC(=O)CN(C)S(=O)(=O)c2ccc(OC)c(C)c2)cc1
0.0,0.0,,,,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,CID2214286,COC(=O)c1ccccc1NC(=O)CN(C)S(=O)(=O)c1ccc(OC)c(C)c1
,,,,0.0,0.0,,,0.0,,0.0,,,,,,,CID654592,CCC(C)(C)NC(=O)CN(C(=O)CNS(=O)(=O)c1ccccc1)c1ccccc1
,,,0.0,0.0,,,0.0,0.0,,,,,,,0.0,0.0,CID891601,Cc1ccc(C)c(NC(=O)CNS(=O)(=O)c2ccccc2)c1
,,,,0.0,,,,,,,,,,,,0.0,CID2213782,O=C(CNS(=O)(=O)c1cccc(C(F)(F)F)c1)Nc1ccccc1F
,,0.0,0.0,,,,,0.0,0.0,,,,,,0.0,,CID2980895,CCN(CC(=O)Nc1ccccc1C(=O)OC)S(=O)(=O)c1ccc(OC)cc1
,,,,,,,,0.0,0.0,,,,0.0,,,,CID1006478,COc1ccc(NC(=O)CNS(=O)(=O)c2ccc(Cl)cc2)cc1
,,,,0.0,,,,,0.0,,,,,,,0.0,CID1298869,CSc1cccc(NC(=O)CN(C)S(=O)(=O)c2ccc(F)cc2)c1
,,,,,,,,,0.0,,,,,,,,CID2967386,COc1ccc(S(=O)(=O)NC(C)C(=O)Nc2ccccc2C(F)(F)F)cc1
,,,,,,,0.0,0.0,0.0,,,,,,,0.0,CID1312513,CCOC(=O)c1ccc(NC(=O)CN(C)S(=O)(=O)c2ccc(OC)cc2)cc1
,,,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,CID2219889,CCCC(=O)Nc1ccccc1NC(=O)CN(C)S(=O)(=O)c1ccccc1
,,,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,CID1318310,COC(=O)c1ccccc1NC(=O)CN(C)S(=O)(=O)c1ccc(OC)cc1
,,,,0.0,,0.0,0.0,,,,,,,,,,CID1021370,COc1ccc(S(=O)(=O)N(C)CC(=O)Nc2ccccc2C(F)(F)F)cc1OC
,,0.0,,,,,,,,,,0.0,,,,,CID1264360,COc1ccc(S(=O)(=O)N(C)CC(=O)Nc2ccccc2OC)cc1C
,,,,,,,,,0.0,,0.0,,,,,0.0,CID2695295,Cc1ccc(C)c(NC(=O)CN(C)S(=O)(=O)c2ccc(F)cc2)c1
,,,,,,,,,,,0.0,,,0.0,,,CID1243303,COc1ccc(S(=O)(=O)N(C)CC(=O)Nc2cccc(C(C)=O)c2)cc1Cl
,,,0.0,,,,0.0,,0.0,,0.0,,0.0,,,0.0,CID982320,COc1ccc(S(=O)(=O)N(C)CC(=O)Nc2ccc(F)cc2)cc1
,,,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,CID982324,COc1ccc(S(=O)(=O)N(C)CC(=O)Nc2c(F)cccc2F)cc1
,,,,,,,,,,,,,0.0,,,,CID893116,Cc1ccc(S(=O)(=O)NCC(=O)Nc2cccc([N+](=O)[O-])c2)cc1
,,,,,,,,,,,,,,0.0,,,CID1006519,COc1cccc(NC(=O)CNS(=O)(=O)c2ccc(Cl)cc2)c1
,,,,,,,,0.0,,,,,,,,,CID2214822,COc1ccc(S(=O)(=O)N(C)CC(=O)Nc2cccc(C(C)=O)c2)cc1C
,,,0.0,,,,,,,,,0.0,,0.0,,,CID1253634,CCOc1ccccc1NC(=O)CN(C)S(=O)(=O)c1ccc(OC)c(C)c1
,,,0.0,,,0.0,,,0.0,,,0.0,,,,,CID2238736,CCN(CC(=O)Nc1ccc(OC)c(OC)c1)S(=O)(=O)c1ccc(C)cc1
,,,,,,,,,,,,,0.0,,,,CID1005458,CCOC(=O)c1ccc(NC(=O)CNS(=O)(=O)c2ccccc2)cc1
0.0,,,0.0,,,,,,,,,,,,,0.0,CID2193164,COc1ccc(NC(=O)CNS(=O)(=O)c2ccccc2)cc1Cl
,,,,,,,,0.0,,,,,,,0.0,,CID2969829,CCOC(=O)c1ccc(NC(=O)C(C)NS(=O)(=O)c2ccc(OC)cc2)cc1
,0.0,,,,,,,,,,,,,,,,CID2951118,Cc1ccc(S(=O)(=O)NC(C)C(=O)Nc2ccc(C(N)=O)cc2)cc1
