MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,,,,,,,,0.0,,,,CID839551,COc1cc(NC(=O)CSc2ccccc2)c(C(=O)O)cc1OC
,,,,,,,,0.0,,,,,0.0,0.0,,,CID1318151,CN(c1cccc(NC(=O)CSc2ccc(Cl)cc2)c1)S(C)(=O)=O
,,,,0.0,,0.0,,,,0.0,,,0.0,,,,CID891318,CC(=O)Oc1ccc(NC(=O)CSc2ccccc2)cc1
,,,,,,,,0.0,,,,,,,,,CID2890263,COc1ccc(NC(=O)C(C)Sc2ccccc2)cc1
,,,,,,,,,,,,,0.0,,,,CID1486402,COc1ccc(SCC(=O)Nc2ccccc2Cl)cc1
,,,,,0.0,,,,,,0.0,,,,,,CID977219,CC(C)(C)NC(=O)c1cccc(NC(=O)CSc2ccccc2)c1
,,,,,,,,,,,,,0.0,,,,CID974707,COc1cc(Cl)c(C)cc1NC(=O)CSc1ccc(C)cc1
,,,,,0.0,,,,,,,,,,,,CID2204149,Cc1ccc(SCC(=O)Nc2cccc(C(=O)NC(C)(C)C)c2)cc1
,,,,,0.0,,,,,,,,,,,,CID788756,Cc1ccc(SCC(=O)Nc2ccccc2)cc1
,,,,,,,,,,,,,0.0,,,,CID2573092,NC(=O)c1ccc(SCC(=O)Nc2ccc(F)cc2)c([N+](=O)[O-])c1
,,,,0.0,,,,,0.0,,,,,,,,CID892835,CSc1cccc(NC(=O)CSc2ccccc2)c1
0.0,,,,0.0,,0.0,0.0,,,,,,,,,,CID2272355,COC(=O)c1ccccc1NC(=O)CSc1ccccc1
,,,,,,,,,,,,,,0.0,,,CID2914927,CCN(CC)S(=O)(=O)c1ccc(OC)c(NC(=O)CSc2ccccc2)c1
,,,,,,,,,,,0.0,,,,,,CID2081953,CC(=O)Nc1ccc(SCC(=O)N(CCC#N)c2cc(C)cc(C)c2)cc1
,,,,,,,,,,,,,0.0,,,,CID894454,COc1ccc(C)cc1NC(=O)CSc1ccc(Cl)cc1
,,,,,,,,,0.0,,,,,,,,CID2947386,Cc1ccc(SC(C)C(=O)Nc2cccc(N(C)S(C)(=O)=O)c2)cc1
,,0.0,,0.0,0.0,0.0,,,,,,,,,,,CID879968,CCOc1ccccc1NC(=O)CSc1ccccc1
,,0.0,,0.0,,0.0,,0.0,,,,,0.0,,,,CID532046,COc1ccc(OC)c(NC(=O)CSc2ccccc2)c1
,,0.0,,,,0.0,,,0.0,0.0,,,,,,0.0,CID2942864,CC(Sc1ccccc1)C(=O)Nc1cccc(N(C)S(C)(=O)=O)c1
,,,,,,,,,,,0.0,,,0.0,,,CID2110284,Cc1ccccc1SCC(=O)Nc1cccc(C#N)c1
,,,,,,,,,,,0.0,,,,,,CID846473,CCOC(=O)c1ccccc1NC(=O)CSc1ccccc1
,,0.0,,0.0,0.0,,,0.0,,,,,0.0,,0.0,,CID667048,O=C(CSc1ccccc1C(=O)O)Nc1cccc(C(=O)O)c1
,,,,,,,,,,,,,0.0,,,,CID2533210,Cc1cccc(NC(=O)CSc2ccc(C(N)=O)cc2[N+](=O)[O-])c1C
,,,,,,,,,,,,,,0.0,,,CID2540390,COc1cc(Cl)c(C)cc1NC(=O)CSc1ccc(NC(C)=O)cc1
,,,,,,,,,,,,,0.0,,,,CID1214403,CC(=O)NS(=O)(=O)c1ccc(NC(=O)CSc2ccc(C)cc2)cc1
,,,,,,,,,,,,,0.0,0.0,,,CID895887,CSc1cccc(NC(=O)CSc2ccc(Cl)cc2)c1
,,,,,,,,0.0,,,,,0.0,,,,CID816078,Cc1ccc(SCC(=O)Nc2ccccc2C(=O)O)cc1
,,,,,,,,0.0,,,0.0,,0.0,,,,CID882553,O=C(CSc1ccccc1)Nc1ccccc1C(=O)O
,,,,,,,,,0.0,,,,0.0,,,,CID846468,COc1ccc(NC(=O)CSc2ccccc2)c(OC)c1
,,,,,,,,,0.0,0.0,,,,,,,CID788761,COc1ccc(NC(=O)CSc2ccc(C)cc2)cc1
,,,,0.0,,,0.0,,,,,0.0,,,0.0,0.0,CID894960,N#Cc1cccc(NC(=O)CSc2ccccc2)c1
,,,,,,,,,,,,,0.0,,,,CID2540102,CCOc1ccccc1NC(=O)CSc1ccc([N+](=O)[O-])cc1
,,,,,,,,,,,,,0.0,,,,CID807677,COC(=O)c1ccc(NC(=O)CSc2ccccc2)cc1
,,,,,,,,,,,,,0.0,,,,CID1239988,COC(=O)c1cc(OC)c(OC)cc1NC(=O)CSc1ccc(C)cc1
,,,,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,,CID2086771,CC(=O)Nc1ccc(SCC(=O)N(CCC#N)c2ccc(C)cc2)cc1
