MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,0.0,,,,,,,,,,,,,,,,CID5309590,COc1ccc(-n2c(Cc3cccn3C)nnc2SCC(=O)Nc2cccc(F)c2)cc1
0.0,,,,,,0.0,0.0,,,0.0,,0.0,,,,,CID5309573,COC(=O)c1ccc(NC(=O)CSc2nnc(Cc3cccn3C)n2-c2ccc(F)cc2)cc1
0.0,,,,,,,,,,,,,,,,,CID5309579,Cn1cccc1Cc1nnc(SCC(=O)Nc2ccccc2F)n1-c1ccc(F)cc1
0.0,,,,,,,,,0.0,,,,,,0.0,,CID5307790,CCc1ccc(NC(=O)CSc2nnc(Cc3cccn3C)n2-c2ccc(OC)cc2)cc1
0.0,,,,,0.0,,,,,,,,,,0.0,,CID3236918,COc1ccc(NC(=O)CSc2nnc(Cc3cccn3C)n2-c2ccc(C)cc2)cc1OC
0.0,,,,,,,,,,0.0,,,,,,0.0,CID5308200,Cn1cccc1Cc1nnc(SCC(=O)Nc2ccccc2)n1-c1ccc(F)cc1
0.0,,,,,,,,,,,,,,,0.0,,CID5309165,COc1ccccc1NC(=O)CSc1nnc(Cc2cccn2C)n1-c1ccc(F)cc1
0.0,,,,,,,,,,,,,,0.0,,,CID5308367,Cc1ccc(NC(=O)CSc2nnc(Cc3cccn3C)n2-c2ccc(F)cc2)cc1
0.0,,,,,,0.0,,,,,,,,,,,CID5307603,COc1ccc(NC(=O)CSc2nnc(Cc3cccn3C)n2-c2ccc(F)cc2)cc1OC
0.0,,,,,,,,,,,,0.0,,,,,CID5307604,Cc1ccc(NC(=O)CSc2nnc(Cc3cccn3C)n2-c2ccc(F)cc2)c(C)c1
0.0,,,,,,,,,,,,0.0,,,,,CID5309713,Cn1cccc1Cc1nnc(SCC(=O)Nc2ccc(F)cc2)n1-c1ccc(F)cc1
0.0,,0.0,,,,,,,,,,,,,,0.0,CID5307621,COc1ccc(-n2c(Cc3cccn3C)nnc2SCC(=O)Nc2cc(C)cc(C)c2)cc1
0.0,,,,,,,,,,,,,,0.0,0.0,,CID5309338,CC(=O)c1ccc(NC(=O)CSc2nnc(Cc3cccn3C)n2-c2ccc(F)cc2)cc1
0.0,,,,,,0.0,,,,,,,,,0.0,,CID5309004,COc1ccc(-n2c(Cc3cccn3C)nnc2SCC(=O)Nc2cc(Cl)ccc2OC)cc1
,,,,,,,,,,,,0.0,,,,,CID5307438,COc1ccc(OC)c(NC(=O)CSc2nnc(Cc3cccn3C)n2-c2ccc(F)cc2)c1
,,,,,,,,,,,,0.0,,,,,CID5309900,COc1ccc(-n2c(Cc3cccn3C)nnc2SCC(=O)Nc2cccc(Cl)c2)cc1
0.0,,,,,,,0.0,,0.0,,,0.0,,,0.0,,CID5307866,COc1ccc(-n2c(Cc3cccn3C)nnc2SCC(=O)Nc2cccc(OC)c2)cc1
0.0,,,,,,,,,,,,,,,,,CID5308811,Cn1cccc1Cc1nnc(SCC(=O)Nc2ccc(F)cc2F)n1-c1ccc(F)cc1
0.0,,,,,,,0.0,,,,,,,,0.0,,CID5308039,COc1ccc(NC(=O)CSc2nnc(Cc3cccn3C)n2-c2ccc(OC)cc2)cc1
0.0,0.0,,,,,,,,,,,,,,0.0,,CID5308660,COc1ccc(-n2c(Cc3cccn3C)nnc2SCC(=O)Nc2ccc(Cl)cc2)cc1
0.0,,,0.0,,,,,,,,,0.0,,,,,CID5307104,COc1ccc(-n2c(Cc3cccn3C)nnc2SCC(=O)Nc2cccc(C)c2C)cc1
0.0,,,0.0,,0.0,,,,,,,,,,0.0,,CID3245938,CC(=O)Nc1cccc(NC(=O)CSc2nnc(Cc3cccn3C)n2-c2ccc(C)cc2)c1
0.0,,,,,,0.0,,,,,,,,,,,CID5308374,COc1ccc(-n2c(Cc3cccn3C)nnc2SCC(=O)Nc2ccc(C)cc2)cc1
0.0,,,,,0.0,,,,,,0.0,,,,0.0,,CID5308375,COc1ccc(-n2c(Cc3cccn3C)nnc2SCC(=O)Nc2ccc(C(C)=O)cc2)cc1
0.0,,,,,0.0,,,,,,0.0,,,,,,CID5308227,COc1ccc(-n2c(Cc3cccn3C)nnc2SCC(=O)Nc2ccccc2C)cc1
,,,,,,0.0,,,,,,,,,,,CID5309876,Cn1cccc1Cc1nnc(SCC(=O)Nc2cccc(Cl)c2)n1-c1ccc(F)cc1
0.0,,0.0,,,,,,,,0.0,,,,0.0,,,CID5309421,COc1ccc(-n2c(Cc3cccn3C)nnc2SCC(=O)Nc2ccccc2F)cc1
0.0,,,,,,,0.0,,,,,,,,0.0,,CID5308026,COc1ccc(-n2c(Cc3cccn3C)nnc2SCC(=O)Nc2ccccc2)cc1
0.0,,,,,,,,,,,,,,,,,CID5309740,COc1ccc(-n2c(Cc3cccn3C)nnc2SCC(=O)Nc2ccc(F)cc2)cc1
0.0,,,,,,0.0,,,,,0.0,,,,0.0,,CID3238419,CCOC(=O)c1ccccc1NC(=O)CSc1nnc(Cc2cccn2C)n1-c1ccc(C)cc1
0.0,,,,,,0.0,,,,,,,,,,,CID5309180,COc1ccc(-n2c(Cc3cccn3C)nnc2SCC(=O)Nc2ccccc2OC)cc1
0.0,,,,,,,,,,,,,,,,,CID3239707,Cc1cc(C)c(NC(=O)CSc2nnc(Cc3cccn3C)n2-c2ccc(F)cc2)c(C)c1
0.0,0.0,0.0,0.0,,,,,,,,,,,,,,CID5308829,COc1ccc(-n2c(Cc3cccn3C)nnc2SCC(=O)Nc2ccc(C)c(Cl)c2)cc1
