MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0.0,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,,,,,0.0,CID894251,CN(c1ccc(C(=O)NCc2ccccc2)cc1)S(C)(=O)=O
,,,,,0.0,,,,0.0,,0.0,,,,,,CID1265761,Cc1ccccc1CNC(=O)c1ccccc1N
,,,,,0.0,0.0,,0.0,,,,0.0,,,0.0,0.0,CID743724,COc1cccc(C(=O)NCc2ccccc2OC)c1
,,,,,,,,,,,,,0.0,,,,CID842265,COc1cc(SC)ccc1C(=O)NCc1ccccc1
,,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,CID2832357,COC(=O)C(NC(=O)c1ccccc1)c1ccccc1
,0.0,0.0,,0.0,,,,0.0,,,,,,,0.0,,CID2223353,Cc1ccc(CNC(=O)c2ccccc2NS(C)(=O)=O)cc1
,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,CID2598128,CS(=O)(=O)c1cccc(C(=O)NCc2ccccc2)c1
,,,,,,,,0.0,,,,,,,,,CID958647,COc1ccccc1CNC(=O)c1ccccc1N(C)S(C)(=O)=O
,,,,,,,,,,,,,0.0,,,,CID2097068,CCc1ccc(C(=O)NCc2ccc(Cl)cc2)cc1
,,,,,0.0,,,,,,,,,,,,CID1903249,CCCOc1ccc(C(=O)NCc2ccccc2)cc1
,,,,,0.0,,,,,,,,,,,,CID1225154,C=CCC(CC=C)(NC(=O)c1ccccc1)c1ccccc1
0.0,0.0,0.0,,,,,,,,,,,0.0,,,,CID648865,CN(C)c1ccc(C(CC(=O)O)NC(=O)c2ccc(Cl)cc2)cc1
,,,,,,,,,0.0,0.0,,,,,,,CID2572183,CSc1ccccc1C(=O)NCc1ccc(S(N)(=O)=O)cc1
0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,,,,0.0,0.0,CID1548246,CN(C)S(=O)(=O)c1ccc(C(=O)NCc2ccccc2)cc1
,,,,0.0,,,,,0.0,,,,,,,,CID2211720,CCSc1ccccc1C(=O)NCc1ccc(S(N)(=O)=O)cc1
,,,,,,,,,,,,,,0.0,,,CID2438721,CS(=O)(=O)c1ccc(C(=O)NCc2ccccc2F)cc1
,,,,,,,,,,,,,0.0,,,,CID889596,Cc1cccc(C(=O)NCc2ccc(S(N)(=O)=O)cc2)c1[N+](=O)[O-]
,,,,,,,,,,,,,0.0,,,,CID359327,CN(Cc1ccccc1)C(=O)c1ccccc1C(=O)O
,,,,,,,,,,,,,0.0,,,,CID788813,Cc1cc(C(=O)NCc2ccc(S(N)(=O)=O)cc2)ccc1[N+](=O)[O-]
,,,,,0.0,,,,,0.0,0.0,,0.0,,,,CID2671752,CCN(CC)S(=O)(=O)c1ccc(C(=O)NCc2ccc(C)cc2)cc1
,,,,0.0,,,,,,,0.0,,,,,0.0,CID2534448,CN(Cc1cccc(F)c1)C(=O)c1ccc(S(=O)(=O)C(F)F)cc1
,,,,,,,,,,,,,,0.0,,,CID698465,COc1ccc(CNC(=O)c2ccc(Br)cc2)cc1
,,,,,0.0,,,,,,,,,,,,CID670178,COc1cc(SC)ccc1C(=O)N(C)Cc1ccccc1
,,,,,,,,,,,,,0.0,,,,CID7312564,Nc1ccccc1C(=O)NCc1ccc(Cl)cc1
0.0,,,0.0,,,,,,,,0.0,,,0.0,,,CID1265989,COc1cccc(CNC(=O)c2ccccc2N)c1
,,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,CID796001,COc1ccc(C(=O)NCc2ccccc2OC)cc1
,,,,,,,,,,,,,,0.0,,,CID2542193,CSCc1ccc(C(=O)NCc2ccccc2)cc1
,,,,,,,,,,,,,0.0,,,,CID4965552,CC(=O)Nc1cccc(C(=O)NC(C)c2ccc(S(N)(=O)=O)cc2)c1
,,,,,,,,,,,0.0,,,,,,CID2668518,CS(=O)(=O)c1cccc(C(=O)NCc2ccc(F)cc2)c1
,,,,,,,,,,,,,,0.0,,,CID878032,COc1ccc(C(=O)NCc2ccccc2)cc1Br
,,,,,,,,,,,,,,0.0,,,CID2893878,COc1ccc(C(C)NC(=O)c2ccc([N+](=O)[O-])cc2)cc1OC
,,,,,,,,,,,,,0.0,,,,CID2169717,COc1ccc(C(=O)NCc2ccc(S(N)(=O)=O)cc2)cc1[N+](=O)[O-]
