MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,,,,,,,,0.0,,,,CID649467,CCCOc1ccc(N2CC(C(=O)Nc3ccccc3F)CC2=O)cc1
,,0.0,0.0,,,,0.0,,,,,,0.0,,,,CID2856365,Cc1ccc(N2CC(C(=O)Nc3cccc(F)c3)CC2=O)cc1
,,,,,,0.0,,,0.0,,,0.0,,,,,CID2964454,CCOc1ccccc1N1CC(C(=O)Nc2ccc(C(=O)O)cc2)CC1=O
0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,,,,,CID2964434,CCOc1ccc(NC(=O)C2CC(=O)N(c3cc(C)cc(C)c3)C2)cc1
,,0.0,,,,,,,,,,0.0,0.0,,,0.0,CID2963151,CC(=O)Nc1cccc(NC(=O)C2CC(=O)N(c3ccc(C)cc3)C2)c1
,,,,,,,,0.0,,,0.0,,,,,,CID3116961,O=C(Nc1ccc(Cl)c(Cl)c1)C1CC(=O)N(c2ccc(Br)cc2)C1
,0.0,,0.0,,,,,,,,,,,,,,CID2947129,CC(C)Oc1ccc(N2CC(C(=O)Nc3ccccc3F)CC2=O)cc1
,,,,,,,,,0.0,,,,,,,,CID2890459,COC(=O)c1ccc(NC(=O)C2CC(=O)N(c3ccc(C)cc3)C2)cc1
,,,,,,0.0,,,,,0.0,0.0,,,,0.0,CID2949895,CCOc1ccc(N2CC(C(=O)Nc3cccc(C)c3C)CC2=O)cc1
0.0,,,0.0,,,,0.0,,,,,0.0,,,,,CID2860008,CCc1ccc(N2CC(C(=O)Nc3ccccc3F)CC2=O)cc1
,,,,,,,,0.0,,0.0,,,,,,,CID2883667,COC(=O)c1ccccc1NC(=O)C1CC(=O)N(c2ccc(C)cc2)C1
,,,0.0,,,,0.0,,,,,,,,,,CID2889316,COc1ccccc1NC(=O)C1CC(=O)N(c2ccc(F)cc2)C1
,,,,,0.0,,,,,,,,,,,,CID2883439,O=C(Nc1ccc(Cl)cc1)C1CC(=O)N(c2ccccc2)C1
,0.0,,,,,,,0.0,,,,,0.0,,,,CID2964345,COc1cccc(N2CC(C(=O)Nc3c(C)cccc3C)CC2=O)c1
0.0,,,,,,0.0,,0.0,,0.0,,,,0.0,0.0,,CID647254,O=C(Nc1cccc(F)c1)C1CC(=O)N(c2ccc(Br)cc2)C1
,,0.0,,,,0.0,0.0,,,,,,,0.0,,,CID655075,CCOc1ccc(N2CC(C(=O)Nc3ccccc3F)CC2=O)cc1
,0.0,,,,,,,,0.0,,,0.0,,,0.0,0.0,CID2964401,COc1ccc(Cl)cc1NC(=O)C1CC(=O)N(c2ccc(F)cc2)C1
,,,,,0.0,,,,,,,,,,,,CID2891164,COc1ccc(NC(=O)C2CC(=O)N(c3ccc(F)cc3)C2)c(OC)c1
,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,CID2964392,COc1ccc(NC(=O)C2CC(=O)N(c3cc(C)ccc3C)C2)cc1
,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,,,CID217791,COC(=O)c1ccccc1NC(=O)C1CC(=O)N(c2ccccc2)C1
,,,,,0.0,,,,,,,,,,,,CID2883796,COc1ccc(NC(=O)C2CC(=O)N(c3ccc(C)cc3)C2)cc1
,,,,,,,,0.0,,,0.0,,,,,,CID2947224,COC(=O)c1ccccc1NC(=O)C1CC(=O)N(c2ccc(C)c(C)c2)C1
