MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0.0,,,,,,,,,,,,,,,0.0,0.0,CID2839106,CC1CCCC(C)N1C(=O)Nc1cccc(Cl)c1
0.0,,,,,,,,,,,,,,,,0.0,CID3235800,CC(C)N(C)C1CCN(C(=O)Nc2ccc(Cl)cc2)CC1
,,,,,0.0,,,,,,0.0,,,,,,CID895195,COC(=O)C1CCN(C(=O)Nc2ccc(OC)cc2)CC1
,,,,,,,,,,0.0,,,,,,,CID3222736,CCCCNC(=O)C1CCN(C(=O)Nc2ccc(C)cc2)CC1
,,,,,,,,,,,0.0,,,,0.0,,CID769265,NC(=O)C1CCN(C(=O)Nc2ccccc2)CC1
,,,,,0.0,,,,,,0.0,,,,,,CID3218403,Cc1ccc(NC(=O)N2CCC(NC(=O)C(C)(C)C)CC2)cc1
,,,,,,,0.0,,,,0.0,0.0,,,,,CID5307585,COCCCN(C)C1CCN(C(=O)Nc2ccc(F)cc2)CC1
,,,,,,,,,,,,,0.0,,,,CID6467567,CC1CC(C)CN(C(=O)Nc2ccc(Br)cc2)C1
,,,,,,,,,,,,,,0.0,,,CID694497,O=C(Nc1ccc(Br)cc1)N1CCCCC1
0.0,0.0,,0.0,,,0.0,0.0,,,,,0.0,0.0,,0.0,,CID713037,CCOC(=O)C1CCN(C(=O)Nc2ccccc2Cl)CC1
0.0,,,,,,,,,,,,,,,,,CID4063197,CC(C)CCN(C)C1CCN(C(=O)Nc2c(F)cccc2F)CC1
0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,0.0,0.0,CID2972598,CCOC(=O)C1CCCN(C(=O)Nc2cccc(Cl)c2)C1
,,,,,,,,0.0,,,,,,,,,CID3237769,O=C(Nc1ccccc1C(F)(F)F)N1CCCC(O)C1
0.0,,,,,,0.0,,,,0.0,0.0,,,,0.0,,CID651185,COCC(=O)NC1CCN(C(=O)Nc2ccc(Br)cc2)CC1
0.0,0.0,0.0,,,,,0.0,,,0.0,,,,,,0.0,CID655053,CCOCCCNC(=O)C1CCN(C(=O)Nc2ccc(Cl)cc2)CC1
,,,,,,0.0,,,,,0.0,,,,,,CID3236653,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)N1CCCC(O)C1
,,,,,,,,,,,,0.0,,,,,CID650630,COCCCNC(=O)C1CCCN(C(=O)Nc2ccc(OC)cc2)C1
,0.0,,,,,,,0.0,,,0.0,,,,,0.0,CID651583,CCOCCCNC(=O)C1CCN(C(=O)Nc2ccc(C)cc2)CC1
0.0,,0.0,0.0,,,,,,0.0,,,,0.0,,0.0,,CID645357,CC1CCCCN1C(=O)Nc1cccc(Cl)c1
,,,,,,,,,0.0,,,,,,,,CID2973554,CCOC(=O)C1CCCN(C(=O)Nc2ccccc2)C1
,,0.0,0.0,,,,,,,,,,,,,,CID646179,CCC(C)NC(=O)C1CCCN(C(=O)Nc2ccc(F)cc2)C1
,,,,,,,,,,,,,,,,0.0,CID2957778,CCC1CCCCN1C(=O)Nc1ccc(F)cc1
,,,,,,,,,0.0,,0.0,,,,,,CID735915,CCOC(=O)C1CCN(C(=O)Nc2cccc(Cl)c2)CC1
0.0,,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,CID748331,CCOC(=O)C1CCN(C(=O)Nc2ccc(Cl)cc2)CC1
,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,CID649738,Cc1ccc(NC(=O)N2CCC(C(=O)NCC(C)C)CC2)cc1
0.0,,,,,,0.0,,,,,,,,,,,CID3241350,CC(C)N(C)C1CCN(C(=O)Nc2ccc(Cl)c(Cl)c2)CC1
0.0,,,0.0,,,0.0,0.0,,,,,,,0.0,0.0,,CID652537,COCCCNC(=O)C1CCN(C(=O)Nc2ccc(Cl)cc2)CC1
,,,,,,,,,,,,0.0,,,,,CID895061,CCOC(=O)C1CCN(C(=O)Nc2ccc(Cl)cc2Cl)CC1
,,,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,CID646871,CC(=O)Nc1ccc(NC(=O)N2CCCCC2)cc1
,,,,,,,,0.0,0.0,,,,,,,,CID2980403,CCN(CC)C(=O)C1CCCN(C(=O)Nc2ccccc2)C1
,,,,,,,,,,,,,,0.0,,,CID270383,O=C(Nc1ccc([N+](=O)[O-])cc1)N1CCCCC1
,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,CID200753,COc1ccc(NC(=O)N2CCCCC2)cc1
,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,0.0,,CID1942358,Cc1ccc(NC(=O)N2CCC(C(N)=O)CC2)cc1
,,0.0,,,,,0.0,,,,0.0,,0.0,,0.0,,CID2227058,CCOC(=O)C1CCN(C(=O)Nc2ccc(OC)c(OC)c2)CC1
