MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,,,,0.0,,,,,,,,CID295366,O=C(Nc1ccccc1)Nc1cccc(Cl)c1
,,,,,,,,,,,,,,,,0.0,CID2206977,COc1ccc(NC(=O)Nc2ccc(C)cc2OC(F)F)cc1OC
,,,,,,,,,,,,,,0.0,,,CID2955811,COc1ccc(NC(=O)Nc2ccc(OC)c(OC)c2)c([N+](=O)[O-])c1
,,,,,,,,,,,0.0,,,,,,CID978144,CCN(CC)c1ccc(NC(=O)Nc2ccc(C(C)=O)cc2)cc1
0.0,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,,,CID970456,COc1cc(NC(=O)Nc2cccc(C(C)=O)c2)cc(OC)c1OC
,,,,,,,,,,,,,0.0,0.0,,,CID6464810,CC(=O)N(C)c1ccc(NC(=O)Nc2ccc(C)cc2)cc1
,,0.0,,,,0.0,,,,,0.0,,,,,,CID970640,CCN(CC)c1ccc(NC(=O)Nc2cccc(C(C)=O)c2)cc1
0.0,,,,0.0,0.0,,0.0,,,,0.0,,0.0,,,,CID2121660,COC(=O)c1cc(OC)c(OC)cc1NC(=O)Nc1ccccc1OC
0.0,,,,,,,,,,,,0.0,,,0.0,,CID2194225,C=CCNC(=O)c1ccccc1NC(=O)Nc1ccccc1
,,,0.0,,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,CID970263,CCOC(=O)c1ccc(NC(=O)Nc2ccc(OC)c(OC)c2)cc1
,,,,,,,,,0.0,,,,,,,,CID306328,CCOC(=O)c1ccc(NC(=O)Nc2ccc(F)cc2)cc1
,,,,,,,,,,0.0,,,,,,,CID894269,CC(C)CNC(=O)c1ccccc1NC(=O)Nc1ccccc1
,,,,,,,,,,0.0,,,0.0,,,,CID2208379,COc1ccc(NC(=O)Nc2cc(C)ccc2OC(F)F)c(OC)c1
0.0,,,0.0,,,,,,,0.0,0.0,,,,,0.0,CID969966,CCOc1ccc(NC(=O)Nc2cc(C)ccc2OC)cc1
,,,,,,,,,,,,,,,0.0,0.0,CID744291,N#Cc1ccccc1NC(=O)Nc1cccc(Cl)c1
,,,,,,,,,,,,,,0.0,,,CID972027,CCOc1ccc(NC(=O)Nc2ccccc2SC)cc1
,,,,,0.0,,,,,,,,,,,,CID872829,COc1ccc(NC(=O)Nc2cc(C)ccc2F)cc1
,,,0.0,0.0,,0.0,,0.0,,,,,0.0,,,0.0,CID1295659,CCNS(=O)(=O)c1ccc(NC(=O)Nc2cccc(OC)c2)cc1
