MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,0.0,,,,,0.0,0.0,,,,,,0.0,,CID725661,Cc1cccc(NC(=O)c2cc3ccccc3o2)c1
0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,0.0,CID1245677,CC(=O)Nc1cccc(NC(=O)c2oc3ccccc3c2C)c1
0.0,,0.0,,,0.0,,,,,,,,,,,,CID3245150,CCC(=O)Nc1c(C(=O)Nc2cccc(OC)c2)oc2ccccc12
0.0,,,,,,0.0,,,,,0.0,,,,,0.0,CID1183299,COc1cc(NC(=O)c2cc3ccccc3o2)c(OC)cc1Br
,,0.0,,,,0.0,0.0,,,,0.0,,,,,,CID3236813,CCOCC(=O)Nc1c(C(=O)Nc2ccccc2OC)oc2ccccc12
,,,,,,,,,,,,,,,0.0,,CID797590,COc1ccc(NC(=O)c2oc3ccccc3c2C)c(OC)c1
,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,0.0,CID2671017,CC(=O)Nc1cccc(NC(=O)c2cc3ccccc3o2)c1
,,,,,,,0.0,,,,,,,,,0.0,CID3245921,CCOCC(=O)Nc1c(C(=O)Nc2ccc(OC)cc2OC)oc2ccccc12
,,,,,,,,0.0,0.0,,,,,,,,CID725692,O=C(Nc1ccccc1)c1cc2ccccc2o1
0.0,,,0.0,,,,,0.0,,,0.0,0.0,,,0.0,0.0,CID3237524,COc1cccc(NC(=O)c2oc3ccccc3c2NC(C)=O)c1
,,,0.0,,,,0.0,,,0.0,,,,,,,CID731639,COc1ccc(C)cc1NC(=O)c1cc2ccccc2o1
,,0.0,,,,0.0,,,0.0,,,0.0,,0.0,0.0,,CID675181,COc1ccc(OC)c(NC(=O)c2cc3ccccc3o2)c1
,,,,,,,0.0,,,,,,,,0.0,,CID1247297,COC(=O)c1cc(OC)c(OC)cc1NC(=O)c1oc2ccccc2c1C
,,,,,,,,,,,0.0,,,,,,CID3239671,COCC(=O)Nc1c(C(=O)Nc2ccccc2OC)oc2ccccc12
,,,,,0.0,,,,,,,,,,,,CID729101,Cc1cccc(C(C)C)c1NC(=O)c1cc2ccccc2o1
,,,,,,,,,,,,,0.0,,,,CID986582,CCc1ccc2oc(C(=O)Nc3ccc(S(N)(=O)=O)cc3)c(C)c2c1
,,,,,0.0,,,,,,,,,,,,CID875776,CCN(CC)c1ccc(NC(=O)c2cc3ccccc3o2)cc1
,,0.0,,,,,,,,,,,,0.0,0.0,,CID975766,COc1ccc(NC(=O)c2oc3cc(C)c(C)cc3c2C)c(OC)c1
,,,,,,,,0.0,,,,,,,,,CID675183,COc1ccccc1NC(=O)c1cc2ccccc2o1
,,,,,,,,,,,,,0.0,,,,CID1154354,CCC(=O)NC(=S)Nc1ccc(NC(=O)c2cc3ccccc3o2)c(OC)c1
,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,CID3237678,CCN(CC)S(=O)(=O)c1ccc2oc(C(=O)Nc3ccc(OC)cc3OC)c(C)c2c1
0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,,0.0,CID744688,CCC(=O)Nc1cccc(NC(=O)c2cc3ccccc3o2)c1
0.0,,,,,,,,,,,,0.0,,,,0.0,CID3241060,COc1ccc(NC(=O)c2oc3ccccc3c2NC(=O)C(C)(C)C)cc1
0.0,0.0,,,,,,,,,0.0,,,,,0.0,0.0,CID1083209,Nc1c(C(=O)Nc2ccc(Cl)cc2)oc2ccccc12
0.0,,,0.0,,,,,,,,,,,,,0.0,CID725646,COc1cc(NC(=O)c2cc3ccccc3o2)c(OC)cc1Cl
