MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,0.0,,,0.0,,,,,,,,,,CID3240217,Nc1ccccc1C(=O)Nc1cccc(C(=O)O)c1
,,,,,0.0,,,,,,,,,,,,CID5346527,CCC(=O)Nc1ccc(NC(=O)c2ccc(OCC(C)C)cc2)cc1
,,,,0.0,,,0.0,,,,,,,,,,CID970485,CCSc1ccccc1C(=O)Nc1cccc(OC)c1
,,,,,,0.0,,,,0.0,,,0.0,,0.0,0.0,CID743729,COC(=O)c1ccc(NC(=O)c2cccc(OC)c2)cc1
0.0,,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,CID670182,COc1cc(SC)ccc1C(=O)Nc1ccccc1C#N
,,,,,,,,,,,,,0.0,,,,CID912377,COc1cc(Cl)c(C)cc1NC(=O)c1cccc(OC)c1OC
,,,,,,,,,,,,,0.0,,,,CID2558823,CSCc1ccc(C(=O)Nc2ccc(C(N)=O)cc2)cc1
,,,,,,,,,0.0,,,,,,0.0,,CID1272637,COc1cc(NC(=O)c2ccc(S(=O)(=O)N(C)C)cc2)cc(OC)c1OC
,,,,,,0.0,,,,,,0.0,,,0.0,,CID871808,CCOc1ccccc1C(=O)Nc1cc(OC)ccc1OC
,,,,,,,,,,,,,0.0,,,,CID2229916,COCCNC(=O)c1ccccc1NC(=O)c1ccccc1SC
,,,,,,,,,,,,,0.0,,,,CID2242312,CSc1ccccc1C(=O)Nc1cccc([N+](=O)[O-])c1C
,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,0.0,,CID966833,COC(=O)c1ccc(NC(=O)c2ccccc2NS(C)(=O)=O)cc1
0.0,0.0,,,,,0.0,,,,0.0,,,,,,,CID790566,CCOc1ccc(NC(=O)c2ccc(N)cc2)cc1
,,,,,,,,,,,0.0,,,,,,CID1048267,CCCC(=O)Nc1cccc(NC(=O)c2ccccc2Br)c1
0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,CID669598,CCOc1cc(C(=O)N(C)c2ccccc2)cc(OCC)c1OCC
,,,0.0,,,,,,,0.0,,,,,,,CID690531,CN(C)c1cccc(C(=O)Nc2cccc(F)c2)c1
,,,,,,,,,,,,,,0.0,,,CID1471767,CSc1ccc(C#N)cc1NC(=O)c1ccccc1
,,,,,,,0.0,,,,,,,,,,CID869542,COc1ccc(C(N)=O)cc1NC(=O)c1cccc(F)c1
,,0.0,,,,,,,,,,,,,0.0,,CID1343254,COc1cc(C(=O)Nc2ccc(OCC(=O)O)cc2)cc(OC)c1OC
,,,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,CID827641,COc1cccc(C(=O)Nc2ccc(C)cc2)c1
,,0.0,,,,,0.0,,,,,0.0,,,,,CID658847,COc1ccccc1NC(=O)c1cc(C(=O)O)ccc1C(=O)O
,0.0,0.0,,0.0,,,,0.0,,,,,,,,,CID307235,COc1ccccc1C(=O)Nc1ccccc1SC
,,,,,0.0,,,,,,,,,,,,CID870348,NC(=O)c1ccc(NC(=O)c2ccccc2[N+](=O)[O-])cc1
,,,,,,,,,,,,,0.0,0.0,,,CID886305,Cc1cc(Br)cc(C)c1NC(=O)c1ccc(C#N)cc1F
,,,,,,,,,,,,,,0.0,,,CID1008070,CCOc1cc(C(=O)Nc2ccccc2F)cc(Br)c1OCC
,,,,,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,CID973303,CCOC(=O)Nc1cccc(NC(=O)c2cc(OC)cc(OC)c2)c1
,,,,,,,,,,,,,,0.0,,,CID1576340,CCCCOC(=O)c1ccc(NC(=O)c2c(OC)cccc2OC)cc1
,,,,,0.0,,,,,,,,,,,,CID4021575,COc1cc(OC)cc(C(=O)Nc2c(C)cccc2C)c1
,,,0.0,,,,,,,,,0.0,,,,,CID869785,Cc1cccc(C(=O)O)c1NC(=O)c1ccc(F)cc1
,,,0.0,,,0.0,0.0,0.0,,,,,,,0.0,,CID1319487,COC(=O)c1ccc(NC(=O)c2ccc(N(C)S(C)(=O)=O)cc2)cc1
,,,,,,,,0.0,0.0,0.0,,,,0.0,,,CID835330,COc1cccc(C(=O)Nc2ccccc2)c1
,,,,,,,,,,,,,,0.0,,,CID1095375,CCOc1ccc(C(=O)Nc2cccc([N+](=O)[O-])c2)cc1Br
,,,,,,,,,,,,,,0.0,,,CID1307626,CC(C)C(=O)Nc1cccc(NC(=O)c2ccc([N+](=O)[O-])cc2Cl)c1
,,,,,,,,,,,,,0.0,,,,CID1791737,CC(C)CC(=O)NC(=S)Nc1ccccc1C(=O)Nc1ccccc1
,,,,,,,,,0.0,,0.0,,,,,,CID804634,COc1cc(C(=O)Nc2ccc(O)cc2)ccc1OC(C)=O
,,,,,,,,,,,,,0.0,,,,CID733362,CCOC(=O)COc1ccc(C(=O)Nc2cccc(Cl)c2C)cc1
,0.0,0.0,,,,,,0.0,,,0.0,,,,,0.0,CID2322493,CCNc1ccc(C(=O)OCC)cc1NC(=O)c1cccc(N(C)C)c1
0.0,,,0.0,,,,,,0.0,,,0.0,,,,0.0,CID1262342,CN(C)S(=O)(=O)c1cccc(C(=O)Nc2cc(Cl)ccc2O)c1
,,0.0,,0.0,,,,,0.0,0.0,,,,,0.0,,CID1320984,COc1cc(NS(C)(=O)=O)c(OC)cc1NC(=O)c1ccccc1
,,,,,,,,,,,0.0,,,,,,CID772854,O=C(Nc1ccccc1)c1ccccc1NC(=O)C(F)(F)F
,,,,,0.0,,,,,,,,,,,,CID873854,COc1ccc(C(=O)Nc2c(C)cc(C)cc2C)cc1[N+](=O)[O-]
,,,,0.0,,,,,,,,0.0,,,,0.0,CID959455,CCN(CC)c1ccc(NC(=O)c2cccc(C)c2OC)c(C)c1
0.0,,,0.0,,,0.0,,,0.0,,,,,,0.0,,CID3239831,O=C(Nc1ccccc1O)c1ccc(Cl)cc1
,,,,,,0.0,,0.0,0.0,,,,,,0.0,0.0,CID757144,COc1ccc(NC(=O)c2ccccc2C)c(OC)c1
,,,,,,,,,,,,,,0.0,,,CID2062236,COc1ccc(NC(=O)c2ccccc2[N+](=O)[O-])cc1OC
,,,0.0,,,0.0,,0.0,,,,,,,,,CID967186,COc1ccccc1C(=O)Nc1cccc(N(C)S(C)(=O)=O)c1
,0.0,,0.0,,,,,0.0,,,,,0.0,,0.0,,CID1266830,CCOC(=O)c1ccccc1NC(=O)c1ccccc1NS(C)(=O)=O
,,,,,,,,,0.0,,0.0,,,,,,CID721123,Cc1ccccc1C(=O)Nc1cccc(N)c1
,,,,,,,,0.0,,,,,,,,0.0,CID2169661,O=C(Nc1cccc(F)c1)c1c(F)c(F)c(F)c(F)c1F
,,,,,0.0,,,,,,,,,,,,CID1630864,COCCOC(=O)c1ccc(NC(=O)c2ccc(Cl)cc2)cc1
,,,,,,,,0.0,,,0.0,,,,,,CID1122218,CCC(=O)Nc1ccc(C(=O)Nc2cccc(OC)c2)cc1
,,,,,,,,,,,,,0.0,,,,CID839470,CCOc1ccc(C(=O)Nc2cccc(C(=O)O)c2C)cc1Cl
,,,,,0.0,,,,0.0,0.0,0.0,,0.0,,,,CID789345,CCN(CC)S(=O)(=O)c1cccc(C(=O)Nc2cccc(C)c2)c1
,0.0,,,,,,,,,,,0.0,,,,0.0,CID673506,CC(=O)NS(=O)(=O)c1ccc(NC(=O)c2ccccc2F)cc1
,,,,,0.0,,,,,,,,,,,,CID779261,COC(=O)c1ccccc1NC(=O)c1ccc(Cl)c([N+](=O)[O-])c1
,,0.0,,,,,,,0.0,,,,,,0.0,0.0,CID973502,Cc1cccc(C(=O)Nc2ccc(CC(=O)O)cc2)c1
,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,CID838665,CCOc1ccccc1NC(=O)c1ccccc1NS(C)(=O)=O
,,,,,,,,,,,,,0.0,,,,CID1048125,CC(C)CC(=O)NC(=S)Nc1cccc(NC(=O)c2ccccc2)c1
,,,,,,0.0,0.0,,0.0,,,,,,0.0,,CID768318,Cc1ccccc1NC(=O)c1ccccc1O
,,,,,0.0,,,,,,,,,,,,CID595981,CCCOc1ccc(C(=O)Nc2ccccc2C(=O)O)cc1
,,,,,,,,,,,,,0.0,0.0,,,CID3800322,COC(=O)c1ccc(NC(=O)c2ccccc2CC[N+](=O)[O-])cc1
,,,,,0.0,,,,,,,,,,,,CID2223570,O=C(Nc1ccccc1F)c1ccccc1[N+](=O)[O-]
,,,,,,,,,,0.0,,,,,,,CID242888,O=C(Nc1cccc(F)c1)c1ccccc1
,,,,,0.0,,,,,,,,,,,,CID1369781,CC(=O)Oc1ccc(C(=O)Nc2ccccc2C(=O)NCC(C)C)cc1
,,,,,,,,,,,0.0,,,,,,CID958649,Cc1cc(C)c(NC(=O)c2ccccc2N(C)S(C)(=O)=O)c(C)c1
,,,0.0,,,,,,,0.0,,,,,0.0,,CID1312523,COc1ccc(NC(=O)c2ccc(N(C)S(C)(=O)=O)cc2)cc1OC
,,,,,,,,,,,,,,0.0,,,CID1228428,COCC(=O)Nc1ccc(C(=O)Nc2ccccc2Cl)cc1
,,,,,,,,0.0,,0.0,,,,,,,CID687087,COc1ccc(C(=O)Nc2cccc(OC)c2)cc1
,,,,,0.0,,,,,,,,,,,,CID15631,O=C(Nc1ccccc1F)c1ccccc1
,,,,,,,,0.0,,0.0,,,,,,,CID12914,CCOC(=O)c1ccc(NC(=O)c2ccccc2)cc1
,,,,,,,,,,,,,,0.0,,,CID1306926,COc1ccc(C(=O)Nc2ccc(S(=O)(=O)NC(C)(C)C)cc2)cc1[N+](=O)[O-]
,,,,,,,,,,,0.0,,,,,0.0,CID43380,COc1cc(C(=O)Nc2ccc(N(C)C)cc2)cc(OC)c1OC
,,,,,0.0,,,,,,,,,,,,CID1357098,CCOc1ccc(C(=O)Nc2ccc(N(CC)CC)cc2)cc1[N+](=O)[O-]
0.0,,,,,,,,,,,,,,,,0.0,CID80727,COc1cc(N)c(Cl)cc1NC(=O)c1ccccc1
,,,,,,,,,,0.0,,,,,,,CID717537,COC(=O)c1cc(OC)c(OC)cc1NC(=O)c1ccc(C)cc1
,,,,,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,CID532276,COc1ccc(C(=O)Nc2cc(OC)ccc2OC)cc1
,,,,,,,,0.0,,0.0,0.0,,,,,,CID934593,COc1ccc(C(=O)Nc2ccc(S(=O)(=O)NC(C)C)cc2)cc1
,,,,,0.0,,,,,,,,,,,,CID827628,COc1cc(OC)cc(C(=O)Nc2ccc(C)c(C)c2)c1
,,,,,,,,0.0,,0.0,,,,,,,CID846054,CC(C)CC(=O)Nc1cccc(C(=O)Nc2ccccc2C(=O)O)c1
,,,,,0.0,,,0.0,,,,,0.0,,,,CID846055,CC(C)C(=O)Nc1cccc(C(=O)Nc2ccccc2C(=O)O)c1
,,,,,0.0,,,,,,,,,,,,CID2261640,CCOc1cc(OCC)cc(C(=O)Nc2ccc(C)cc2)c1
,,,,,,,,,,,,,0.0,,,,CID709320,CC(C)c1cccc(C(C)C)c1NC(=O)c1ccccc1
,,,,,,,,,,,,,,0.0,,,CID798993,COC(=O)c1cc(NC(=O)c2ccc(F)cc2)cc(C(=O)OC)c1
,,,,,0.0,,,,,,,,,,,,CID306656,COc1ccc(Cl)cc1NC(=O)c1ccc([N+](=O)[O-])cc1
,,,,,0.0,,,,,,,,,,,,CID870176,Cc1cc(C)c(NC(=O)c2ccccc2[N+](=O)[O-])c(C)c1
0.0,,,0.0,,,,0.0,,,,,,,,,,CID762972,CC(=O)Nc1ccc(NC(=O)c2ccccc2F)cc1
,,,,,0.0,,,,,,,,0.0,,,,CID1792447,CC(C)C(=O)NC(=S)Nc1ccccc1C(=O)Nc1ccccc1
,,,,,0.0,,,,,,,,,,,,CID3193322,CCOc1cc(NC(=O)c2ccccc2[N+](=O)[O-])c(OCC)cc1NC(=O)CC(C)C
,,,,,,,,,,,,,,0.0,,,CID532855,COc1cccc(C(=O)Nc2ccccc2F)c1
,,,,,0.0,,,,0.0,0.0,,,,,,,CID875498,CCN(CC)c1ccc(NC(=O)c2cc(Cl)ccc2OC)cc1
,,,,,,,,,,0.0,0.0,,0.0,,0.0,0.0,CID1122342,Cc1cccc(NC(=O)c2ccccc2O)c1C
,0.0,,,0.0,,0.0,,0.0,,,,,,,,0.0,CID967760,COc1cccc(NC(=O)c2ccccc2NS(C)(=O)=O)c1
,,,,,0.0,,,,,,,,0.0,,,,CID2841060,COC(=O)C(C)N(C(=O)c1cccc(Cl)c1)c1c(C)cccc1C
,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,CID836483,COc1cccc(C(=O)Nc2cccc(SC)c2)c1
0.0,,,,0.0,0.0,,,,,,,,,,,,CID842981,CCOc1cccc(C(=O)Nc2ccc(N(CC)CC)cc2)c1
,,,,,0.0,,,,,,,,,,,,CID711484,CCOC(=O)c1ccccc1NC(=O)c1cccc([N+](=O)[O-])c1
,,,,,0.0,,,,,,,,,,,,CID878093,CC(C)COc1ccc(C(=O)Nc2ccccc2)cc1
,,,,,,,,,0.0,,,,0.0,,,,CID2841274,COC(=O)C(C)N(C(=O)c1ccc(Cl)cc1)c1c(C)cccc1C
,,,,,,,,,,,,,,0.0,,,CID2939992,COc1ccc(NC(=O)c2cccc(NC(=O)C(C)C)c2)c([N+](=O)[O-])c1
,,,,,,,,,,,,,,0.0,,,CID2162944,COCCCNC(=O)c1cccc(NC(=O)c2ccccc2)c1
,,,,,0.0,,,,,,,,,,,,CID877430,O=C(Nc1ccccc1CO)c1cccc(F)c1
,,,0.0,,,,0.0,,,,0.0,,,,,,CID2997985,Cc1ccc(C(=O)Nc2ccccc2C(=O)NC(CC(=O)O)C(=O)O)cc1
,,,,,,,,0.0,,,,,,,0.0,,CID2198546,CCCNC(=O)Nc1ccccc1C(=O)Nc1ccc(OC)cc1
,,,,,,,0.0,,,,,,0.0,,,,CID644763,COc1cc(NS(C)(=O)=O)c(OC)cc1NC(=O)c1cccc(F)c1
,,,,,,,,,,,,,0.0,,,,CID1732130,CCOCC(=O)Nc1ccc(C(=O)Nc2ccccc2Cl)cc1
,,,,,,,,,0.0,,,,0.0,,,,CID669468,CC(=O)Nc1ccc(C(=O)N(C)c2ccccc2)cc1
,,,,,0.0,,,,,,,,,,,,CID1369255,Cc1cc(C(=O)Nc2ccccc2C(=O)O)ccc1NC(=O)C(C)(C)C
0.0,0.0,,0.0,,,0.0,,,,0.0,,,,,,,CID3241048,CCN(CC)S(=O)(=O)c1cccc(C(=O)Nc2ccc(C#N)cc2)c1
,,,,,,,,,,,,,0.0,,,,CID2218442,COCCSc1ccccc1C(=O)Nc1ccc(Br)cc1
,,,,,0.0,,,,,,,,,0.0,,,CID779847,CCOc1ccccc1NC(=O)c1ccc([N+](=O)[O-])cc1
,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,,0.0,CID877160,CN(C)S(=O)(=O)c1ccc(C(=O)Nc2ccc(F)cc2F)cc1
,,,0.0,,,,,,,0.0,,,,,0.0,0.0,CID700573,CCOc1ccc(NC(=O)c2ccccc2OC)cc1
,,,,,,,,,,,,,,0.0,,,CID893374,COc1ccc(Br)cc1C(=O)Nc1ccc(C(=O)O)cc1
,,,,,,,,,,,,,,0.0,,,CID888906,Cc1cccc(C(=O)Nc2cccc(Br)c2)c1[N+](=O)[O-]
