MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,CID689600,Cc1ccc(NC(=O)c2ccco2)cc1C
,,,0.0,,,,,0.0,,,,,0.0,,,,CID306227,O=C(Nc1cccc(C(F)(F)F)c1)c1ccco1
,,,,,,,,0.0,,0.0,,,,,,,CID2214919,CN(C)S(=O)(=O)c1ccc(NC(=O)c2ccc(Br)o2)cc1
,,,,0.0,,0.0,,,,,,0.0,,,0.0,,CID874386,CCC(=O)Nc1ccc(NC(=O)c2ccco2)c(OC)c1
,,,,,0.0,,,0.0,,,,,,,0.0,,CID778071,Cc1cc(C(C)(C)C)oc1C(=O)Nc1ccc(CC(=O)O)cc1
,,,,,,,,,,,,,,0.0,,,CID4377126,O=C(Nc1cc(SCCO)cc([N+](=O)[O-])c1)c1ccc(Br)o1
,,,0.0,,,0.0,,,,,,,,,0.0,,CID654049,CC(C)(C)C(=O)COC(=O)c1cccc(NC(=O)c2ccco2)c1
,,,,,,,,,0.0,,,,,,,,CID744534,O=C(O)COc1ccc(NC(=O)c2ccco2)cc1
0.0,0.0,,0.0,,,,,,,,,,,,0.0,,CID836314,COc1cc(OC)c(NC(=O)c2ccco2)cc1Cl
,,,,,,,,,,,,,,,,0.0,CID657798,CCOC(=O)C(O)(c1ccc(NC(=O)c2ccco2)c(OC)c1)C(F)(F)F
,,0.0,,,,0.0,,,,0.0,0.0,,,,,,CID711856,CCOc1cc(C#N)c(NC(=O)c2ccco2)cc1OCC
0.0,,,,,,0.0,,,,,,,,0.0,0.0,0.0,CID2211639,CCN(CC)c1ccc(NC(=O)c2ccc(Br)o2)c(C)c1
,,,,,,,0.0,0.0,,,,0.0,,,,,CID315777,CC(=O)c1cccc(NC(=O)c2ccco2)c1
,,,,,,,,,,,0.0,,,,,,CID1081843,CNC(=O)c1ccccc1NC(=O)c1ccco1
,,,,,0.0,0.0,,0.0,,,,,,,,,CID647850,CCOc1cc(NS(=O)(=O)CC)c(OCC)cc1NC(=O)c1ccco1
,,,,,,,,,,,,,0.0,,,,CID1718171,CCCCC(=O)NC(=S)Nc1cccc(NC(=O)c2ccco2)c1
,0.0,,,0.0,,,,,,,0.0,,,,,,CID650495,O=C(O)CNC(=O)c1ccccc1NC(=O)c1ccco1
,0.0,,,,,,,,0.0,,,0.0,,,0.0,0.0,CID2193377,CCCC(=O)Nc1ccc(Cl)c(NC(=O)c2ccco2)c1
,,0.0,0.0,,,,0.0,0.0,,,,,,,,,CID3237308,CC(C)C(NC(=O)c1ccccc1NC(=O)c1ccco1)C(=O)O
,,0.0,,,,,,,0.0,,0.0,,,,0.0,,CID670719,CC(=O)N(C)c1ccc(NC(=O)c2ccco2)cc1
0.0,,,,,,0.0,,0.0,,0.0,,,,,,0.0,CID2233483,COC(=O)Cc1ccc(NC(=O)c2ccc(Br)o2)cc1
,,,,,,,,,,,,,0.0,,,,CID1250934,CCC(=O)Oc1ccc(NC(=O)c2ccco2)cc1
,,,,,,,,0.0,,,0.0,,,,,,CID973206,Cc1c(NC(=O)c2ccc(Br)o2)cccc1C(=O)O
,,,,,,,,0.0,0.0,,0.0,,,0.0,,,CID934914,COc1cc(NC(=O)c2ccco2)ccc1NC(=O)C(C)C
,,,,,,,,0.0,,0.0,,,,,,,CID725423,CC(C)OC(=O)c1ccc(NC(=O)c2ccco2)cc1
,,,,,,,,0.0,,,,,,0.0,,,CID778068,CC(C)(C)c1ccc(C(=O)Nc2ccc(CC(=O)O)cc2)o1
,,,,0.0,,,,,0.0,,,,0.0,,,,CID788751,Cc1ccc(C(=O)Nc2ccc(O)c(C(=O)O)c2)o1
,,,,,,,,0.0,0.0,,0.0,,,,,,CID3132050,CC(C)(C)NC(=O)c1cccc(NC(=O)c2ccco2)c1
,,,,,,,,,,,,,,,,0.0,CID755472,O=C(Nc1ccc(F)cc1F)c1ccco1
,,,,,,,,,,,,,0.0,,,,CID884505,CCC(=O)NC(=S)Nc1cccc(NC(=O)c2ccco2)c1
,,,,,,,,,,,,,0.0,,,,CID895428,COc1ccc([N+](=O)[O-])cc1NC(=O)c1cc(C)c(C)o1
,,,,,,,,,,,,,,,,0.0,CID1288970,COc1cc(NC(=O)c2ccc(Br)o2)c(C(=O)O)cc1OC
,,,,,0.0,,,,,,,,,,,,CID1553911,CCOCCOC(=O)c1ccc(NC(=O)c2ccco2)cc1
,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,,,0.0,,CID2998424,CC(C)(C)c1ccccc1NC(=O)c1ccco1
0.0,,,,,,,,,,,,,,0.0,0.0,0.0,CID1286189,CCCC(=O)Nc1ccc(Cl)c(NC(=O)c2ccc(Br)o2)c1
0.0,,,,,,,,0.0,,0.0,,,0.0,,,0.0,CID2189197,CCCCC(=O)Nc1cccc(NC(=O)c2ccc(Br)o2)c1
0.0,,,,,,0.0,,0.0,,,,,,,,,CID1348179,O=C(Nc1cccc(OC(F)(F)F)c1)c1ccc(Br)o1
,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,CID675057,CCN(CC)c1ccc(NC(=O)c2ccco2)cc1
0.0,,,,,,,,,,,,,,,,0.0,CID738691,Cc1cc(O)c(NC(=O)c2ccc(Br)o2)cc1C
