MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,0.0,,,,0.0,0.0,0.0,,,,0.0,,0.0,,,CID2260458,CCCOc1cccc(NC(=O)c2c(-c3ccccc3)noc2C)c1
0.0,,,0.0,,,0.0,,,,,,,,,0.0,0.0,CID1118260,CC(=O)Nc1cccc(NC(=O)c2c(-c3ccccc3Cl)noc2C)c1
,,,,,,,,,,,,,,,0.0,0.0,CID2230378,Cc1onc(-c2ccccc2Cl)c1C(=O)Nc1ccccc1C(=O)NC(C)C
0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,CID741138,Cc1cccc(C)c1NC(=O)c1c(-c2ccccc2)noc1C
,,,0.0,,0.0,,,,,0.0,,,,,,0.0,CID2947022,CCC(C)NS(=O)(=O)c1ccc(NC(=O)c2c(-c3ccccc3)noc2C)cc1
,,,,,,,,0.0,0.0,,0.0,0.0,,,,,CID808077,COc1ccc(NC(=O)c2c(-c3ccccc3)noc2C)c(OC)c1
,,,,,,,,,,,,,,0.0,,,CID1077862,Cc1onc(-c2ccccc2)c1C(=O)Nc1ccc(S(=O)(=O)NC(C)(C)C)cc1
,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,,,CID649749,CC(=O)Nc1cccc(NC(=O)c2c(-c3ccccc3)noc2C)c1
0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,CID2198505,CCCOc1ccc(NC(=O)c2c(-c3ccccc3)noc2C)cc1
,,,,,0.0,,,,,,,,,,,,CID1150840,Cc1onc(-c2ccccc2Cl)c1C(=O)Nc1ccc(O)c(C(=O)O)c1
,0.0,0.0,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,CID741168,COc1ccc(Cl)cc1NC(=O)c1c(-c2ccccc2)noc1C
,0.0,,,,,,,,,,,,,,0.0,,CID1044810,COC(=O)c1cc(OC)c(OC)cc1NC(=O)c1c(-c2ccccc2Cl)noc1C
0.0,,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,,CID2197808,CCCOc1ccccc1NC(=O)c1c(-c2ccccc2)noc1C
0.0,,0.0,0.0,,,,0.0,,,,0.0,,0.0,,,,CID975586,Cc1onc(-c2ccccc2)c1C(=O)Nc1ccc(OC(C)C)cc1
,,,,,,,,,0.0,,,,,,,,CID706243,Cc1onc(-c2ccccc2Cl)c1C(=O)Nc1ccccc1
0.0,,,,,,0.0,,,,0.0,,0.0,,,0.0,0.0,CID1246987,COc1cc(OC)c(NC(=O)c2c(-c3ccccc3)noc2C)cc1Cl
0.0,,0.0,,,,,,,,,,,,,,,CID976038,Cc1ccc(F)cc1NC(=O)c1c(-c2ccccc2)noc1C
0.0,,,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,,CID2084184,Cc1onc(-c2ccccc2)c1C(=O)Nc1cccc(C#N)c1
,,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,,,CID1086921,CCN(CC)S(=O)(=O)c1ccc(NC(=O)c2c(-c3ccccc3)noc2C)cc1
,,,,,,,,,,,,,0.0,,,,CID1252207,CCNS(=O)(=O)c1ccc(NC(=O)c2c(-c3ccccc3)noc2C)cc1
,,,,,0.0,,,,,,,,,,,,CID707595,Cc1ccc(NC(=O)c2c(-c3ccccc3Cl)noc2C)c(C)c1
0.0,,,,,,,,,,,,,,,,,CID1050485,CC(=O)Nc1cccc(NC(=O)c2c(-c3c(Cl)cccc3Cl)noc2C)c1
,,,0.0,,,,,,,,0.0,,0.0,,,,CID869095,Cc1onc(-c2ccccc2)c1C(=O)Nc1cccc(OC(C)C)c1
0.0,,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,,,0.0,,CID651124,Cc1ccccc1NC(=O)c1c(-c2ccccc2)noc1C
,,,,,0.0,,,,,0.0,0.0,,,0.0,,,CID2186453,CCCCNS(=O)(=O)c1ccc(NC(=O)c2c(-c3ccccc3Cl)noc2C)cc1
0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,0.0,0.0,CID1118257,COc1ccc(NC(=O)c2c(-c3ccccc3Cl)noc2C)c(OC)c1
,,,,,,,,0.0,0.0,,,,,0.0,,,CID1246353,COC(=O)c1cc(OC)c(OC)cc1NC(=O)c1c(-c2ccccc2)noc1C
,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,,,,,CID807628,CCN(C(=O)c1c(-c2ccccc2)noc1C)c1ccccc1
0.0,,,,,,0.0,,,,,,0.0,,,,,CID987751,Cc1onc(-c2ccccc2Cl)c1C(=O)Nc1ccccc1C(N)=O
0.0,,,,,,0.0,0.0,,,0.0,,0.0,0.0,,,,CID2673168,COC(=O)c1ccc(C)c(NC(=O)c2c(-c3ccccc3)noc2C)c1
