MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,0.0,,,,,0.0,,,,,,,CID977043,CCC(CC)C(=O)Nc1cccc(C(=O)Nc2nccs2)c1
,,,0.0,,,,,,,,,0.0,,,,,CID814167,CCOC(=O)Cc1csc(NC(=O)c2cccc(OC)c2)n1
,0.0,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,CID655688,CCOC(=O)CNC(=O)c1sc(NC(=O)c2ccccc2F)nc1C
,,,,,,,,0.0,,,,,0.0,,,,CID787302,CCOC(=O)Cc1csc(NC(=O)c2ccc(NC(C)=O)cc2)n1
,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,CID721807,COc1ccc(C(=O)Nc2nccs2)cc1OC
0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,0.0,0.0,CID897375,COc1ccc(C(=O)Nc2nc(C)c(C(=O)N(C)C)s2)cc1OC
,,,,,,,,,,,,,,0.0,,,CID7161212,O=C(Cc1csc(NC(=O)c2ccc(F)cc2)n1)NO
,,,,,0.0,,,,0.0,,,,,,,,CID2673038,CSc1ccccc1C(=O)Nc1ncc(C)s1
,,0.0,,0.0,,,,,0.0,,,,,,,,CID2335480,CCOC(=O)c1csc(NC(=O)c2ccc(S(=O)(=O)N(CC)CC)cc2)n1
,,,,,,,0.0,,,,,,,,,0.0,CID4067950,CCOC(=O)c1csc(NC(=O)c2ccccc2)n1
,,,,,,0.0,,,,,0.0,,,,,0.0,CID645848,Cc1ccc(C(=O)O)c(C(=O)Nc2nc(C)cs2)c1
,,,,,,,,,,,,,0.0,,,,CID2542040,COc1cc(SC)ccc1C(=O)Nc1nc(C)cs1
,,,,,,,,,0.0,,,,,,,,CID3429885,CCOC(=O)c1sc(NC(=O)c2ccccc2OC)nc1C
0.0,,,,,,,,0.0,,0.0,,,0.0,,0.0,0.0,CID1120126,COc1cc(C(=O)Nc2nccs2)c(Br)c(OC)c1OC
,,,,,,,,0.0,0.0,,,,,,,,CID3193162,CCOC(=O)CNC(=O)c1sc(NC(=O)c2ccccc2)nc1C
,,,,,,,0.0,,,,0.0,,,,,,CID653107,Cc1csc(NC(=O)c2ccccc2C(=O)O)n1
,,,0.0,,,,0.0,,,,0.0,,,,,,CID898510,COC(=O)c1sc(NC(=O)c2ccc(OC)cc2OC)nc1C
,,,,,,,,,,,0.0,,,,,,CID733899,CC(=O)c1sc(NC(=O)c2ccc(C)cc2)nc1C
,,,,0.0,,0.0,,,0.0,0.0,,,,,,,CID2323174,CCOC(=O)c1csc(NC(=O)c2ccc(S(=O)(=O)N(C)C)cc2)n1
,,,,,0.0,,,,,,0.0,,,,,,CID737692,COc1ccc(C(=O)Nc2nc(C)c(C)s2)cc1OC
,,,,0.0,,,,,,,,0.0,,,,,CID3242349,COCCN(CCOC)S(=O)(=O)c1ccc(C(=O)Nc2nc(C)c(C(C)=O)s2)cc1
,,,,,,,,,0.0,,,,0.0,,,,CID2115773,CSc1ccccc1C(=O)Nc1nccs1
,0.0,,,0.0,,,0.0,,,,,,,0.0,,,CID606801,COc1cc(C(=O)Nc2nccs2)cc(OC)c1OC
,0.0,,,0.0,,0.0,,,,0.0,,0.0,,,0.0,,CID882378,CCCC(=O)Nc1cccc(C(=O)Nc2nccs2)c1
,0.0,,,,,0.0,,,,,0.0,,,,,,CID959101,CC(=O)c1sc(NC(=O)c2ccccc2F)nc1C
,,,,,,,,,,0.0,0.0,,,0.0,,,CID1120133,CCOC(=O)c1sc(NC(=O)c2c(OC)cccc2OC)nc1C
,0.0,0.0,,0.0,,,,0.0,0.0,,,,,0.0,,,CID1803129,COCCSc1ccccc1C(=O)Nc1nccs1
,,,,,,,,0.0,,,,,,,,,CID1154186,CCOC(=O)Cc1csc(NC(=O)c2cc(OC)cc(OC)c2)n1
,,,,,0.0,,,,0.0,,,,,,,,CID2679292,COc1cccc(C(=O)Nc2nc(C)cs2)c1
,0.0,,,0.0,,,0.0,,,,0.0,,,,,0.0,CID652520,CCOc1ccccc1C(=O)Nc1nccs1
,,,0.0,,,0.0,,,0.0,,,0.0,,,,,CID791564,CC(=O)Oc1ccc(C(=O)Nc2nccs2)cc1
,,,,,,,,,,,,,,0.0,,,CID569547,O=C(Nc1nccs1)c1ccccc1
,,,,,0.0,0.0,,,,,,,,,0.0,,CID1359240,CCOC(=O)c1csc(NC(=O)c2cc(OC)c(OC)c(OC)c2)n1
,,,,,0.0,,,,,,,,,,,,CID2464226,Cc1csc(NC(=O)c2cccc(C)c2C)n1
,,,,,,,,,,,,,0.0,,,,CID2558548,COc1cc(SC)ccc1C(=O)Nc1ncc(C)s1
,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,,,,CID653161,CC(C)C(=O)Nc1cccc(C(=O)Nc2nccs2)c1
,,,,,0.0,,,,0.0,,0.0,,,,,0.0,CID730870,CCOC(=O)Cc1cnc(NC(=O)c2ccccc2)s1
,,,,,,,,,,,,,0.0,0.0,,,CID669871,COc1cc(SC)ccc1C(=O)Nc1nccs1
