MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0.0,,,,,,,,,,,,,,,,0.0,CID729876,COc1ccc(C(=O)N2CCOCC2)cc1Br
,,,,,0.0,,,,,,,,,,,,CID591241,CC1CN(C(=O)c2ccc([N+](=O)[O-])cc2)CC(C)O1
,,,,,,,,0.0,0.0,,,,,,,,CID2961449,Cc1cc(C)cc(C(=O)N2CC(C)OC(C)C2)c1
,0.0,,,,,,,,,,,0.0,,,0.0,0.0,CID658374,CCCOCC(O)COc1ccccc1C(=O)N1CCOCC1
,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,,CID951629,CN(c1ccccc1C(=O)N1CCOCC1)S(C)(=O)=O
,,,,,,,,,,,,,,0.0,,,CID755255,COC(=O)c1cc(C(=O)N2CCOCC2)cc([N+](=O)[O-])c1
,,,,,,,,,0.0,,,,,,,,CID2977306,CCCCOc1ccc(C(=O)N2CC(C)OC(C)C2)cc1
,,,,,0.0,,0.0,,0.0,,,,,,,0.0,CID651825,CC(=O)Nc1ccccc1C(=O)N1CC(C)OC(C)C1
,,,0.0,,,,,,,0.0,,0.0,,,,,CID895486,CC(C)COC(=O)Nc1ccccc1C(=O)N1CCOCC1
,,,,,,,,,,,,,,0.0,,,CID576879,Cc1ccc(C(=O)N2CCOCC2)cc1[N+](=O)[O-]
,,,,,,,,,,,,,,0.0,,,CID531835,COc1cccc(C(=O)N2CCOCC2)c1
,,,,,0.0,,0.0,,,,0.0,0.0,,,,,CID740589,CCOC(=O)Nc1ccccc1C(=O)N1CCOCC1
,,,,,,,,,,,,,0.0,,,,CID789210,O=C(c1ccc(Cl)cc1[N+](=O)[O-])N1CCOCC1
,,,,,,0.0,,0.0,,,,0.0,,,0.0,,CID2175702,CCCCOC(=O)Nc1ccccc1C(=O)N1CCOCC1
,,,,,,,,,0.0,,,0.0,,,,,CID2261344,O=C(O)c1cc(Cl)c(Cl)cc1C(=O)N1CCOCC1
,,,,,,,,,,,,,,0.0,,,CID2851315,Cc1ccc(C(=O)N2CC(C)OC(C)C2)cc1[N+](=O)[O-]
,0.0,,,,,,,,,,,,,,,,CID967063,CS(=O)(=O)Nc1ccccc1C(=O)N1CCOCC1
,,,0.0,,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,CID596556,COc1cccc(OC)c1C(=O)N1CC(C)OC(C)C1
,,,,,,,,,,,,,0.0,,,,CID680922,COC(=O)N(C)c1ccccc1C(=O)N1CCOCC1
,,0.0,0.0,,,0.0,,,0.0,,,,,,0.0,,CID669127,COc1cccc(OC)c1C(=O)N1CCOCC1
,,,,,0.0,,,,,,,,,,,,CID2873709,COc1cc(C(=O)N2CC(C)OC(C)C2)c([N+](=O)[O-])cc1OC
,,,0.0,,,,,,,,,,,,,,CID346717,O=C(c1ccc(Cl)c(Cl)c1)N1CCOCC1
,,,,,,,,,,,0.0,,,,,,CID800700,CN(C)S(=O)(=O)c1ccc(C(=O)N2CCOCC2)cc1
,,,,,,,,,,,,0.0,,,,,CID966864,CSc1ccccc1C(=O)N1CCOCC1
,,,,,,,,,0.0,,,,,,,,CID2961263,Cc1ccc(C(=O)N2CC(C)OC(C)C2)c(Cl)c1
,,,,,,,,0.0,,,,,,,,,CID1818523,CCCCC(=O)Nc1ccccc1C(=O)N1CCOCC1
,0.0,,,,,,,,,,,,,,0.0,,CID790875,O=C(c1cc(Cl)cc(Cl)c1)N1CCOCC1
,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,CID974088,CCC(CC)C(=O)Nc1cccc(C(=O)N2CCOCC2)c1
,0.0,,,,,,,,0.0,,,,0.0,,0.0,0.0,CID807457,Cc1ccc(C(=O)N2CCOCC2)cc1Cl
,,,,,,,,,,,0.0,,,,,,CID2218456,COCCSc1ccccc1C(=O)N1CCOCC1
,,,,,,,,,0.0,,0.0,,,,,,CID1070318,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)N2CCOCC2)cc1
,,,,,,,,0.0,0.0,,,,,,,,CID346358,CCOc1ccccc1C(=O)N1CCOCC1
,,,,,,,,,,,,,0.0,0.0,,,CID593124,Cc1cc(F)c(F)c(C(=O)N2CCOCC2)c1
,,0.0,,,,0.0,,,,,,,,,,,CID882657,CCC(=O)Nc1ccccc1C(=O)N1CCOCC1
,,,,,,,,,,0.0,,,,,,,CID893675,CN(c1ccc(C(=O)N2CCOCC2)cc1)S(C)(=O)=O
,,,,,,,,,,,0.0,,,,,0.0,CID2970288,CC1CN(C(=O)c2cc(F)c(F)cc2Cl)CC(C)O1
