MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0.0,,,,,,,,,,,0.0,,,,0.0,,CID5307396,COc1ccc(N2C(=O)C3CCCN3C2c2cccc(Br)c2)cc1
,,0.0,,,,,0.0,,,,,,,,,,CID5307539,CCOc1ccc(C2N(c3ccc(OC)cc3)C(=O)C3CCCN32)cc1OC
,,,,,,,,,,,,,,,0.0,0.0,CID5309944,COc1cc(C2N(c3cccc(Cl)c3)C(=O)C3CCCN32)cc(OC)c1OC
,,,0.0,,,,,,,,,0.0,,,,,CID5309946,COc1ccc(N2C(=O)C3CCCN3C2c2cc(OC)c(OC)cc2OC)cc1
0.0,,,,,,,,,,,0.0,0.0,,,,,CID3239489,O=C1C2CCCN2C(c2ccccc2)N1c1ccc(Cl)cc1
,,,,,0.0,,,,,,,,,,,,CID5307212,COc1ccc(C2N(c3cc(Cl)ccc3OC)C(=O)C3CCCN32)cc1OC
,,0.0,,,0.0,,,,,,,,,,,,CID5307211,COc1ccc(N2C(=O)C3CCCN3C2c2ccccc2OC)cc1
,,,0.0,,,,,,,,,,,,,,CID3244969,COc1ccccc1C1N(c2ccc(F)cc2)C(=O)C2CCCN21
,,0.0,,,,,,,,,,0.0,,,,,CID5308809,CCOc1ccccc1C1N(c2ccc(OC)cc2)C(=O)C2CCCN21
,,,,,0.0,0.0,,,,,,,,,,0.0,CID5307733,COc1ccc(C2N(c3ccc(OC)cc3)C(=O)C3CCCN32)cc1
0.0,,,0.0,,,,,,,,,,,,,,CID5307424,O=C1C2CCCN2C(c2ccc(F)cc2)N1c1ccc(Cl)cc1
0.0,0.0,,,,,,,,,,,0.0,,,,,CID5308424,O=C1C2CCCN2C(c2ccccc2F)N1c1cccc(Cl)c1
,,0.0,,,,,,,,,,,,,,0.0,CID5307379,CCOc1ccc(C2N(c3cc(Cl)ccc3OC)C(=O)C3CCCN32)cc1OC
0.0,,,,,,,,,,,,,0.0,,,,CID3240636,COc1cc(OC)c(C2N(c3ccc(Cl)c(Cl)c3)C(=O)C3CCCN32)cc1OC
,0.0,,,,0.0,,,,,,,0.0,,,,,CID5309587,COc1ccc(Cl)cc1N1C(=O)C2CCCN2C1c1cccc(F)c1
,,,0.0,,0.0,,,,,,,,,,,,CID5309466,CCc1ccc(C2N(c3ccc(OC)cc3)C(=O)C3CCCN32)cc1
0.0,0.0,,,,,0.0,,,,,,,,,,,CID5308204,COc1ccc(C2N(c3cccc(Cl)c3)C(=O)C3CCCN32)cc1
0.0,,0.0,,,,,,,,,,0.0,,0.0,,,CID5308116,COc1ccc(N2C(=O)C3CCCN3C2c2ccccc2Cl)cc1
0.0,,,,,0.0,,,,,,,,,,,0.0,CID5309719,COc1cccc(C2N(c3cccc(Cl)c3)C(=O)C3CCCN32)c1OC
,,,,,,,0.0,,,,,,,,,,CID5308446,COc1ccc(N2C(=O)C3CCCN3C2c2cccc(OC)c2OC)cc1
,,,,,,0.0,0.0,,,,0.0,,,,,,CID5308445,COc1ccc(N2C(=O)C3CCCN3C2c2ccc(C)cc2)cc1
0.0,0.0,,,,,,,,,,,,,,,0.0,CID3241338,COc1ccc(N2C(=O)C3CCCN3C2c2cccc(C)c2)cc1Cl
0.0,,,,,,,,,,,,,,,,0.0,CID3237912,COc1ccc(N2C(=O)C3CCCN3C2c2ccccc2)cc1Cl
0.0,,,,,,,,,,,,,,,,,CID5308261,O=C1C2CCCN2C(c2cccc(Br)c2)N1c1ccc(F)cc1
,,,,,0.0,,,,,,,,,,,,CID5308595,CCOc1ccc(C2N(c3ccc(F)cc3)C(=O)C3CCCN32)cc1OC
0.0,,,0.0,,,,,,,,,,,,,,CID3237903,O=C1C2CCCN2C(c2ccccc2F)N1c1ccc(Cl)cc1
,,,,,0.0,,0.0,,,,,,,,,,CID5308789,COc1ccc(N2C(=O)C3CCCN3C2c2ccccc2)cc1
0.0,,,,,0.0,,,,,,,0.0,,,,,CID5308786,O=C1C2CCCN2C(c2ccccc2)N1c1cccc(Cl)c1
,,,,,,,,,,,,,,0.0,,,CID5309422,COc1ccc(Cl)cc1N1C(=O)C2CCCN2C1c1ccccc1F
,,,0.0,,,,0.0,,,,,,,,,,CID5308770,COc1ccc(C2N(c3ccc(F)cc3)C(=O)C3CCCN32)cc1
,,0.0,,,,,,,,,,,,,,,CID5308928,COc1cccc(N2C(=O)C3CCCN3C2c2ccc(N(C)C)cc2)c1
,,,,,,,0.0,,,,,,,0.0,,,CID5309937,CN(C)c1ccc(C2N(c3ccc(F)cc3)C(=O)C3CCCN32)cc1
0.0,,,,,,,,,,,,0.0,,,,,CID5307876,CN(C)c1ccc(C2N(c3ccc(Cl)cc3)C(=O)C3CCCN32)cc1
0.0,,,,,,0.0,,,,,,,,,,,CID5307898,O=C1C2CCCN2C(c2cccc(F)c2)N1c1cccc(Cl)c1
0.0,,,,,,,,0.0,,,,,,,,,CID5307754,COc1ccc(C2N(c3ccc(Cl)cc3)C(=O)C3CCCN32)cc1
0.0,,,0.0,,0.0,,,,,,,,,,,,CID5309128,COc1cccc(N2C(=O)C3CCCN3C2c2ccc(Cl)cc2)c1
,,,,,0.0,0.0,,,,0.0,,0.0,,,,,CID3238522,COc1ccc(N2C(=O)C3CCCN3C2c2ccc(C)cc2)cc1Cl
,,,,,,,0.0,,,,,0.0,,,,,CID5309449,O=C1C2CCCN2C(c2ccccc2)N1c1ccc(F)cc1
,,,,,,,,,,,,,,,,0.0,CID3241638,COc1ccc(N2C(=O)C3CCCN3C2c2cccc(F)c2)cc1Cl
0.0,,,0.0,,,0.0,,,,,,,,,,0.0,CID3241630,COc1ccc(OC)c(C2N(c3ccc(Cl)cc3)C(=O)C3CCCN32)c1
0.0,,,,,,,,,0.0,,,,,,,,CID5308552,CN(C)c1ccc(C2N(c3cccc(Cl)c3)C(=O)C3CCCN32)cc1
0.0,,0.0,,,,,,,,,0.0,,0.0,,,0.0,CID5308070,O=C1C2CCCN2C(c2ccc(F)cc2)N1c1cccc(Cl)c1
0.0,,,0.0,,,,,,,,,0.0,,,,,CID5307554,CCOc1ccc(C2N(c3ccc(Cl)cc3)C(=O)C3CCCN32)cc1OC
,,,0.0,,,,,,,,,,,,,,CID5307889,COc1ccc(N2C(=O)C3CCCN3C2c2cc(OC)c(OC)c(OC)c2)cc1
0.0,,,,,,,,,,,,,,,,,CID5307884,COc1ccc(N2C(=O)C3CCCN3C2c2ccc(Cl)cc2)cc1
,,,,,0.0,,0.0,,,,,0.0,,,,,CID3240015,COc1cccc(N2C(=O)C3CCCN3C2c2ccc(F)cc2)c1
0.0,,,,,,,,,,,,,,,,,CID5307190,COc1cccc(C2N(c3cccc(Cl)c3)C(=O)C3CCCN32)c1
,,,,,,,,,,0.0,,,,,0.0,,CID5309271,COc1ccc(C2N(c3cc(Cl)ccc3OC)C(=O)C3CCCN32)c(OC)c1
,,,0.0,,0.0,0.0,,,,,,,,,,,CID5309103,COc1ccc(Cl)cc1N1C(=O)C2CCCN2C1c1ccc(F)cc1
,,,,,0.0,,0.0,,,,,,,,,,CID5309611,CCOc1ccc(C2N(c3ccc(F)cc3)C(=O)C3CCCN32)cc1
0.0,,,,,,,,,,,,0.0,,,,,CID5309764,COc1cccc(C2N(c3ccc(Cl)cc3)C(=O)C3CCCN32)c1
,,,0.0,,,,,,,,,,,,,,CID3238856,CCOc1ccccc1C1N(c2ccc(F)cc2)C(=O)C2CCCN21
,,,,,,,,,,,0.0,,,,0.0,,CID5307208,COc1cc(OC)c(C2N(c3ccc(Cl)cc3)C(=O)C3CCCN32)cc1OC
,,0.0,,,,,0.0,,,,,,,,,,CID5308582,COc1ccc(N2C(=O)C3CCCN3C2c2cccc(OC)c2)cc1
,,0.0,,,0.0,,,0.0,,,,,,,,,CID5309733,COc1ccc(C2N(c3cc(Cl)ccc3OC)C(=O)C3CCCN32)cc1
,,,,,0.0,,,,,,,,,,,,CID5309786,COc1cc(C2N(c3ccc(Cl)cc3)C(=O)C3CCCN32)cc(OC)c1OC
0.0,,,,,,,,,,,,0.0,,,,,CID3243341,COc1cc(C2N(c3ccc(Cl)c(Cl)c3)C(=O)C3CCCN32)cc(OC)c1OC
