MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,0.0,,0.0,,0.0,,,,,0.0,,,0.0,0.0,CID2997336,CC1(C)CC(=O)C2=C(C1)NC(=O)CC2c1ccccc1F
,,,,,,,,,0.0,,,,,,,0.0,CID2855190,CC1(C)CC(=O)C2=C(C1)NC(=O)CC2c1ccc(N(CCC#N)CCC#N)cc1
,,,,,,0.0,,,0.0,,,0.0,,,0.0,0.0,CID3162357,CCOc1ccc(C2CC(=O)NC3=C2C(=O)CCC3)cc1
,,,,,,,,,,,,0.0,,,,,CID3162354,O=C1CC(c2ccc(F)cc2)C2=C(CCCC2=O)N1
,,0.0,0.0,,,0.0,0.0,,,,,,,,0.0,,CID3162355,CCOc1ccccc1C1CC(=O)NC2=C1C(=O)CCC2
,0.0,,,0.0,,,,,,0.0,,,,,0.0,,CID657461,CCN(CC)c1ccc(C2CC(=O)NC3=C2C(=O)CC(C)(C)C3)cc1
,,,0.0,,,,0.0,,,,0.0,0.0,,,,,CID3162373,O=C1CC(c2cccc(F)c2)C2=C(CCCC2=O)N1
,,,,0.0,,,,,0.0,,0.0,,,0.0,,,CID628462,CN(C)c1ccc(C2CC(=O)NC3=C2C(=O)CC(C)(C)C3)cc1
0.0,,,,,,,,,,0.0,,,,,0.0,0.0,CID3241246,O=C1CC(c2cccc(Br)c2)C2=C(CCCC2=O)N1
0.0,,,,0.0,,0.0,0.0,,,,,,,,0.0,,CID3162366,COc1cc(C2CC(=O)NC3=C2C(=O)CC(C)(C)C3)ccc1O
,,,,,,0.0,,,,,,0.0,,,,0.0,CID3162449,CC(C)Oc1ccc(C2CC(=O)NC3=C2C(=O)CCC3)cc1
0.0,,0.0,,0.0,,0.0,,,,,,0.0,,,0.0,,CID3162447,COc1cc(C2CC(=O)NC3=C2C(=O)CC(C)(C)C3)cc(OC)c1O
,,,,,0.0,,,,0.0,,,0.0,,,,0.0,CID3162382,COC(=O)c1ccc(C2CC(=O)NC3=C2C(=O)CCC3)cc1
,,,0.0,,,,,,,,0.0,,,,0.0,0.0,CID3243986,CCCCOc1ccccc1C1CC(=O)NC2=C1C(=O)CCC2
,,,0.0,,,,0.0,,,,,,,0.0,,,CID3241976,COC(=O)C1C(=O)C2=C(CC1C)NC(=O)CC2c1ccccc1
0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,0.0,0.0,CID3162370,COc1ccc(C2CC(=O)NC3=C2C(=O)CCC3)cc1Cl
,,,,,,0.0,,,,,0.0,,,,,,CID3241464,CCOc1cc(C2CC(=O)NC3=C2C(=O)C(C(=O)OC)C(C)C3)cc(Cl)c1O
,0.0,,,,,,,,0.0,,0.0,0.0,,,,0.0,CID3162368,COc1cccc(C2CC(=O)NC3=C2C(=O)CCC3)c1
,,,,,,,,,,,,,,,0.0,0.0,CID3244116,O=C1CC(c2ccc(F)c(Br)c2)C2=C(CCCC2=O)N1
,,0.0,,,,,0.0,,0.0,,,,,,,,CID2997107,CC1(C)CC(=O)C2=C(C1)NC(=O)CC2c1cccc(F)c1
,,,0.0,,,0.0,,,,,0.0,,,,,0.0,CID3239945,CC1(C)CC(=O)C2=C(C1)NC(=O)CC2c1cc(F)ccc1F
0.0,,,,,,,,,,,,,0.0,,,,CID3237850,CCOc1cc(C2CC(=O)NC3=C2C(=O)C(C(=O)OC)C(C)C3)cc(Br)c1O
,,,,0.0,,,,,,,,,,,,0.0,CID3239250,COC(=O)C1C(=O)C2=C(CC1C)NC(=O)CC2c1ccc(O)c(OC)c1
,,,,,,,,,,,,0.0,0.0,,,0.0,CID3240546,COC(=O)C1C(=O)C2=C(CC1C)NC(=O)CC2c1cccc(C)c1
0.0,0.0,,,,,,,,,,,0.0,,,,0.0,CID3162371,CCOc1ccc(C2CC(=O)NC3=C2C(=O)CCC3)cc1Cl
,,,,,,,,,0.0,,,0.0,,,,,CID3162372,Cc1ccccc1C1CC(=O)NC2=C1C(=O)CCC2
,,,,,,0.0,0.0,,0.0,,,,,,0.0,,CID3162379,CCCOc1ccccc1C1CC(=O)NC2=C1C(=O)CCC2
,,,,,,,,,,0.0,,,,,,0.0,CID2997005,CCOc1ccccc1C1CC(=O)NC2=C1C(=O)CC(C)(C)C2
,,,,,,,,,,,,,,,,0.0,CID3243557,CCC(C)Oc1ccccc1C1CC(=O)NC2=C1C(=O)CCC2
,,,,,0.0,,0.0,,,,,0.0,,,0.0,,CID3162346,CC1(C)CC(=O)C2=C(C1)NC(=O)CC2c1ccc(F)cc1
0.0,,,,,,,,,,0.0,,,,,0.0,0.0,CID3241913,Cc1ccc(C2CC(=O)NC3=C2C(=O)CCC3)cc1Br
