MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0.0,0.0,,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,CID2908174,N#CCCCSC1=C(C#N)C(c2ccccc2Cl)CC(=O)N1
,0.0,,,0.0,,0.0,,,,,,0.0,,,,,CID644512,CCSC1=C(C#N)C(c2cccc(OC)c2)CC(=O)N1
,0.0,,,,,0.0,,,,0.0,,,,,,0.0,CID3239236,COC(=O)C1C(=O)NC(SC)=C(C#N)C1c1ccccc1F
,,,0.0,,,,0.0,,0.0,,,,,,0.0,,CID2864982,CCOC(=O)C1=C(C)NC(=O)CC1c1ccccc1
,,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,CID651473,CCCCCCSC1=C(C#N)C(c2ccc(O)cc2)CC(=O)N1
,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,CID2854623,COc1cccc(C2CC(=O)NC(SC)=C2C#N)c1
,,,,,0.0,,0.0,,,,,,,,,,CID648366,CCCSC1=C(C#N)C(c2ccccc2C)C(C(=O)OC)C(=O)N1
,,,,,,,0.0,0.0,,,0.0,0.0,,,,,CID2850505,COC(=O)C1=C(C)NC(=O)CC1c1ccccc1F
,,,,0.0,,,0.0,,,,,,,,,0.0,CID3120798,CCSC1=C(C#N)C(c2ccccc2OC)CC(=O)N1
,,0.0,,0.0,0.0,,,,,,,,,,,,CID3846477,C=CCSC1=C(C#N)C(c2ccc(C(C)C)cc2)CC(=O)N1
0.0,,0.0,,,,,0.0,,,,0.0,,,,,,CID646545,CCSC1=C(C#N)C(c2ccc(OC)c(OC)c2)CC(=O)N1
0.0,,,,,,0.0,,0.0,,0.0,,,0.0,,,0.0,CID654554,C=CCSC1=C(C#N)C(c2cc(Br)c(O)c(OC)c2)CC(=O)N1
,,0.0,,,,0.0,,,,,,0.0,,,0.0,,CID3120794,CCOc1ccc(C2CC(=O)NC(SCC(=O)OC)=C2C#N)cc1
0.0,,,,,,,,0.0,,0.0,,,,,0.0,,CID2941606,CCSC1=C(C#N)C(c2cccc(Br)c2)CC(=O)N1
