MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,,,,,,,,,0.0,,,CID3103695,CN(C)NC1CC(=O)N(c2ccccc2)C1=O
,,,0.0,,,,,,,,,,,,,0.0,CID2827720,O=C(O)CSC1CC(=O)N(c2cccc(Cl)c2)C1=O
,,,,,,,,,,,,,0.0,,,,CID2827725,CCOc1ccc(N2C(=O)CC(SCC(=O)O)C2=O)cc1
,,0.0,,,,0.0,0.0,0.0,,,,0.0,,,,,CID661028,CCCCN(C(=O)CCC(=O)O)C1CC(=O)N(c2ccc(OCCC)cc2)C1=O
,,,,,,,,,,,,,0.0,,,,CID3338691,CCOC(=O)NNC1CC(=O)N(c2ccccc2)C1=O
,,0.0,,,,,,,,,,0.0,,,,,CID692331,O=C(O)c1cccc(N2C(=O)CCC2=O)c1
,,,,,,,,,,,,0.0,,,,0.0,CID881046,CC(=O)Nc1cc(N2C(=O)CCC2=O)ccc1Cl
,,,,,,,,,0.0,,,,,,,0.0,CID2978519,Cc1cc(Cl)ccc1N1C(=O)CC(SCCC(=O)O)C1=O
0.0,,,,,,,,,,,,,,,0.0,,CID2937026,COC(=O)CN(C)C1CC(=O)N(c2ccc(Cl)cc2)C1=O
,,,,,0.0,,,,,,,,,,,,CID2982743,CC(C)(C)OC(=O)NNC1CC(=O)N(c2ccccc2F)C1=O
,,,,,,,0.0,,,,,,,,,,CID660240,C=CCN(C(=O)CCC(=O)O)C1CC(=O)N(c2ccc(OC)cc2)C1=O
,,0.0,,,,,0.0,0.0,,,,0.0,,,0.0,,CID670633,CCOc1ccc(N2C(=O)CCC2=O)cc1
,,0.0,,,,,,,,,,,,0.0,,,CID660455,C=CCN(C(=O)CCC(=O)O)C1CC(=O)N(c2ccc(OCCC)cc2)C1=O
,,,,,,,,,,,0.0,,,,,,CID664797,CCCCCC(=O)N(O)C1CC(=O)N(c2ccccc2)C1=O
,0.0,,0.0,,0.0,,,,0.0,,,0.0,,,,,CID2869084,C/N=C(\NC)SC1CC(=O)N(c2ccccc2)C1=O
,,,0.0,0.0,,0.0,,,,,,,,,0.0,,CID2857989,CC/N=C(\NCC)SC1CC(=O)N(c2cccc(OC)c2)C1=O
,0.0,,,,,,,,,,,0.0,,,,,CID661740,CCOC(=O)C(N)CSC1CC(=O)N(c2ccc(C(=O)OC)cc2)C1=O
,,,,0.0,,,,,,,0.0,,,,,,CID657455,CCOc1ccc(N2C(=O)CC(N)C2=O)cc1
,,,,,,,,,,,,,,,,0.0,CID2827715,O=C(O)CSC1CC(=O)N(c2ccc(Cl)cc2)C1=O
,,,,,,,,0.0,,,,,,,,,CID2827718,COc1ccc(N2C(=O)CC(SCC(=O)O)C2=O)cc1
,,,,,,,,,,,,,,0.0,,,CID3593971,CCCCCCOc1ccc(N2C(=O)CC(S/C(=N/CC)NCC)C2=O)cc1
,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,CID663333,CCCCCCC(=O)N(O)C1CC(=O)N(c2ccccc2)C1=O
,,,,,,,,,,,0.0,,,,,,CID3745707,CCCCCCC(=O)N(O)C1CC(=O)N(c2ccc(C)cc2)C1=O
,,,,,,,,,,,,,,0.0,,,CID4680776,C=CCN(C(C)=O)C1CC(=O)N(c2ccc(OCCC)cc2)C1=O
,,,,,,,,0.0,,,,,,,,,CID2979343,O=C1CC(SCCO)C(=O)N1c1ccccc1
,,,,,,,,,,,,0.0,,,,0.0,CID345843,COc1ccc(N2C(=O)CCC2=O)cc1
0.0,0.0,,,0.0,,,,,,0.0,,0.0,,,0.0,,CID2833588,CC/N=C(\NCC)SC1CC(=O)N(c2ccccc2)C1=O
,0.0,,,,,,,,0.0,,,,,,,0.0,CID667276,CCN(CCO)C1CC(=O)N(c2ccccc2C)C1=O
,,0.0,,,,,,,,,,,,,0.0,0.0,CID644710,CCC1(C)CC(=O)N(c2ccc(C(=O)O)c(O)c2)C1=O
0.0,,,,,,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,CID662672,CCCCCCC(=O)N(O)C1CC(=O)N(c2ccc(Br)cc2)C1=O
,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,,,,,CID2867425,CC/N=C(\NCC)SC1CC(=O)N(c2cccc(OCC)c2)C1=O
,,,,0.0,,,,,,,,,,,0.0,,CID3463218,CCN(CC)C1CC(=O)N(c2cccc(C)c2)C1=O
,,,,,,,,,0.0,,,,,,,,CID660187,O=C(O)CSC1CC(=O)N(c2ccc(Cl)c(Cl)c2)C1=O
,,,0.0,0.0,,0.0,,,,,,,,,,,CID3126475,COC(=O)c1ccc(N2C(=O)CC(SCCN)C2=O)cc1
,,,,,,,,,,0.0,,,,,,,CID898925,CC(=O)Nc1ccc(N2C(=O)CCC2=O)cc1C
,,,,,,0.0,,,,0.0,,,,,,,CID660482,CCCOc1ccc(N2C(=O)CC(N(CCC)C(=O)CCC(=O)O)C2=O)cc1
,,0.0,,,,,,,,,,0.0,0.0,,,,CID817953,CC(=O)Oc1ccc(N2C(=O)CCC2=O)cc1
