MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,,CID651502,Cc1ccc(N2CC(C(N)=O)CC2=O)cc1
,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,,,,,CID847885,Cc1cc(N2CCCC2=O)cc(C)c1S(N)(=O)=O
,,,,,,,,,0.0,,,,,,,0.0,CID655214,COCC(C)NC(=O)C1CC(=O)N(c2ccc(C)cc2)C1
,,,0.0,,,,,,,,,,,,0.0,,CID3236644,CCN(CC)C(=O)C1CC(=O)N(c2ccc(F)c(Cl)c2)C1
,,,,0.0,0.0,0.0,0.0,,,,,,,,,,CID3237863,CCCCN(C)CCCNC(=O)c1ccc(N2CCCC2=O)cc1
,0.0,0.0,,,,,0.0,,,0.0,,0.0,,,0.0,,CID648587,C=COCCNC(=O)C1CC(=O)N(c2ccc(C)cc2)C1
,,,,,0.0,,,,,,,,,,,,CID2883201,Cc1ccc(N2CC(C(=O)NCC(C)O)CC2=O)cc1
,,,0.0,,,,,0.0,,0.0,,,,,0.0,,CID1599870,Cc1ccc(S(=O)(=O)O)c(C)c1N1CCCC1=O
,,,,,,,,,0.0,0.0,,,,,,,CID2883616,C=CCNC(=O)C1CC(=O)N(c2ccc(C)cc2)C1
,,0.0,,,,,0.0,,0.0,,,0.0,0.0,,,0.0,CID2968626,CCc1ccccc1N1CC(C(=O)O)CC1=O
,,,,,,,,0.0,,,,,,0.0,,,CID847897,Cc1cc(C)cc(N2CCCC2=O)c1
,,,,,,,,,,,,0.0,,,,,CID2969325,O=C(O)C1CC(=O)N(c2ccc(F)c(F)c2)C1
,,,,0.0,,,,,0.0,,,0.0,,,,,CID650238,Cc1ccc(N2CC(C(=O)NCCC(C)C)CC2=O)cc1
,,,,,,,0.0,,,,,,,,,,CID3240794,O=C(O)c1cccc(N2CCCC2=O)c1
,,0.0,0.0,,,,,,,,0.0,0.0,,,,,CID3237870,CNC(=O)c1cccc(N2CCCC2=O)c1
,,0.0,0.0,,,,0.0,,,,,,,,,,CID2927255,Cc1ccc(N2CC(C(N)=O)CC2=O)cc1C
,,,0.0,,,0.0,,0.0,0.0,,,0.0,,,,,CID647180,CC(C)c1ccccc1N1CC(C(=O)O)CC1=O
,,,,,,,0.0,,0.0,,,,,,,,CID645623,COCCNC(=O)C1CC(=O)N(c2ccc(C)cc2)C1
,,,,,,0.0,,,,0.0,0.0,,,,,,CID2912208,O=C(O)C1CC(=O)N(c2ccc(Br)cc2)C1
