MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,0.0,0.0,,,0.0,0.0,,,,,,CID5307534,Cc1ccc2c(c1)NC(=O)C(CC(=O)O)O2
,,,,,0.0,,,,,,,,,,0.0,0.0,CID3238362,CCOC(=O)CN1C(=O)COc2ccc(C(C)(C)C)cc21
,,0.0,,,,,,,,,,,,,,,CID5308529,CCC(C)NC(=O)CC1Oc2ccc(C)cc2NC1=O
,,,,,,,,,,,,,,0.0,,,CID9551116,Cc1ccc2c(c1)N(CCC(=O)NC(C)C)C(=O)CO2
0.0,,,,,,,,,,,,,,,,,CID5308106,CCCCN(C)CCCNC(=O)CC1Oc2ccccc2NC1=O
,,,,,,,,,,,,,,,,0.0,CID5307731,CCOCCCNC(=O)CC1Oc2ccc(C)cc2NC1=O
,,,,,,,,,,,,,,,0.0,,CID5307323,CCN(CC)CCCNC(=O)CC1Oc2ccc(C)cc2NC1=O
,0.0,,,,,,,,0.0,,,,,,,0.0,CID3163338,COC(=O)CN1C(=O)COc2ccc(Cl)cc21
,,,,,0.0,,,,,,,,,,,,CID3241525,CCOC(=O)CN1C(=O)C(CC)Oc2ccc(Cl)cc21
,,0.0,,,,,0.0,0.0,0.0,,,0.0,,,,,CID645448,CCC(C)(C)NC(=O)c1ccc2c(c1)N(CC(=O)OC)C(=O)C(C)(C)O2
,,,,,,,,0.0,,,,0.0,,,,,CID3241820,CCCCN(CCCC)CCCNC(=O)CC1Oc2ccc(C)cc2NC1=O
,,,,,,,0.0,,,,,,,,,,CID3244629,CCCCN(CC)CCCNC(=O)CC1Oc2ccccc2NC1=O
,,0.0,,,,,,,,,,,,,,0.0,CID650505,CC(C)OC(=O)CN1C(=O)C(C)(C)Oc2ccc(C(=O)NC(C)(C)C)cc21
,,,,,0.0,,,,,,0.0,0.0,,,0.0,,CID3237715,COCCCNC(=O)CCN1C(=O)COc2ccccc21
,,,,,0.0,,,,,,,0.0,,,0.0,,CID3235966,CCOC(=O)CN1C(=O)C(CC)Oc2ccccc21
,,,,,0.0,,,,,,,,,,,,CID3622793,CN(C)CCNC(=O)CN1C(=O)COc2ccc(C(C)(C)C)cc21
,,,,,,0.0,,,,,,,0.0,,,,CID3237158,Cc1ccc2c(c1)N(CCC(=O)NCCCOC(C)C)C(=O)C(C)O2
0.0,,,0.0,,,,,,0.0,,,,,,0.0,0.0,CID3240422,CCCCNC(=O)CN1C(=O)C(CC)Oc2ccc(Cl)cc21
,,0.0,,,,,,,0.0,0.0,,,,,,,CID5309445,Cc1ccc2c(c1)NC(=O)C(CC(=O)NCCN(CC(C)C)CC(C)C)O2
,,,,,,,,,,,,,,,,0.0,CID3244604,CCC1Oc2ccc(Cl)cc2N(CC(=O)O)C1=O
,,,,,,,,,0.0,,,,0.0,,,,CID3660113,COCCNC(=O)C1(C)Oc2ccccc2NC1=O
,,,,,,,0.0,,,,,,,,,0.0,CID3243639,CCOCCCNC(=O)CN1C(=O)C(CC)Oc2ccccc21
,,,,,,,,,,,,0.0,,,,,CID5308501,CC(C)CN(CCNC(=O)CC1Oc2ccccc2NC1=O)CC(C)C
,,0.0,,,0.0,,,,,,,0.0,,,0.0,,CID3160168,CC(C)(C)c1ccc2c(c1)N(CC(=O)O)C(=O)CO2
,,,,,,0.0,0.0,,,,,,,,,,CID3240262,COCCCNC(=O)CCN1C(=O)COc2ccc(C)cc21
,,0.0,0.0,,0.0,0.0,,,,,0.0,,,,,,CID5307590,CCCSCCCNC(=O)CC1Oc2ccccc2NC1=O
,0.0,0.0,,,0.0,,0.0,,,,,,,,0.0,,CID4430867,COC(=O)CC1Oc2ccc(C)cc2NC1=O
,,,,,,,0.0,,,,,,,,0.0,,CID3243856,CC(C)OCCCNC(=O)CCN1C(=O)COc2ccccc21
,0.0,,,,,,,,0.0,,,0.0,,,,0.0,CID3240998,CCOC(=O)CN1C(=O)COc2ccc(Cl)cc21
0.0,,,0.0,,,,,,,,,,,,0.0,,CID5307183,CCC(C)NC(=O)CC1Oc2ccc(Cl)cc2NC1=O
,,,,,0.0,,0.0,,,,,,,,,,CID5309549,Cc1ccc2c(c1)NC(=O)C(CC(=O)NCCN(C)C)O2
,,,,,,,0.0,,,,,0.0,,,0.0,,CID3239077,Cc1ccc2c(c1)N(CC(=O)O)C(=O)CO2
,0.0,,,,,,0.0,,,,,,,,,,CID650487,CCOC(=O)CN1C(=O)C(C)(C)Oc2ccc(C(=O)NC(C)(C)CC)cc21
