MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,,0.0,,,,0.0,,,,,,CID138666,CC(=O)Nc1cccc2c1C(=O)NC2=O
,0.0,,,,,,,,,,,,,,,,CID5310372,CCCCC(=O)Nc1ccc2c(c1)C(=O)NC2=O
,,,,,,,0.0,,,,,,,,0.0,,CID2788324,C=CCNC(=O)C(C)N1C(=O)c2ccccc2C1=O
,,,,,,,,,,0.0,,0.0,,,,,CID665052,CCN(CC)c1ccc2c(c1)C(=O)N(C)C2=O
,,,,,0.0,,,,,,,,,,,,CID86884,CC(C(=O)O)N1C(=O)c2ccccc2C1=O
,,,,,,,,,,,,,0.0,,,,CID652179,Nc1ccc2c(c1)C(=O)N(CCCC(=O)O)C2=O
,,0.0,0.0,,,0.0,,,,,,,0.0,,,,CID5389072,CC(C)C(/C([O-])=C/[N+]#N)N1C(=O)c2ccccc2C1=O
,,,0.0,,,,,,,,,,,,,,CID76859,O=C(O)CCN1C(=O)c2ccccc2C1=O
,,,,,,0.0,0.0,,,0.0,,,,,,,CID3238613,COC(=O)CCC(C(=O)O)N1C(=O)c2ccccc2C1=O
,,,,,,,,,,0.0,,,,,,,CID1642421,COCCCN1C(=O)c2ccc(C(=O)O)cc2C1=O
,,,,,0.0,,,,,,,0.0,,,,,CID803966,CC(C)C(=O)Nc1ccc2c(c1)C(=O)N(CCC(=O)O)C2=O
,,,,,,,,,,,,0.0,,,,,CID1726561,O=C(O)CCCCCN1C(=O)c2ccc(C(=O)O)cc2C1=O
,,,,,,,0.0,,,,,0.0,,,0.0,,CID648307,CCCOC(=O)CN1C(=O)c2ccccc2C1=O
,,,,,,,,,,,,0.0,,,0.0,,CID2247907,C=CCOC(=O)CN1C(=O)c2ccccc2C1=O
,0.0,,,,,,0.0,,,,,,,,,,CID3245303,CSCCC(NC(=O)CCN1C(=O)c2ccccc2C1=O)C(=O)O
,,,,,,,,,,,,0.0,,,,,CID344572,CCOC(=O)CNS(=O)(=O)CCN1C(=O)c2ccccc2C1=O
,,0.0,,,,,,,,,,,,,,,CID3242849,COc1ccc2c(c1OC)C(=O)N(C(C)C(=O)O)C2=O
,,,,,,,,,,,,,,0.0,,,CID7157941,CCCC(=O)Nc1ccc2c(c1)C(=O)NC2=O
0.0,,0.0,,,,,0.0,,,,,,,,,,CID2852386,CC(C)(C)N1C(=O)c2ccc(C(=O)O)cc2C1=O
,,,,,0.0,,,,,,,,,,,,CID4163491,CCOC(=O)C(CC(C)C)NC(=O)CCN1C(=O)c2ccccc2C1=O
,,,,,,,,,,,,,0.0,,,,CID2208969,COCCN1C(=O)c2ccc(C(=O)O)cc2C1=O
,,,,,,,,,,,,,,,0.0,,CID2925264,CSCCC(C(=O)O)N1C(=O)c2ccc(C(=O)O)cc2C1=O
,0.0,0.0,,,,0.0,,,,,,,,,,,CID272762,CC(C)OC(=O)CN1C(=O)c2ccccc2C1=O
,,,,,,,0.0,,,,,,,0.0,,,CID652552,CCCCOC(=O)CN1C(=O)c2ccc(C(=O)OCCCC)cc2C1=O
,,,,,,,,,0.0,0.0,,,,,,,CID649666,CN1C(=O)c2cccc(N(C)C)c2C1=O
,,,,,0.0,,,,,,,,,,,,CID654238,CCCOC(=O)CN1C(=O)c2ccc(C(=O)OCCC)cc2C1=O
,,0.0,,,,,,,,,,,,,,,CID2141754,CC(=O)OCCCCON1C(=O)c2ccccc2C1=O
,,,,,,,,,0.0,,,,,,,,CID2887995,CC(C)C(C(=O)NC(C)(C)C)N1C(=O)c2ccccc2C1=O
,,,,,,,,0.0,,,,,,,,0.0,CID1637582,CC(=O)OCCCN1C(=O)c2ccc(Br)cc2C1=O
,,,,,,,0.0,,,,,,,,,,CID5389082,CC(/C([O-])=C/[N+]#N)N1C(=O)c2ccccc2C1=O
,,,,,,0.0,0.0,,,,,,,,,,CID734424,CC(C)N1C(=O)c2ccc(C(=O)O)cc2C1=O
,,,,,,,0.0,,,0.0,,,,,,,CID95202,CCOC(=O)CN1C(=O)c2ccccc2C1=O
,,0.0,,,,,,,,,,0.0,,,,0.0,CID654183,C=CCN(CC=C)C(=O)CN1C(=O)c2ccccc2C1=O
,,,,,,0.0,,,,,,0.0,,,0.0,,CID5389087,N#[N+]/C=C(\[O-])CCCN1C(=O)c2ccccc2C1=O
,,,,,,,,0.0,,,,,,,,,CID605078,COC(F)(C(=O)Nc1ccc2c(c1)C(=O)NC2=O)C(F)(F)F
,0.0,,,,,,,,,,,,,,,,CID657642,CN1C(=O)c2ccc(N(C)C)cc2C1=O
,,,,,,,,,0.0,,,,,,,,CID876013,CCC(=O)Nc1ccc2c(c1)C(=O)N(C)C2=O
,,,,,,,0.0,,,0.0,,,,,,,CID649107,COCCCNC(=O)CN1C(=O)c2ccccc2C1=O
,,0.0,,,,,,,,,,,,,,,CID707457,CCN1C(=O)c2ccc(C(=O)O)cc2C1=O
,,,0.0,,,0.0,0.0,,,,0.0,,,,,,CID3241619,CC(C)OC(=O)CCCN1C(=O)c2ccc(N)cc2C1=O
