MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,,,,,,,,,,0.0,,CID5767764,COCCCN1C(=O)C(=O)/C(=C(/O)c2ccc(C)cc2)C1c1ccccc1
,,,,,,,0.0,,,,,0.0,,,,,CID6138846,COc1ccc(/C(O)=C2/C(=O)C(=O)N(CCN(C)C)C2c2ccc(OC)c(OC)c2)c(C)c1
,,,,,,,0.0,,,,,,,,,,CID5389210,COc1ccc(/C(O)=C2\C(=O)C(=O)N(CCN(C)C)C2c2cccc(OC)c2OC)cc1
,,,,,,,0.0,,,,,,,,,,CID5768711,COc1ccc(/C(O)=C2/C(=O)C(=O)N(CCCC(=O)O)C2c2ccc(OC)c(OC)c2)cc1
,0.0,,,,0.0,,,,,,,,,,,,CID5389467,CCOc1ccc(C2/C(=C(/O)c3ccc(Cl)cc3)C(=O)C(=O)N2CCCN(C)C)cc1OC
,,,,,0.0,0.0,,0.0,,,,0.0,,,,,CID5389464,COc1ccc(/C(O)=C2/C(=O)C(=O)N(CCN(C)C)C2c2ccc(C)cc2)cc1Cl
0.0,,,,,,,,,,0.0,,,,,,,CID5286365,COc1ccc(C2/C(=C(/O)c3ccc(C)cc3)C(=O)C(=O)N2C)cc1
,,,,,,0.0,,,,,,,,,,,CID5389317,COc1ccc(/C(O)=C2/C(=O)C(=O)N(CCCN(C)C)C2c2cccc(Cl)c2)cc1OC
,,,,,,,,,,0.0,,0.0,,,,,CID5389242,CCOc1ccc(C2/C(=C(/O)c3ccc(F)cc3)C(=O)C(=O)N2CCCN(C)C)cc1
,,,,,,,0.0,,,,,,,,,,CID5389335,COc1ccc(/C(O)=C2/C(=O)C(=O)N(CCCN(C)C)C2c2ccccc2)cc1OC
,,,,,,0.0,,,,,,,,,,,CID5389811,COCCCN1C(=O)C(=O)/C(=C(/O)c2ccc(OC(C)C)cc2)C1c1ccc(O)c(OC)c1
,,,,,,,0.0,,0.0,,,,,,,,CID5389582,CCOc1ccc(/C(O)=C2/C(=O)C(=O)N(CCOCCO)C2c2ccc(F)cc2)cc1
,,,,,,,,,,,,0.0,,,,,CID5389921,CCN(CC)S(=O)(=O)c1ccc(/C(O)=C2/C(=O)C(=O)N(CCOC)C2c2ccccc2)cc1
,,,,,0.0,,0.0,,,,,,,0.0,,,CID5771276,COc1ccc(C2/C(=C(/O)c3ccccc3)C(=O)C(=O)N2CC(C)O)c(OC)c1
,,,,,,0.0,0.0,,,,,,,,,,CID5389399,CCN(CC)CCCN1C(=O)C(=O)/C(=C(/O)c2ccccc2)C1c1cc(OC)ccc1OC
,,,,,0.0,,,,,,,,,,,,CID5903185,Cc1ccc(/C(O)=C2\C(=O)C(=O)N(CC(C)O)C2c2ccc(N(C)C)cc2)cc1
,,,,,0.0,,,,,,,,,,,,CID5310785,CCN(CC)CCN1C(=O)C(=O)/C(=C(/O)c2ccccc2)C1c1ccccc1F
,,,,,0.0,,,,,,,,,,,,CID5290611,COCCN1C(=O)C(=O)/C(=C(/O)c2ccccc2)C1c1ccccc1OC
