MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0.0,,,,,,,,,,,,,,,,0.0,CID665710,O=C1c2oc3ccc(Cl)cc3c(=O)c2C(c2cccc(Br)c2)N1CCO
,,,,,,,0.0,,,,,,,,,0.0,CID5013604,CCCOc1ccc(C2c3c(oc4cc(C)c(C)cc4c3=O)C(=O)N2CCCN(C)C)cc1
0.0,,,,,,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,CID663694,CN(C)CCN1C(=O)c2oc3ccccc3c(=O)c2C1c1cccc(Br)c1
,,,,,,,0.0,,,,,,,,,,CID3695100,COC(=O)c1ccc(C2c3c(oc4cc(C)c(C)cc4c3=O)C(=O)N2CCCN(C)C)cc1
0.0,,,,,,0.0,,0.0,,0.0,,,,,0.0,0.0,CID664656,CCN(CC)CCN1C(=O)c2oc3ccccc3c(=O)c2C1c1cccc(Br)c1
0.0,,,,,,,,0.0,,,,,0.0,,,0.0,CID665547,O=C1c2oc3ccc(Br)cc3c(=O)c2C(c2cccc(F)c2)N1CCO
,,0.0,0.0,,,,0.0,,,0.0,,,,,,,CID663590,CCN(CC)CCCN1C(=O)c2oc3ccccc3c(=O)c2C1c1cc(OC)ccc1OC
,,0.0,,,,,0.0,,0.0,,,,,,,,CID665388,COC(=O)c1ccc(C2c3c(oc4ccc(F)cc4c3=O)C(=O)N2CCO)cc1
,,0.0,,,,,0.0,,,,,,,,,,CID663894,CCN(CC)CCN1C(=O)c2oc3ccccc3c(=O)c2C1c1ccc(F)cc1
,,,,,,0.0,,,,,,,,,,,CID666448,COCCN1C(=O)c2oc3cc(C)c(C)cc3c(=O)c2C1c1ccc(O)cc1
,,0.0,0.0,,0.0,,,,,0.0,,,,,,,CID663476,CN(C)CCN1C(=O)c2oc3ccccc3c(=O)c2C1c1ccc(F)cc1
,,,0.0,,,,,,,,,,,,,,CID665442,O=C1c2oc3ccccc3c(=O)c2C(c2cccc(F)c2)N1CCCO
,,,,,,,,,,,,,,,,0.0,CID2954055,CN(C)CCN1C(=O)c2oc3ccc(Cl)cc3c(=O)c2C1c1cccc(Br)c1
0.0,,,,,,,,,,,,,,,,,CID663552,CCN(CC)CCCN1C(=O)c2oc3ccccc3c(=O)c2C1c1cccc(OC)c1OC
,,0.0,,,0.0,,,,,,,,,,,0.0,CID664441,CCN(CC)CCN1C(=O)c2oc3ccccc3c(=O)c2C1c1ccc(C)cc1
,,0.0,,,,0.0,,,,,,,,,,,CID666908,COCCN1C(=O)c2oc3cc(C)c(C)cc3c(=O)c2C1c1cccc(O)c1
,,,,0.0,,0.0,,,,0.0,,,,,,0.0,CID666002,Cc1cc(C)c2c(=O)c3c(oc2c1)C(=O)N(CCO)C3c1cccc(O)c1
,,,,,,,,,,0.0,,,,,,,CID4293311,CCCOc1ccc(C2c3c(oc4cc(C)c(C)cc4c3=O)C(=O)N2CCCN(C)C)cc1OCC
,,,,,,,0.0,,,,,,,,,,CID4887171,COCCN1C(=O)c2oc3ccccc3c(=O)c2C1c1ccc(O)c(OC)c1
,,,0.0,,,,,,,,,,,,0.0,,CID666102,COCCN1C(=O)c2oc3c(C)cc(C)cc3c(=O)c2C1c1cccc(O)c1
,,,0.0,,,0.0,,,,,,0.0,,0.0,,,CID5053070,COc1cccc(C2c3c(oc4cc(C)c(C)cc4c3=O)C(=O)N2CCCN(C)C)c1
,,,0.0,,,,0.0,,,,,,,,,,CID3841831,COCCN1C(=O)c2oc3ccccc3c(=O)c2C1c1cccc(OC)c1
,0.0,,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,CID663940,CCN(CC)CCN1C(=O)c2oc3ccccc3c(=O)c2C1c1ccccc1
,,,0.0,,,,,,,,,,,,,,CID5310161,C=CCN1C(=O)c2oc3ccccc3c(=O)c2C1c1ccc(O)c(OC)c1
,0.0,,,,,,0.0,0.0,,,,,,,0.0,,CID4888254,COCCN1C(=O)c2oc3ccccc3c(=O)c2C1c1cccc(O)c1
,,,,,,,0.0,,,0.0,,,,,,,CID664910,CCCOc1ccc(C2c3c(oc4ccccc4c3=O)C(=O)N2CCN(CC)CC)cc1OC
,,,,,,0.0,0.0,,,,0.0,,,,,,CID664395,COc1ccc(OC)c(C2c3c(oc4ccccc4c3=O)C(=O)N2CCCN(C)C)c1
,,,,0.0,0.0,,,,,,,0.0,,,,,CID663561,CN(C)CCN1C(=O)c2oc3ccccc3c(=O)c2C1c1ccccc1
,0.0,,,,0.0,,0.0,,,,,,,,,,CID5082658,CCOc1ccc(C2c3c(oc4cc(C)c(C)cc4c3=O)C(=O)N2CCCN(C)C)cc1OC
,,,,,0.0,0.0,,,0.0,,,,,,,,CID664531,COc1cccc(C2c3c(oc4ccccc4c3=O)C(=O)N2CCCN(C)C)c1OC
,,,,,,0.0,,,,,,0.0,,,,,CID3324771,COCCN1C(=O)c2oc3ccccc3c(=O)c2C1c1ccc(OC)c(OC)c1
