MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0.0,,0.0,,,,,,0.0,,0.0,,,,,,0.0,CID2851847,CC1=C(C(=O)Nc2ccc(C)cc2)C(c2ccc(N(C)C)cc2)NC(=O)N1
,,,,,0.0,,,,,,,,,,,,CID2853400,COc1cc(OC)c(C2NC(=O)NC(C)=C2C(=O)Nc2ccccc2C)cc1OC
0.0,,,,,,,,0.0,,,0.0,,,,0.0,0.0,CID2908461,COc1ccc(OC)c(C2NC(=O)NC(C)=C2C(=O)Nc2ccc(C)cc2C)c1
0.0,,,,,,,,0.0,,0.0,,0.0,,,0.0,0.0,CID659772,CC1=C(C(=O)Nc2ccccc2)C(c2ccc(N(C)C)cc2)NC(=O)N1
0.0,0.0,0.0,,,,,0.0,0.0,,0.0,,,,0.0,0.0,,CID655829,CCN(CC)c1ccc(C2NC(=O)NC(C)=C2C(=O)Nc2ccccc2)cc1
0.0,,,,,0.0,,,,,,,,,,0.0,0.0,CID3242530,CCOc1ccccc1NC(=O)C1=C(C)NC(=O)NC1c1cccc(OC)c1OC
0.0,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,CID2928528,COc1ccc(C2NC(=O)NC(C)=C2C(=O)Nc2cc(C)ccc2C)cc1OC
,,,,,,,,,,,,,,,0.0,,CID3254253,CC1=C(C(=O)Nc2ccccc2C)C(c2ccccc2)NC(=O)N1
0.0,,,,,,,,,,,,,,,0.0,,CID2879455,COc1ccccc1NC(=O)C1=C(C)NC(=O)NC1c1ccccc1F
,,,,,0.0,,,,,,,,,,,,CID4672551,CC1=C(C(=O)Nc2ccccc2C)C(c2ccc(C(C)C)cc2)NC(=O)N1
,,,0.0,,,,0.0,,,,,,,,0.0,0.0,CID2962610,CCOC(=O)C(C)Oc1ccc(C2NC(=O)NC(C)=C2C(=O)Nc2ccccc2C)cc1
0.0,,0.0,0.0,,0.0,,,,,0.0,,,,,0.0,0.0,CID2852981,COc1ccc(OC)c(C2NC(=O)NC(C)=C2C(=O)Nc2ccc(C)cc2)c1
0.0,,,,,,,,0.0,,,0.0,,,,0.0,0.0,CID2879269,COc1cccc(C2NC(=O)NC(C)=C2C(=O)Nc2ccccc2C)c1
,,,,,,0.0,,,,,,,,,,,CID4368846,COc1cccc(C2NC(=O)NC(C)=C2C(=O)Nc2ccc(C)cc2)c1
0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,0.0,0.0,CID2874197,CC1=C(C(=O)Nc2ccccc2Cl)C(c2ccc(N(C)C)cc2)NC(=O)N1
,,,,,0.0,,,,,,,,,,,,CID2867189,COc1ccc(C2NC(=O)NC(C)=C2C(=O)Nc2cccc(Cl)c2)cc1
,,,,,0.0,,,,,,,,,,,,CID2886011,COc1ccc(Cl)cc1NC(=O)C1=C(C)NC(=O)NC1c1ccccc1F
0.0,,,,,,0.0,0.0,,,,,,,,,,CID3707929,COc1ccc(C2NC(=O)NC(C)=C2C(=O)Nc2cccc(C)c2C)cc1
,,,,,0.0,,,,,,,,,,,,CID2853618,COc1ccc(OC)c(C2NC(=O)NC(C)=C2C(=O)Nc2ccccc2C)c1
0.0,,0.0,,,,,,,,,,,,,0.0,,CID2879028,COc1ccccc1NC(=O)C1=C(C)NC(=O)NC1c1cccc(OC)c1OC
,,,,,0.0,,,,,,,,,,,,CID2867418,CC1=C(C(=O)Nc2ccc(Cl)cc2)C(c2ccc(F)cc2)NC(=O)N1
,,,,,,,,,,,,,,,,0.0,CID2960655,CCOC(=O)C(C)Oc1ccccc1C1NC(=O)NC(C)=C1C(=O)Nc1ccc(C)c(C)c1
,,,,,,,,,0.0,,,,,,,0.0,CID2920703,COc1ccc(NC(=O)C2=C(C)NC(=O)NC2c2cccc(OC)c2OC)c(OC)c1
,,,,,,,,0.0,,,,,,,0.0,0.0,CID3131725,COc1ccccc1NC(=O)C1=C(C)NC(=O)NC1c1ccc(C)cc1
,0.0,,0.0,,0.0,,0.0,,,,,,,,,,CID4358109,COc1ccccc1C1NC(=O)NC(C)=C1C(=O)Nc1cccc(C)c1C
0.0,,,,,,,0.0,,,,,,,,0.0,0.0,CID2910252,COc1cccc(C2NC(=O)NC(C)=C2C(=O)Nc2cc(OC)ccc2OC)c1
0.0,,,,,,,,,0.0,,,,,,,0.0,CID658938,COc1cc(C2NC(=O)NC(C)=C2C(=O)Nc2cccc(C)c2C)cc(OC)c1OC
0.0,,,,,0.0,0.0,,,,,0.0,,,,,0.0,CID2850737,COc1cccc(C2NC(=O)NC(C)=C2C(=O)Nc2ccc(C)cc2)c1OC
0.0,0.0,0.0,,,,,,0.0,,0.0,,,,,0.0,,CID658690,COc1cccc(C2NC(=O)NC(C)=C2C(=O)Nc2cccc(C)c2C)c1
,,,,,0.0,,,,,,,,,,,,CID2886096,COc1ccc(C2NC(=O)NC(C)=C2C(=O)Nc2cc(Cl)ccc2C)cc1OC
