MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
0.0,,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,CID332934,CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(N(C)C)cc1
,,0.0,0.0,,,0.0,,,,,,,,0.0,,,CID3154354,CCN(CC)C(=O)C1=C(C)NC(=O)NC1c1ccccc1F
,0.0,,0.0,,,,,,,,,,,,0.0,,CID3732121,CCOC(=O)C1=C(C)NC(=O)N(C(C)=O)C1c1ccc(Cl)cc1
,,,,,,,,,0.0,,,,,,,,CID2818276,COc1ccc(C2NC(=O)NC(C)=C2C(C)=O)cc1
,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,CID3091644,CCSCCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1
,,,0.0,,,,0.0,,,,,,,,,,CID2855639,CCC(C)OC(=O)C1=C(C)NC(=O)NC1c1ccc(F)cc1
0.0,,,0.0,,,,0.0,0.0,,,0.0,,,,,0.0,CID2836919,CCCCCOC(=O)C1=C(C)NC(=O)NC1c1ccccc1OCC
,,,,,,,,0.0,,,0.0,,,,,,CID2983368,C=CCOc1c(Br)cc(C2NC(=O)NC(C)=C2C(C)=O)cc1OCC
,0.0,,,,,,,,,,,,,,0.0,,CID2938693,CCN(CC)C(=O)C1=C(C)NC(=O)NC1c1c(F)cccc1Cl
,,,,,,,0.0,,,,,,,,,0.0,CID2924019,COCCOC(=O)C1=C(C)NC(=O)NC1c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
0.0,,,,,,0.0,,0.0,,,0.0,,,,0.0,,CID2947286,CCOCc1cc(C2NC(=O)NC(C)=C2C(=O)OCC)ccc1OC
,,,,,0.0,,,,,,,,,,,,CID2883763,CCCCOc1ccc(C2NC(=O)NC(C)=C2C(=O)OCC)cc1
,,,,0.0,,,,0.0,,,0.0,0.0,,,,,CID2906356,CCCC1=C(C(=O)OCC)C(c2ccccc2OCC)NC(=O)N1C
,,0.0,,,,,,,,,,0.0,,,,,CID2962554,CCCC1=C(C(=O)OCC)C(c2ccc(NC(C)=O)cc2)NC(=O)N1
,0.0,,,0.0,,0.0,0.0,,,,0.0,,,,,,CID2831242,CC(=O)C1=C(C)NC(=O)NC1c1cccc(O)c1
0.0,,,,,,,0.0,0.0,,,,0.0,,,,,CID653322,CCCOc1ccccc1C1NC(=O)NC(C)=C1C(=O)OCCOCC
