MUV-466,MUV-548,MUV-600,MUV-644,MUV-652,MUV-689,MUV-692,MUV-712,MUV-713,MUV-733,MUV-737,MUV-810,MUV-832,MUV-846,MUV-852,MUV-858,MUV-859,mol_id,smiles
,,,,,,0.0,,,,0.0,,,,0.0,0.0,,CID656043,COc1ccc(N2C(=O)c3ccc(NC(C)=O)cc3C2=O)cc1
,,,,,,,,,,,,,0.0,0.0,,,CID764249,COc1ccc2c(c1OC)C(=O)N(c1ccccc1)C2=O
,,,,,,,,0.0,,,,,,,,,CID709445,CCOc1ccc(N2C(=O)c3ccccc3C2=O)cc1
,,,,,,,,,,,,,0.0,,,,CID272783,O=C1c2cccc([N+](=O)[O-])c2C(=O)N1c1ccccc1
,,,,,,,,,,,,,0.0,,,,CID81867,O=C1c2ccccc2C(=O)N1c1ccc(Cl)cc1
,,,,0.0,,,0.0,,,,,,,,,0.0,CID825459,O=C1c2ccccc2C(=O)N1c1ccccc1S(=O)C(F)(F)F
,,,,,,,,0.0,,,0.0,,0.0,,,,CID815028,CC(C)NS(=O)(=O)c1ccc(N2C(=O)c3ccccc3C2=O)cc1
,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,CID748484,COc1ccc2c(c1OC)C(=O)N(c1cccc(C)c1)C2=O
,,,,,0.0,,,,,,,,,0.0,,,CID787228,CC(=O)Oc1cccc(N2C(=O)c3ccc(C(=O)O)cc3C2=O)c1
,,,,0.0,,0.0,,0.0,,0.0,,,,,,0.0,CID2301106,CCCCC(=O)Nc1cccc2c1C(=O)N(c1ccccc1)C2=O
,,,,,,,,0.0,0.0,,,,,,,,CID1101285,CC(C)(C)NS(=O)(=O)c1ccc(N2C(=O)c3ccccc3C2=O)cc1
,,,,,0.0,,,,,,0.0,,,,,,CID869759,CC(=O)Oc1ccc(C)cc1N1C(=O)c2ccc(C(=O)O)cc2C1=O
,,,,,,,,,,,,,0.0,0.0,,,CID835773,Cc1ccccc1N1C(=O)c2cccc([N+](=O)[O-])c2C1=O
,,,,,,0.0,0.0,,,,,,,0.0,,0.0,CID1569498,CCOCCOC(=O)COc1ccc(N2C(=O)c3ccccc3C2=O)cc1
,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,,,CID731116,CC(C)Oc1ccc(N2C(=O)c3ccccc3C2=O)cc1
0.0,,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,,CID73324,Cc1cccc(C)c1N1C(=O)c2ccccc2C1=O
,,,,,,,,0.0,,,,,,,,,CID3139429,CC(C)CC(=O)Nc1cccc2c1C(=O)N(c1ccccc1)C2=O
,,,,,,,,,,,,,0.0,0.0,,,CID250687,COc1ccc(N2C(=O)c3ccccc3C2=O)cc1
,,,,,,,,,,,,,0.0,,,,CID680996,CC(=O)NS(=O)(=O)c1ccc(N2C(=O)c3ccccc3C2=O)cc1
,,,0.0,,,,,,,,,,,0.0,,,CID869264,CCOc1ccccc1N1C(=O)c2ccc(C(=O)O)cc2C1=O
